CODICE,ORIGINE,COMUNE,INDIRIZZO,X,Y,Z,COD_PTUA16,SIGLA
"151750003",CAP,PIOLTELLO                                                                                                                                                                                                                                                     ,                                                                                                                                                                                                                                                              ,1525282.939,5036582.601,113.76,IT03GWBISSAPTA,MI
"151750289",CAP,PIOLTELLO                                                                                                                                                                                                                                                     ,FEM Limito                                                                                                                                                                                                                                                    ,1525025,5036125,113.01,IT03GWBISSAPTA,MI
"152050004",CAP,SEGRATE                                                                                                                                                                                                                                                       ,                                                                                                                                                                                                                                                              ,1523932.355,5035450.226,111.25,IT03GWBISSAPTA,MI
"152050138",CAP,SEGRATE                                                                                                                                                                                                                                                       ,Idroscalo                                                                                                                                                                                                                                                     ,1523064.261,5035094.303,111.21,IT03GWBISSAPTA,MI
"152050140",CAP,SEGRATE                                                                                                                                                                                                                                                       ,Idroscalo                                                                                                                                                                                                                                                     ,1523055,5035090,111.21,IT03GWBISSAPTA,MI
"151910009",CAP,SAN COLOMBANO AL LAMBRO                                                                                                                                                                                                                                       ,                                                                                                                                                                                                                                                              ,1539965,5001295,66.78,IT03GWBISSMPTLS,MI
"150500002",CAP,CARPIANO                                                                                                                                                                                                                                                      ,delle Arti                                                                                                                                                                                                                                                    ,1521220.595,5020704.055,88.49,IT03GWBISSMPTLS,MI
"151150001",CAP,LACCHIARELLA                                                                                                                                                                                                                                                  ,Via Trento                                                                                                                                                                                                                                                    ,1510748.871,5019046.171,95.22,IT03GWBISSMPTLS,MI
"152020001",CAP,SAN ZENONE AL LAMBRO                                                                                                                                                                                                                                          ,                                                                                                                                                                                                                                                              ,1528049.829,5019050.828,82.63,IT03GWBISSMPLAS,MI
"152020002",CAP,SAN ZENONE AL LAMBRO                                                                                                                                                                                                                                          ,                                                                                                                                                                                                                                                              ,1528036.658,5019062.818,83.09,IT03GWBISSMPLAS,MI
"150150001",CAP,BASIGLIO                                                                                                                                                                                                                                                      ,Piazza Rossi-Chiesa                                                                                                                                                                                                                                           ,1512869.868,5021817.217,96.68,IT03GWBISSMPTLN,MI
"150150005",CAP,BASIGLIO                                                                                                                                                                                                                                                      ,Vivaldi                                                                                                                                                                                                                                                       ,1512117.972,5023730.734,102.23,IT03GWBISSMPTLN,MI
