PROV,COMUNE - DENOMINAZIONE,CODICE,LOCALITA',X,Y, Q (m s.l.m.),NOTE,STRAT.,FALDA,PUBBLICO,gen-01,feb-01,mar-01,apr-01,mag-01,giu-01,lug-01,ago-01,set-01,ott-01,nov-01,dic-01,gen-02,feb-02,mar-02,apr-02,mag-02,giu-02,lug-02,ago-02,set-02,ott-02,nov-02,dic-02,gen-03,feb-03,mar-03,apr-03
BS,COLOGNE - ARPA,12,VIA BRESCIA,1573702,5047379,173.8,,,,,,,,,,,,133.37,,,,,,,,,,,,,,,,,,,,
BS,URAGO D'OGLIO - COGEME,34,via Castelcovati,1568653,5040167,131,,X,2,,,,,,,117.24,,,,,,,,,114.68,,115.39,116.54,117.54,117.92,,,,,,,,
BS,COMEZZANO-CIZZAGO - COGEME,13,Pozzo centro Cizzago,1574308,5035632,106.5,,X,1,,,,,,,104.51,,,,,,,,,104.23,103.97,104.46,104.26,104.88,105.34,,,,,104.68,104.29,104.13,103.92
BS,CASTREZZATO - COGEME,10,via F.lli Cervi,1576452,5040679,129.5,,X,2,,,,,,,114.78,,,,,,,,,111.88,111.37,111.94,113.28,114.99,116.41,,,,,113.62,112.83,112.42,112.21
BS,CAZZAGO SAN MARTINO - COGEME,11,CALINO NUOVO,1580306,5049766,195,,,,,,,,,,112.84,,,,,,,,,,,,,,,,,,,,,,
BS,CAZZAGO SAN MARTINO - COGEME,48,Valle Bornato,1580570,5049919,196.65,,X,,,,,,,,,,,,,,,,,114.93,114.34,114.33,114.46,115.39,116.8,,,,,,,,
BS,TRAVAGLIATO - ASM,33,mulini via Valverde,1584265,5042055,132.5,,,2,,,,,,114.24,114.34,,115.82,,,,,,,112.5,,,112.25,,115.12,114.94,,,,,,,
BS,AZZANO MELLA - ARPA,4,C.na bonifica Nuova,1586806,5037145,101,,,1,,,,,,,98.42,,98.67,,,,,,,98.35,,98.5,,,98.36,98.42,98.2,,,,,,
BS,BRESCIA - ASM,8,via Brianze,1596060,5046080,164.9,,X,2,,,,,,135.2,127.9,124.5,,,,,,,,,,,,,119.3,,,,,,,,
BS,VEROLAVECCHIA - COGEME,35,Vill. Paolo VI,1582350,5019890,64,,X,3,,,,,,,,,,,,,,,,54.56,52.62,,50.61,50.38,49.17,,,,,51.48,53.5,51.93,51.36
BS,ALFIANELLO - ASM,2,BREDA MATTINA,1590940,5013084,53.2,,,,,,,,,43.8,,,,,,,,,,,,,,,,,,,,,,,
BS,BRESCIA - ASM,8,via Brianze,1596060,5046080,164.9,,X,2,,,,,,135.2,127.9,124.5,,,,,,,,,,,,,119.3,,,,,,,,
BS,REZZATO - ASM,31,via Gardesana - Treponti,1604156,5040364,148,,,2,,,,,,119.35,120.19,,122.68,,,,,,,,,,118.63,,121.17,120.88,,,,,,,
BS,BEDIZZOLE - ASM,7,Bettoletto,1609377,5040733,149.9,,,2,,,,,,126.7,127.4,,128.6,,,,,125.4,124.3,124.5,125.3,127.5,126.9,129.2,129.6,127.9,,,,127.9,,,
BS,BAGNOLO MELLA - ASM,6,Pedrocca,1592295,5031974,89.02,,,2,,,,,,85.37,85.52,85.52,86.42,,,,,85.13,85.13,85.03,85.03,,85.08,85.13,85.13,,,,,85.13,,,
