PROV,COMUNE - DENOMINAZIONE,CODICE,LOCALITA',X,Y, Q (m s.l.m.),NOTE,STRAT.,FALDA,PUBBLICO,gen-01,feb-01,mar-01,apr-01,mag-01,giu-01,lug-01,ago-01,set-01,ott-01,nov-01,dic-01,gen-02,feb-02,mar-02,apr-02,mag-02,giu-02,lug-02,ago-02,set-02,ott-02,nov-02,dic-02,gen-03,feb-03,mar-03,apr-03
SO,A.I. Gordona,PO014032OR0001,GORDONA - Area Industriale,1529150,5125002,227.965,,,1,,,,,,,226.84,226.54,226.46,225.93,225.69,225.06,224.73,224.55,224.39,224.38,224.74,226.26,226.27,225.82,225.89,225.37,225.19,,,225.37,224.845,224.465,225.925
BS,ACQUAFREDDA - ASM,3,VIA 1 MAGGIO,1610842,5018188,56.2,,,,,,,,,53.1,,,,,,,,,,,,,,,,,,,,,,,
MI - Par.,ALBAIRATE,150050010,c.na Faustina PRIV.,1495936,5028883,123.16,,,1,,,,,,,,,,,,,,120.36,121.06,120.46,120.46,121.36,121.36,,122.16,121.46,,,,120.76,120.86,120.36,
VA,ALBIZZATE,PO1200200800T0,via G. Rossa 8,1485030,5065340,317.9,,X,SUPERF.,,,,,,307.9,305.9,302.9,302.4,302.75,302.56,302.15,301.44,298.98,297.94,298.42,295.02,301.07,302.55,302.23,303.06,302.48,,,,307.12,305.66,,
PV,ALBONESE 1,35,,1477055,5015750,116,,,,,,,,,,,,,112.56,112.53,112.28,112.05,,,,,,,,,,,,,,,,
BS,ALFIANELLO - ASM,2,BREDA MATTINA,1590940,5013084,53.2,,,,,,,,,43.8,,,,,,,,,,,,,,,,,,,,,,,
CR,ANNICCO,19003.0005,via A. da Brescia,1569250.375,5010522,60,,X,2,,,,,,,,,,,46.3,46.36,46.21,,,46.09,,,,,,,,,,,,,
CO,APPIANO GENTILE - Comune,7,Via Mazzini,1498475,5064290,352,,,2,,,,,,,,,,,,262.7,263.86,,,,,,,,,,,,,,,,
VA,ARCISATE,PO1200400100T0,via Piave,1489675,5078705,362.22,,X,SUPERF. (acquifero locale),,,,,,360.38,360.02,360.12,360,360.22,360.18,360.05,359.86,359.34,359.13,359.09,359.17,359.59,359.64,359.7,359.63,359.78,,,,360.18,359.88,,
MI,ARCONATE                                      ,150070002, via Turati,1488408,5043208,179.17,,,,,,,,,154.77,,156.17,,158.67,157.57,,,,,,,,,,,,,,,,,,
MN,ASOLA,4,Comune,1610990,5008890,41.5,,X,3,,,,,,,34.04,33.6,33.7,33.9,34.58,34.96,34.99,34.37,,34.3,34.9,,,,31.7,31.36,,,,31.06,30.88,,
BS,AZZANO MELLA - ARPA,4,C.na bonifica Nuova,1586806,5037145,101,,,1,,,,,,,98.42,,98.67,,,,,,,98.35,,98.5,,,98.36,98.42,98.2,,,98.63,98.5,98.46,97.9
BS,BAGNOLO MELLA - ASM,6,Pedrocca,1592295,5031974,89.02,,,2,,,,,,85.37,85.52,85.52,86.42,,,,,85.13,85.13,85.03,85.03,,85.08,85.13,85.13,,,,,85.13,,,
BS,BAGNOLO MELLA - ASM,5,via Montegrappa,1593133,5030861,86,,,1,,,,,,83,,82.8,83.66,,,,,,80.75,82,81.7,,81.6,81.6,,,,,,81.7,,,
MI - Città,BASIGLIO,150150005,Vivaldi,1512099,5023725,100.53,,X,3,,,,,,94.73,94.83,95.13,95.43,94.83,94.53,,,94.03,94.33,94.23,94.43,94.53,94.63,,95.03,95.13,,,,94.6,94.5,94.1,
MI - Città,BASIGLIO,150150001,p.zza M. Rossi-Chiesa,1512870,5021817,96.68,,X,1,,,,,,93.34,93.64,93.74,93.74,93.34,93.14,,,92.9,93.2,93.3,93.4,92.9,93.2,,93.68,93.68,,,,95.3,95.1,94.8,
BS,BEDIZZOLE - ASM,7,Bettoletto,1609377,5040733,149.9,,,2,,,,,,126.7,127.4,,128.6,,,,,125.4,124.3,124.5,125.3,127.5,126.9,129.2,129.6,127.9,,,,127.9,,,
PV,BELGIOIOSO 5,12,via Dante,1523740,5000800,75.8,,X,1,,,,,,,,,65.56,65.43,65.13,64.73,64.6,64.35,64.39,64.09,63.95,64.64,64.62,64.9,65.5,65.45,,,,64.6,64.28,,
PV,BEREGUARDO 2,28,via S. Antonino,1502480,5011810,95,,X,2,,,,,,,,,81.19,79.75,79.65,78.69,78.15,79.97,80.04,79.6,,80.5,79.45,80.79,80.99,80.96,,,,80.38,80.25,,
PV,BEREGUARDO 4,28,Via S. Antonino,1502530,5011330,98,,,,,,,,,,,,90.59,90.7,90.8,90.8,89.8,,,,,,,,,,,,,,,,
BG,BERGAMO - N. Istit. Ital. d' Arti Grafiche S.p.a.,160240273,via Zanica,1552436,5057637,231.4,,X,,,,,,,175.25,177.18,176.61,177.2,176.24,177.05,176.15,175.87,174.86,174.98,173.48,,175.98,176.23,176.62,177.27,176.45,,,,175.3,175.24,174.4,174.4
MI - Par.,BERNATE TICINO,150190001,via Pellico-Casate,1486563,5037866,139.53,,X,1,,,,,,139.03,139.43,140.63,141.93,142.63,,141.63,,127.43,126.93,126.83,126.83,127.23,128.53,,130.93,131.53,,,,128.13,127.93,127.23,
