PROV,COMUNE - DENOMINAZIONE,CODICE,LOCALITA',X,Y,Q,NOTE,STRAT.,FALDA,PUBBLICO,gen-01,feb-01,mar-01,apr-01,mag-01,giu-01,lug-01,ago-01,set-01,ott-01,nov-01,dic-01,gen-02,feb-02,mar-02,apr-02,mag-02,giu-02,lug-02,ago-02,set-02,ott-02,nov-02,dic-02,gen-03,feb-03,mar-03,apr-03,INZ_FLT,FIN_FLT,FLT1_DA,FLT1_A,FLT2_DA,FLT2_A,FLT3_DA,FLT3_A,FLT4_DA,FLT4_A,FLT5_DA,FLT5_A,FLT6_DA,FLT6_A,FLT7_DA,FLT7_A,FLT8_DA,FLT8_A,FLT9_DA,FLT9_A,FLT10_DA,FLT10_A,FLT11_DA,FLT11_A,FLT12_DA,FLT12_A,L.S. ,L.D. ,Q,ANNO,PROFONDITA' COLONNA
BG,BREMBATE - Beiersdorf S.p.a.,160370011,"via dei Murari, 7",1542716,5050800,181,,X,3,,,,,,145.14,145.27,145.43,,144.95,144.64,144.07,143.77,143.36,143.34,143.15,,144.43,144.5,144.97,144.88,140.4,144.3,141.25,144.8,143.9,144.5,144.05,143.58,93,116,93,96,102.31,116,,,,,,,,,,,,,,,,,,,,,29,31,43.84,,125
BG,CHIGNOLO D'ISOLA - Bergum Impianti / Flag,160722490,"via Industriale, 1",1541538,5057511,214.9,,X,1,,,,,,180.27,179.38,178.69,178.07,177.92,178.15,178.73,177.72,177.02,181.05,179.64,,181.44,180.4,180.8,179.74,180.42,180.27,185.86,182.96,181.16,179.97,179.92,178.12,42,72,42,46,52,62,66,72,,,,,,,,,,,,,,,,,,,50,57,10.5,1967,78
BG,PONTE S. PIETRO - Amministrazione Comunale,161700003,via Moioli,1545759,5060572,225.2,,,2,,,,,,,,,,,,,,203.46,204.7,204.35,,206.6,205.01,205.74,205.83,206.19,205.34,210.47,207.15,205.5,204.98,204.55,204.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BG,PONTE S. PIETRO - Amministrazione Comunale,161700005,Via Papa Giovanni XXIII,1545242,5060590,239.2,,,,,,,,,209.55,208.31,208.08,207.67,207.98,208.94,207.8,207.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BG,SUISIO - Olmi S.p.a,162091633,"viale Europa, 25",1539574,5055804,230.6,,X,2,,,,,,160.77,159.93,160.85,160.09,160.6,159.6,157.8,157.6,157.55,156.74,157.38,,158.9,159.28,160.84,160.85,160.53,160.35,160.06,161.66,163.5,163.27,160.46,158.25,,,,,,,,,,,,,,,,,,,,,,,,,,,70,83,6,1967,112
BG,TERNO D'ISOLA - F.B.M.  Hudson Italiana S.p.a.,162130228,"via Valtrighe, 5",1541227,5059580,233.4,,X,MISTA 1/2,,,,,,,,,,193.85,194.16,194,193.91,157.97,157.35,157.86,,,,,,,,,,,,,,30,120,30,34,38,42,46,50,68,72,78,84,90,96,102,108,114,120,,,,,,,,,65,96,,1975,178
BG,BERGAMO - N. Istit. Ital. d' Arti Grafiche S.p.a.,160240273,via Zanica,1552436,5057637,231.4,,X,1,,,,,,175.25,177.18,176.61,177.2,176.24,177.05,176.15,175.87,174.86,174.98,173.48,,175.98,176.23,176.62,177.27,176.45,176.93,176,177.13,175.3,175.24,174.4,174.4,,,,,,,,,,,,,,,,,,,,,,,,,,,51,55,20,1965,86
BG,DALMINE - Amministrazione Comunale,160910003,via Fiume Adda,1546509,5056225,211.8,,,3,,,,,,213.51,213.69,214.31,215.27,213.57,214.18,211.79,212.47,163.35,164.78,165.12,,169.85,169.71,171.23,170.99,170.18,168.9,171.68,173.8,171.2,170.22,167.39,166.02,134,272.5,134,140,146,152,166,172,181,184,193,196,204,205.5,208,211,213.5,218,229,235,247,250,257,263,267.5,272.5,,,,,
BG,GORLE - Tintex S.p.a.,161150118,"via Celadina, 2",1555493,5060225,261.5,,X,2,,,,,,,,,,,,,,211.02,211.27,211.54,,214.42,214.64,215.35,215.48,214.35,213.3,214.36,215.8,213.2,212.74,211.94,211.83,56,68,56,68,,,,,,,,,,,,,,,,,,,,,,,50,50.5,10.8,1975,70.5
BG,GRASSOBBIO - Cava delle Capannelle S.r.l.,161170112,"via Capannelle, 19",1557640,5053380,195.1,,X,2,,,,,,161.12,162.15,163.36,162.89,161.5,160.76,159.73,158.07,156.8,155.67,156.08,,159.88,161.02,162.63,163.19,162.13,160.87,161.42,164.05,161.23,160.42,158.51,157.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53
BG,PONTE S. PIETRO - Amministrazione Comunale,161700003,via Moioli,1545759,5060572,225.2,,,2,,,,,,,,,,,,,,203.46,204.7,204.35,,206.6,205.01,205.74,205.83,206.19,205.34,210.47,207.15,205.5,204.98,204.55,204.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BG,PONTE S. PIETRO - Amministrazione Comunale,161700005,Via Papa Giovanni XXIII,1545242,5060590,239.2,,,,,,,,,209.55,208.31,208.08,207.67,207.98,208.94,207.8,207.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BG,BREMBATE - Beiersdorf S.p.a.,160370011,"via dei Murari, 7",1542716,5050800,181,,X,3,,,,,,145.14,145.27,145.43,,144.95,144.64,144.07,143.77,143.36,143.34,143.15,,144.43,144.5,144.97,144.88,140.4,144.3,141.25,144.8,143.9,144.5,144.05,143.58,93,116,93,96,102.31,116,,,,,,,,,,,,,,,,,,,,,29,31,43.84,,125
BG,LEVATE - Acquedotto Pianura Bergamasca,161260105,"via per Levate, 40 - Osio Sotto ",1548179,5052042,180.9,,X,3,,,,,,156.21,156.72,157.1,157.17,156.29,155.7,154.35,153.7,152.47,151.71,151.82,,153.65,154.02,156.06,156.65,156.1,155.33,,155.55,154.7,155.93,154.45,153.1,159,300.5,159,165,171,177,178,184.6,194,200,201.5,215.5,220,223,225.5,230,233.5,238.6,242.5,245.5,259.9,266.5,278,281,294.5,300.5,22.84,,,1993,315
BG,TREVIGLIO - SAME Deutz Fahr Group S.p.a.,162190302,"viale Cassani, 15",1545466,5041662,127.6,,X,2,,,,,,115.5,118.76,119.49,119.96,118.53,117.16,116.03,115.5,114.78,114.27,113.95,,115.4,116.7,118.83,118.79,117.56,116.32,116.19,112.66,115.5,114.76,114.12,115.04,33,48,33,42,44,48,,,,,,,,,,,,,,,,,,,,,6.6,7,30,1960,67
BG,URGNANO - Amministrazione Comunale,162220004,via dei Gasgnoli,1553309,5049721,169.8,,X,3,,,,,,156.08,156.56,157.64,157.93,157.3,156.26,155.42,154.53,153.34,151.99,151.76,,153.04,154.6,156.35,157.42,156.8,155.9,155.73,157.55,155.82,155.85,154.27,152.95,134.8,245.75,134.8,137.8,143,147.5,153.5,156.5,194,200,205.5,207,221,225.5,231,235.6,238.6,245.75,,,,,,,,,,,,1991,252
