PROV,COMUNE - DENOMINAZIONE,CODICE,LOCALITA',X,Y,Q,NOTE,STRAT.,FALDA,PUBBLICO,gen-01,feb-01,mar-01,apr-01,mag-01,giu-01,lug-01,ago-01,set-01,ott-01,nov-01,dic-01,gen-02,feb-02,mar-02,apr-02,mag-02,giu-02,lug-02,ago-02,set-02,ott-02,nov-02,dic-02
BG,BERGAMO - N. Istit. Ital. d' Arti Grafiche S.p.a.,160240273,via Zanica,1552436,5057637,231.4,,X,,,,,,,175.25,177.18,176.61,177.2,176.24,177.05,176.15,175.87,174.86,174.98,173.48,,175.98,176.23,176.62,177.27,176.45,,,
BG,BOLGARE - Lartigianabottoni S.p.a.,160281385,"via Papa Giovanni XXIII, 26",1563060,5053915,199,,X,2,,,,,,162.25,162,,,,161.3,160.56,159.5,157.53,157.66,158.37,,161.37,162.4,163.72,164.33,163.68,,,
BG,BREMBATE - Beiersdorf S.p.a.,160370011,"via dei Murari, 7",1542716,5050800,181,,X,3,,,,,,145.14,145.27,145.43,,144.95,144.64,144.07,143.77,143.36,143.34,143.15,,144.43,144.5,144.97,144.88,140.4,,,
BG,CARAVAGGIO - Amministrazione Comunale,160530002,via Zelioli,1550077,5039136,114.6,,,,,,,,,109.71,109.91,110.6,111.29,111.01,110.6,110.09,109.79,109.15,109.14,108.75,,109.17,109.3,110.53,110.94,110.62,,,
BG,CHIGNOLO D'ISOLA - Bergum Impianti / Flag,160722490,"via Industriale, 1",1541538,5057511,214.9,,X,1,,,,,,180.27,179.38,178.69,178.07,177.92,178.15,178.73,177.72,177.02,181.05,179.64,,181.44,180.4,180.8,179.74,180.42,,,
BG,CIVIDATE AL PIANO - Acciaieria di Cividate S.p.a. ,160731283,Loc. Motta Alta,1565706,5042165,131.2,,X,,,,,,,190.91,191.72,192.33,191.57,189.66,188.82,187.15,185.77,120.9,120.9,120.83,,121.84,121.9,122.43,122.5,122.06,,,
BG,DALMINE - Amministrazione Comunale,160910003,via Fiume Adda,1546509,5056225,211.8,,,3,,,,,,213.51,213.69,214.31,215.27,213.57,214.18,211.79,212.47,163.35,164.78,165.12,,169.85,169.71,171.23,170.99,170.18,,,
BG,GORLE - Tintex S.p.a.,161150118,"via Celadina, 2",1555493,5060225,261.5,,X,2,,,,,,,,,,,,,,211.02,211.27,211.54,,214.42,214.64,215.35,215.48,214.35,,,
BG,GRASSOBBIO - Cava delle Capannelle S.r.l.,161170112,"via Capannelle, 19",1557640,5053380,195.1,,X,2,,,,,,161.12,162.15,163.36,162.89,161.5,160.76,159.73,158.07,156.8,155.67,156.08,,159.88,161.02,162.63,163.19,162.13,,,
BG,ISSO - Boieri Luigi-Clariant S.p.a. (Archimica),161220512-161220144,C.na Secchi-S.S. 11 - Padana Superiore,1557501,5036628,104.6,,,,,,,,,103.15,,,102.2,102.2,102.21,102.21,102.21,101,101.36,101.05,,101.36,101.16,101.3,101.31,101.33,,,
