CODICETOOL,PROV,COMUNE,DENOMINAZIONE,CODICE,LOCALITA,X,Y,Q,NOTE,STRAT.,FALDA,INZ_FLT,FIN_FLT,FLT1_DA,FLT1_A,FLT2_DA,FLT2_A,FLT3_DA,FLT3_A,FLT4_DA,FLT4_A,FLT5_DA,FLT5_A,FLT6_DA,FLT6_A,FLT7_DA,FLT7_A,FLT8_DA,FLT8_A,FLT9_DA,FLT9_A,FLT10_DA,FLT10_A,FLT11_DA,FLT11_A,FLT12_DA,FLT12_A,L.S. ,L.D. ,Q.1,ANNO,PROFONDITA' COLONNA,CODICETOOL
A.I. GORDONAPO014032OR0001,SO,A.I. GORDONA,,PO014032OR0001,GORDONA - Area Industriale,1529150.0,5125002.0,227.965,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A.I. GORDONAPO014032OR0001
ACQUAFREDDA3,BS,ACQUAFREDDA,ASM,3,VIA 1 MAGGIO,1610842.0,5018188.0,56.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACQUAFREDDA3
ALBAIRATE150050010,MI - Par.,ALBAIRATE,,150050010,c.na Faustina PRIV.,1495936.0,5028883.0,123.16,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ALBAIRATE150050010
ALBIZZATEPO1200200800T0,VA,ALBIZZATE,,PO1200200800T0,via G. Rossa 8,1485030.0,5065340.0,317.9,,X,SUPERF.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ALBIZZATEPO1200200800T0
ALBONESE35,PV,ALBONESE,1,35,,1477055.0,5015750.0,116.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ALBONESE35
ALFIANELLO2,BS,ALFIANELLO,ASM,2,BREDA MATTINA,1590940.0,5013084.0,53.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ALFIANELLO2
ANNICCO19003.0005,CR,ANNICCO,,19003.0005,via A. da Brescia,1569250.375,5010522.0,60.0,,X,2,103.4,116.9,103.4,116.9,,,,,,,,,,,,,,,,,,,,,,,,,,,122.0,ANNICCO19003.0005
APPIANO GENTILE7,CO,APPIANO GENTILE,Comune,7,Via Mazzini,1498475.0,5064290.0,352.0,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,APPIANO GENTILE7
ARCISATEPO1200400100T0,VA,ARCISATE,,PO1200400100T0,via Piave,1489675.0,5078705.0,362.22,,X,SUPERF. (acquifero locale),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ARCISATEPO1200400100T0
ARCONATE150070002,MI,ARCONATE,,150070002, via Turati,1488408.0,5043208.0,179.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ARCONATE150070002
ASOLA4,MN,ASOLA,,4,Comune,1610990.0,5008890.0,41.5,,X,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ASOLA4
AZZANO MELLA4,BS,AZZANO MELLA,ARPA,4,C.na bonifica Nuova,1586806.0,5037145.0,101.0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AZZANO MELLA4
BAGNOLO MELLA5,BS,BAGNOLO MELLA,ASM,5,via Montegrappa,1593133.0,5030861.0,86.0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BAGNOLO MELLA5
BAGNOLO MELLA6,BS,BAGNOLO MELLA,ASM,6,Pedrocca,1592295.0,5031974.0,89.02,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BAGNOLO MELLA6
BASIGLIO150150001,MI - Città,BASIGLIO,,150150001,p.zza M. Rossi-Chiesa,1512870.0,5021817.0,96.68,,X,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BASIGLIO150150001
BASIGLIO150150005,MI - Città,BASIGLIO,,150150005,Vivaldi,1512099.0,5023725.0,100.53,,X,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BASIGLIO150150005
BEDIZZOLE7,BS,BEDIZZOLE,ASM,7,Bettoletto,1609377.0,5040733.0,149.9,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BEDIZZOLE7
