,ALBONESE35,BELGIOIOSO12,BEREGUARDO28,BORNASCO7,BREME52,CANDIA45,CASEI GEROLA21,PORTALBERA13,CERGNAGO55,CASSOLNOVO41,CERVESINA16,CILAVEGNA38,CORANA17,CURA6,DORNO59,GARLASCO23,GARLASCO26,GENZONE10,GIUSSAGO8,GIUSSAGO63,SIZIANO62,LANDRIANO30,LANGOSCO46,LOMELLO53,MORTARA39,NICORVO36,OTTOBIANO56,PALESTRO31,PAVIA4,PIEVE15,PINAROLO18,ROBBIO33,SANNAZZARO60,SANTA CRISTINA14,SOMMO2,TORRAZZA22,TORRE D'ARESE9,TROMELLO61,VALLE LOMELLINA43,VERRUA19,VIGEVANO49,VIGEVANO50,VIGAVANO47,VIGEVANO48,VOGHERA27,VOGHERA20,ZERBOLÒ3,ZINASCO1,TORREBERETTI25,MEDE 3
1935-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.59,,,,,,,,,,,,,,,,,,,,
1937-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.73,,,,,,,,,,,,,,,,,,,,
1939-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.79,,,,,,,,,,,,,,,,,,,,
1941-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.6,,,,,,,,,,,,,,,,,,,,
1944-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.7,,,,,,,,,,,,,,,,,,,,
1946-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.81,,,,,,,,,,,,,,,,,,,,
1948-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.0,,,,,,,,,,,,,,,,,,,,
1950-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.1,,,,,,,,,,,,,,,,,,,,
1951-01-01,,,,,,,,,,,,,,,,,,,,,,,,,98.89,,,,,,,,,,,,,,,,,98.08,,,,,,,,
1951-02-01,,,,,,,,,,,,,,,,,,,,,,,,,99.12,,,,,,,,,,,,,,,,,98.41,,,,,,,,
1951-03-01,,,,,,,,,,,,,,,,,,,,,,,,,98.8,,,,,,,,,,,,,,,,,98.23,,,,,,,,
1951-04-01,,,,,,,,,,,,,,,,,,,,,,,,,98.54,,,,,,,,,,,,,,,,,97.48,,,,,,,,
1951-05-01,,,,,,,,,,,,,,,,,,,,,,,,,98.7,,,,,,,,,,,,,,,,,97.81,,,,,,,,
