CODICETOOL,PROV,COMUNE,DENOMINAZIONE,CODICE,LOCALITA,X,Y,Q,NOTE,STRAT.,FALDA,INZ_FLT,FIN_FLT,FLT1_DA,FLT1_A,FLT2_DA,FLT2_A,FLT3_DA,FLT3_A,FLT4_DA,FLT4_A,FLT5_DA,FLT5_A,FLT6_DA,FLT6_A,FLT7_DA,FLT7_A,FLT8_DA,FLT8_A,FLT9_DA,FLT9_A,FLT10_DA,FLT10_A,FLT11_DA,FLT11_A,FLT12_DA,FLT12_A,L.S. ,L.D. ,Q.1,ANNO,PROFONDITA' COLONNA,SETTORE,ORIGINE
A.I. GORDONAPO014032OR0001,SO,A.I. GORDONA,,PO014032OR0001,GORDONA - Area Industriale,1529150,5125002,227.965,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
ACQUAFREDDA3,BS,ACQUAFREDDA,ASM,3,VIA 1 MAGGIO,1610842,5018188,56.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
ZERBOLÃ’3,PV,ZERBOLÃ’,ASM - 1,3,Viale LibertÃ ,1501220,5005810,67.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
ALBAIRATE0150050010,MI - Par.,ALBAIRATE,,150050010,c.na Faustina PRIV.,1495936,5028883,123.16,C.na Faustina PRIV.,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,PTUA2003
ALBIZZATEPO1200200800T0,VA,ALBIZZATE,,PO1200200800T0,via G. Rossa 8,1485030,5065340,317.9,,X,SUPERF.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
ALBONESE35,PV,ALBONESE,1,35,,1477055,5015750,116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
CAVRIANA35,MN,CAVRIANA,,35,via Tezze 8pozzo 1),1625630,5021740,77,,X,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
VEROLAVECCHIA35,BS,VEROLAVECCHIA,COGEME,35,Vill. Paolo VI,1582350,5019890,64,,X,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
ALFIANELLO2,BS,ALFIANELLO,ASM,2,BREDA MATTINA,1590940,5013084,53.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
SOMMO2,PV,SOMMO,Comune - 2,2,via XXV aprile,1506780,4998055,79,,X,3,149,165,149,157,161,165,,,,,,,,,,,,,,,,,,,,,,,,,184,,PTUA2003
ANNICCO019003.0005,CR,ANNICCO,,19003.0005,via A. da Brescia,1569250.375,5010522,60,,X,2,103.4,116.9,103.4,116.9,,,,,,,,,,,,,,,,,,,,,,,,,,,122,,PTUA2003
APPIANO GENTILE7,CO,APPIANO GENTILE,Comune,7,Via Mazzini,1498475,5064290,352,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
BEDIZZOLE7,BS,BEDIZZOLE,ASM,7,Bettoletto,1609377,5040733,149.9,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
