CODICETOOL,PROV,COMUNE,DENOMINAZIONE,CODICE,LOCALITA,X,Y,Q,NOTE,STRAT.,FALDA,INZ_FLT,FIN_FLT,FLT1_DA,FLT1_A,FLT2_DA,FLT2_A,FLT3_DA,FLT3_A,FLT4_DA,FLT4_A,FLT5_DA,FLT5_A,FLT6_DA,FLT6_A,FLT7_DA,FLT7_A,FLT8_DA,FLT8_A,FLT9_DA,FLT9_A,FLT10_DA,FLT10_A,FLT11_DA,FLT11_A,FLT12_DA,FLT12_A,L.S. ,L.D. ,Q.1,ANNO,PROFONDITA' COLONNA,SETTORE,ORIGINE
A.I. GORDONAPO014032OR0001,SO,A.I. GORDONA,,PO014032OR0001,GORDONA - Area Industriale,1529150,5125002,227.965,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
ALBAIRATE0150050010,MI - Par.,ALBAIRATE,,150050010,c.na Faustina PRIV.,1495936,5028883,123.16,C.na Faustina PRIV.,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,PTUA2003
ALBIZZATEPO1200200800T0,VA,ALBIZZATE,,PO1200200800T0,via G. Rossa 8,1485030,5065340,317.9,,X,SUPERF.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
BORNASCO7,PV,BORNASCO,1,7,presso Municipio,1517200,5012745,82,,X,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
ARCISATEPO1200400100T0,VA,ARCISATE,,PO1200400100T0,via Piave,1489675,5078705,362.22,,X,SUPERF. (acquifero locale),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
AZZANO MELLA4,BS,AZZANO MELLA,ARPA,4,C.na bonifica Nuova,1586806,5037145,101,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
BAGNOLO MELLA5,BS,BAGNOLO MELLA,ASM,5,via Montegrappa,1593133,5030861,86,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
BASIGLIO0150150001,MI - CittÃ ,BASIGLIO,,150150001,p.zza M. Rossi-Chiesa,1512870,5021817,96.68,p.za M.Rossi-Chiesa,X,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,PTUA2003
BELGIOIOSO12,PV,BELGIOIOSO,5,12,via Dante,1523740,5000800,75.8,,X,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
POMPIANO28,BS,POMPIANO,COGEME,28,via Noce,1577244,5031736,93.7,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
BERGAMO0160240273,BG,BERGAMO,N. Istit. Ital. d' Arti Grafiche S.p.a.,160240273,via Zanica,1552436,5057637,231.4,,X,1,,,,,,,,,,,,,,,,,,,,,,,,,,,51,55,20,1965,86,,PTUA2003
BERNATE TICINO0150190001,MI - Par.,BERNATE TICINO,,150190001,via Pellico-Casate,1486563,5037866,139.53,v.Pellico-Casate,X,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,PTUA2003
BERNINAPO014061OU0002,SO,BERNINA,pozzo 4,PO014061OU0002,SONDRIO -via Bernina ,1566441,5113304,292.913,,X,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTUA2003
