DATA,COLOGNE12,URAGO D'OGLIO34,COMEZZANO13,CASTREZZATO10,CAZZAGO SAN MARTINO11,CAZZAGO SAN MARTINO48,TRAVAGLIATO33,AZZANO MELLA4,BRESCIA8,VEROLAVECCHIA35,ALFIANELLO2,REZZATO31,BEDIZZOLE7,BAGNOLO MELLA6,BAGNOLO MELLA5,MONTIRONE23,GHEDI16,MONTICHIARI45,MONTICHIARI21,CARPENEDOLO9,OFFLAGA25,LENO18,PAVONE DEL MELLA26,ISORELLA17,GAMBARA15,REMEDELLO30,ASOLA4,CASALROMANO23,CASALROMANO25,CASALROMANO24,ISOLA DOVARESE19053,LONATO19,LONATO47,LONATO20,MONZAMBANO70,CAVRIANA37,CAVRIANA35,CAVRIANA36,GUIDIZZOLO55,ACQUAFREDDA3,REDONDESCO84,CASTELLUCCHIO31,MARCARIA62,ROVERBELLA89,BIGARELLO12,CASTEL D'ARIO27,OSTIGLIA76,CURTATONE42,CURTATONE45,SAN BENEDETTO PO92,SAN BENEDETTO PO93,GONZAGA54,GONZAGA53,QUINGENTOLE81,SAN GIACOMO DELLE SEGNATE94,SAN GIOVANNI DOSSO96,REVERE85,BORGOFRANCO SUL PO15,A.I. GORDONAPO014032OR0001,ALBAIRATE0150050010,ALBIZZATEPO1200200800T0,ALBONESE35,ANNICCO019003.0005,APPIANO GENTILE7,ARCISATEPO1200400100T0,ARCONATE0150070002,BASIGLIO0150150005,BASIGLIO0150150001,BELGIOIOSO12,BEREGUARDO28,BERGAMO0160240273,BERNATE TICINO0150190001,BERNINAPO014061OU0002,BERTONICO0980020002,BINAGO13(19),BOARIOPO014066OU0001,BOLGARE0160281385,BORNASCO7,BOZZOLO17,BREGNANO7(9),BREMBATE0160370011,BREME52,BRENNA11(15),BRUGHERIO0150340123,BUBBIANO0150350003,BUCCINASCO0150360002,BULGAROGRASSO6(8),BUSTO A.PO1202602103T0,CABIATE12(17),CANDIA45,CANTU'010 (14),CANTU'13,CAPIAGO INTIMIANO015 (22),CAPPELLA DE' PICENARDI019014.0001,CARAVAGGIO0160530002,CARBONATE1,CARIMATE9(12),CARNATE0154900021,CARNATE0154900019,CARONNO P.PO1203400600T0,CASALE LITTAPO1203600300T0,CASALETTO VAPRIO019020.0001,CASALMAGGIORE019021.0008,CASATENOVOPI097016101,CASEI GEROLA21,CASSANO D'ADDA0150590001,CASSOLNOVO41,CASTEL D'ARIO26,CASTIGLIONE DELLE STIVIERE34,CAVENAGO ADDA0980170064,CAVENAGO ADDA0980170003,CERGNAGO55,CERMENATE018(2bis),CERMENATE11,CERNUSCO LOMBARDONEPC097020003,CERVESINA16,CERVIGNANO A.0980180001,CHIEVE019029.0001,CHIGNOLO D'ISOLA0160722490,CILAVEGNA38,CINGIA DE' BOTTI019031.0003,CINISELLO BALSAMO0150770073,CINISELLO BALSAMO0150770023,CITTIGLIOPO1205100100T0,CIVIDATE AL PIANO0160731283,COMAZZO0980200001,CONCOREZZO0150840002,CORANA17,CORBETTA0150850004,COREZZANA0150920003,CORNAREDO0150870001,COTONIPO014061OR0001,CURA6,CUSAGO0150970003,DALMINE0160910003,DESIO0151000003,DORNO59,FENEGRO'4(6),FIESCO019043.0003,FIGINO SERENZA4 bis,FINO MORNASCO8(10),FOMBIO0980260002,GALLARATEPO1207002201T0,GALLARATEPO1207000900T0,GARLASCO23,GARLASCO26,GAZZUOLO49,GENZONE10,GERENZANOPO1207502002T0,GESSATE0151060008,GIUSSAGO8,GIUSSAGO63,GORLE0161150118,GRAFFIGNANA0980280001,GRASSOBBIO0161170112,GRONTARDO019050.0002,GUSSOLA019052.0004,IMBERSAGOPC097039003,IMBERSAGOPC097039001,INVERIGO18,INZAGO0151140006,ISOLA DOVARESE019053.0002,ISSO0161220512-161220144,IZANO019054.0003,LAINATE0151160008,LANDRIANO30,LANGOSCO46,LAZZATE0151170003,LEVATE0161260105,LIMIDO COMASCO5,LOCATE TRIULZI0151250001,LODIVECCHIO0980320002,LOMELLO53,LONATE P.PO1209000902T0,LONATE P.PO1209000903T0,LUINOPO1209202100T0,LURAGO D'ERBA16(23),MACARIA63,MACCASTORNA0980330001,MADIGNANO019055.0002,MALAGNINO019056.0003,MALEO0980350002,MARCALLO CON CASONE0151340004,MARIANO COMENSE16,MARIANO COMENSE5 bis,MARIANO COMENSE20,MARTINENGO0161330158,MEDEnan,MEDIGLIA0151390001,MERATEPC097048001,MEZZAGO0151450001,MILANO0151460036,MILANO0151460040,MILANO0151460290,MILANO0151460413,MILANO0151460477,MILANO0151461435,MILANO0151461120,MILANO0151461313,MILANO0151461379,MILANO0151461534,MISANO GERA D'ADDA0161350001,MISSAGLIAPI097049101,MONZA0151490084,MORIMONDO0151500013,MORNAGOPO1210601101T0,MORNAGOPO1210601504T0,MORTARA39,MOZZATE1 (2),NAVE24,NERVIANO0151540065,NICORVO36,NOVEDRATE019(3bis),OFFANENGO019062.0005,OLGIATE COMASCO20,OLTRONA DI SAN MAMETTE14(21),ORIO LITTA0980420003,OSNAGOPC097061011,OTTOBIANO56,OZZERO0151650025,PAGAZZANO0161540946,PALESTRO31,PALOSCO0161573378,PALOSCO0161573380,PANTIGLIATE0151670001,PAVIA4,PESCAROLO019069.0003,PESCAROLOnan,PESCHIERA BORROMEO0151710197,PIADENA019071.0003,PIEVE15,PIEVE FISSIRAGA0980450001,PINAROLO18,PIZZIGHETTONE019076.0006,POMPIANO28,PONTE S. PIETRO0161700005,PONTE S. PIETRO0161700003,PONTI SUL MINCIO80,PORTALBERA13,POZZAGLIO019077.0001,PROVAGLIO D'ISEO29,PUMENENGO0161770001,RESCALDINA0151810001,RHO0151820106,RIPALTA ARPINA019080.0002,RIPALTA CREMASCA019081.0002,ROBBIO33,RODANO0151850004,RODENGO32,ROMANENGO019086.0005,RONCELLO0151860001,RONCO BR.0151870001,ROVELLASCA3(5),ROVELLO PORRO017(1bis),ROVELLO PORRO4,S.ANGELO LODIGIANO0980500005,S.GIULIANO0151950015,S.ROCCO AL PORTO0980490001,SABBIONETA91,SALERANO0981900003,SAMARATEPO1211800500T0,SAN  DONATO0151920005,SAN BASSANO019088.0003,SAN DANIELE PO019089.0002,SAN GIOVANNI IN CROCE019090.0001,SAN MARTINO97,SANNAZZARO60,SANTA CRISTINA14,SCANDOLARA RAVARA019092.0004,SEDRIANO0152040003,SEGRATE0152050140,SENAGO0152060004,SERGNANO019094.0004,SESTO C.PO1212000200T0,SESTO SAN GIOVANNI0152090016,SETTALA0152100004,SETTIMO MILANESE0152110005,SIZIANO62,SOLARO0152130021,SOMMO2,SPINEDA019101.0002,STELVIOPO014026OU0001,SUISIO0162091633,TERNO D'ISOLA0162130228,TORNATA019106.0003,TORRAZZA COSTE22,TORRE D'ARESE9,TORREBERETTI25,TREVIGLIO0162190302,TREZZANO S/N0152210001,TROMELLO61,TUFPO014066NR0001,TURATE2(3),URGNANO0162220004,USMATE VELATEPC15227001,VAILATE019112.0003,VALERIANAPO014061OU0001,VALLE LOMELLINA43,VANZAGHELLO0152490020,VANZAGHELLO0152490004,VENEGONO I.PO1213600100T0,VERDERIO SUPERIOREPC09788001,VERDERIO SUPERIORE (**)PI097088101,VERMEZZO0152350001,VERNATE0152360003,VERRUA19,VIADANA105,VIGEVANO47,VIGEVANO49,VIGEVANO50,VIGEVANO48,VIGNATE0152370002,VILLA CARCINA36,VIMERCATE0152410041,VOGHERA27,VOGHERA20,ZERBOLÒ3,ZINASCO1
2001-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-05-01,,,,,,,114.24,,135.2,,43.8,119.35,126.7,85.37,83.0,94.0,,89.6,93.9,,67.45,,47.8,54.07,42.5,,,,,,,89.95,64.7,66.17,,,,,,53.1,,,,,,,,,,,,,,,,,,,,,307.9,,,,360.38,154.77,94.73,93.34,,,175.25,139.03,,36.34,,,162.25,,,,145.14,,,,98.49,107.39,,177.93,,,,,,,109.71,,,,,169.7,,,,,,112.39,,,,60.4,,,,,,,75.88,,180.27,,,,126.37,227.02,190.91,87.22,140.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-06-01,,117.24,104.51,114.78,112.84,,114.34,98.42,127.9,,,120.19,127.4,85.52,,92.8,78.31,90.0,94.0,77.92,63.4,,,,,45.22,34.04,31.59,33.39,31.88,,89.75,59.2,60.67,96.79,46.77,54.02,,56.5,,29.9,,20.5,35.18,22.48,12.0,12.0,18.16,20.53,13.4,,16.85,16.52,11.5,12.42,10.02,12.0,10.34,226.84,,305.9,,,,360.02,,94.83,93.64,,,177.18,139.43,284.72,36.44,,403.68,162.0,,24.1,227.8,145.27,,287.3,,98.89,107.49,,178.3,,,,227.7,,,109.91,,209.2,,,,,,,248.99,,112.59,,19.7,77.4,60.5,,,,,,,76.18,,179.38,,,,125.67,226.23,191.72,87.32,140.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-07-01,,,,,,,,,124.5,,,,,85.52,82.8,92.7,,90.0,94.6,,,69.97,,,,,33.6,29.1,31.6,30.4,,90.95,58.6,60.07,98.7,47.0,52.0,106.0,56.0,,29.9,26.4,20.2,35.4,22.1,18.6,11.6,18.4,20.6,13.35,13.6,17.3,17.0,11.1,12.1,9.6,9.4,9.9,226.54,,302.9,,,,360.12,156.17,95.13,93.74,,,176.61,140.63,284.41,36.44,,404.58,,,23.9,,145.43,,,,99.19,107.59,,177.73,,,,,,,110.6,,,,,170.17,,,,249.51,,113.09,,19.2,76.6,60.2,,,,,,,76.88,,178.69,,,,126.07,225.36,192.33,87.82,140.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-08-01,133.37,,,,,,115.82,98.67,,,,122.68,128.6,86.42,83.66,92.8,,90.15,95.1,78.83,65.55,,,,,,33.7,32.5,29.5,31.9,,91.85,59.4,60.87,97.2,46.4,53.5,,56.7,,29.7,26.45,19.3,35.2,22.1,18.8,11.2,18.4,20.4,12.6,13.1,17.1,17.0,11.0,11.9,9.6,11.0,9.4,226.46,,302.4,,,,360.0,,95.43,93.74,65.56,81.19,177.2,141.93,283.4,,,402.0,,,23.8,,,93.38,,,99.49,107.99,,177.63,,101.54,,,,,111.29,,,,,170.42,,,,248.28,73.21,113.29,108.38,18.35,77.2,,,100.21,,,229.29,62.59,,,178.07,111.98,,,126.37,224.61,191.57,88.12,141.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,33.9,30.67,33.06,29.99,,,,,96.53,48.98,57.24,106.42,57.62,,29.8,26.34,20.2,35.19,22.23,18.7,10.7,18.18,20.47,12.66,13.05,16.45,15.96,10.9,11.78,9.46,11.28,9.44,225.93,,302.75,112.56,,,360.22,158.67,94.83,93.34,65.43,79.75,176.24,142.63,283.74,36.24,361.2,399.32,,77.67,24.1,229.2,144.95,93.26,286.0,,99.19,107.79,274.0,177.62,,99.8,224.2,229.9,416.9,,111.01,,214.05,,,170.53,,,,248.78,73.02,113.19,107.88,19.5,77.7,60.0,,99.89,216.8,200.1,228.48,62.47,76.58,,177.92,111.6,,,126.27,223.95,189.66,88.02,140.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,34.58,31.05,33.52,32.07,32.11,,,,98.08,46.69,55.13,106.58,56.26,,29.73,26.49,20.28,35.16,22.13,18.87,11.2,18.38,20.38,13.12,13.28,16.56,16.69,10.87,12.03,9.47,10.89,9.37,225.69,,302.56,112.53,46.3,,360.18,157.57,94.53,93.14,65.13,79.65,177.05,,283.96,,,397.18,161.3,77.39,23.82,229.2,144.64,92.95,286.0,,98.79,107.49,,177.28,207.0,99.94,224.6,228.7,,,110.6,224.1,208.5,,,170.38,,84.22,20.21,248.71,73.0,112.09,107.44,19.21,76.75,,,99.71,217.0,199.6,227.69,62.67,,70.74,178.15,111.65,27.02,,126.27,223.88,188.82,87.72,140.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
