,PROVINCIA,COMUNE,CODICE PUNTO,DATA,Qr[m s.l.m.],SOGGIACENZA [m],PIEZOMETRIA [m s.l.m.]
0,BS,MAZZANO,PO0171070U0001,2017-11-01,148.89,31.706646153846183,116.70335384615383
1,BS,MAZZANO,PO0171070U0001,2017-12-01,148.89,32.20295698924727,116.20704301075259
2,BS,MAZZANO,PO0171070U0001,2018-01-01,148.89,32.650322580645074,115.75967741935497
3,BS,MAZZANO,PO0171070U0001,2018-02-01,148.89,32.753318452380995,115.65668154761889
4,BS,MAZZANO,PO0171070U0001,2018-03-01,148.89,33.25454301075265,115.15545698924737
5,BS,MAZZANO,PO0171070U0001,2018-04-01,148.89,33.49293055555563,114.91706944444428
6,BS,MAZZANO,PO0171070U0001,2018-05-01,148.89,32.70963709677425,115.70036290322568
7,BS,MAZZANO,PO0171070U0001,2018-06-01,148.89,32.07766666666669,116.33233333333348
8,BS,MAZZANO,PO0171070U0001,2018-07-01,148.89,30.544086021505425,117.86591397849475
9,BS,MAZZANO,PO0171070U0001,2018-08-01,148.89,29.79012096774194,118.61987903225817
10,BS,MAZZANO,PO0171070U0001,2018-09-01,148.89,29.767638888888808,118.64236111111133
11,BS,MAZZANO,PO0171070U0001,2018-10-01,148.89,30.295309139784877,118.11469086021486
12,BS,MAZZANO,PO0171070U0001,2018-11-01,148.89,30.601762114537507,117.80823788546252
13,BS,MAZZANO,PO0171070U0001,2018-12-01,148.89,30.95831989247307,117.45168010752683
14,BS,MAZZANO,PO0171070U0001,2019-01-01,148.89,32.20168021680223,116.20831978319748
15,BS,MAZZANO,PO0171070U0001,2019-02-01,148.89,34.39354166666662,114.01645833333316
16,BS,MAZZANO,PO0171070U0001,2019-03-01,148.89,32.86857526881716,115.54142473118253
17,BS,MAZZANO,PO0171070U0001,2019-04-01,148.89,32.579791666666644,115.83020833333333
18,BS,MAZZANO,PO0171070U0001,2019-05-01,148.89,32.198279569892335,116.21172043010745
19,BS,MAZZANO,PO0171070U0001,2019-06-01,148.89,32.09143055555554,116.31856944444442
20,BS,MAZZANO,PO0171070U0001,2019-07-01,148.89,31.287738896366047,117.12226110363389
21,BS,MAZZANO,PO0171070U0001,2019-08-01,148.89,30.484260752688186,117.92573924731187
22,BS,MAZZANO,PO0171070U0001,2019-09-01,148.89,30.361986111111133,118.0480138888889
23,BS,MAZZANO,PO0171070U0001,2019-10-01,148.89,30.804448924731187,117.60555107526868
24,BS,MAZZANO,PO0171070U0001,2019-11-01,148.89,30.81563888888888,117.59436111111107
25,BS,MAZZANO,PO0171070U0001,2019-12-01,148.89,30.550443548387236,117.85955645161312
26,BS,MAZZANO,PO0171070U0001,2020-01-01,148.89,30.566061827956922,117.84393817204277
27,BS,MAZZANO,PO0171070U0001,2020-02-01,148.89,35.04905172413809,113.36094827586209
28,BS,MAZZANO,PO0171070U0001,2020-03-01,148.89,35.54424731182795,112.86575268817188
29,BS,MAZZANO,PO0171070U0001,2020-04-01,148.89,32.70197222222228,115.70802777777776
30,BS,MAZZANO,PO0171070U0001,2020-05-01,148.89,34.76376344086021,113.6462365591398
31,BS,MAZZANO,PO0171070U0001,2020-06-01,148.89,34.482571428571426,113.92742857142858
32,BS,BEDIZZOLE,PO0170140RC626,2009-03-15,141.0,46.47,94.53
33,BS,BEDIZZOLE,PO0170140RC626,2009-04-15,141.0,46.37,94.63
34,BS,BEDIZZOLE,PO0170140RC626,2009-05-15,141.0,46.37,94.63
35,BS,BEDIZZOLE,PO0170140RC626,2009-06-16,141.0,46.07,94.93
36,BS,BEDIZZOLE,PO0170140RC626,2009-07-15,141.0,44.87,96.13
37,BS,BEDIZZOLE,PO0170140RC626,2009-08-15,141.0,43.77,97.23
38,BS,BEDIZZOLE,PO0170140RC626,2009-10-15,141.0,48.17,92.83
39,BS,BEDIZZOLE,PO0170140RC626,2009-11-15,141.0,49.47,91.53
40,BS,BEDIZZOLE,PO0170140RC626,2009-12-15,141.0,50.07,90.93
41,BS,BEDIZZOLE,PO0170140RC626,2010-01-15,141.0,54.6,86.4
42,BS,BEDIZZOLE,PO0170140RC626,2010-02-15,141.0,54.6,86.4
43,BS,BEDIZZOLE,PO0170140RC626,2010-03-15,141.0,55.0,86.0
44,BS,BEDIZZOLE,PO0170140RC626,2010-04-15,141.0,55.3,85.7
45,BS,BEDIZZOLE,PO0170140RC626,2010-05-15,141.0,55.7,85.3
46,BS,BEDIZZOLE,PO0170140RC626,2010-06-15,141.0,55.6,85.4
47,BS,BEDIZZOLE,PO0170140RC626,2010-07-15,141.0,54.4,86.6
48,BS,BEDIZZOLE,PO0170140RC626,2010-08-15,141.0,53.1,87.9
49,BS,BEDIZZOLE,PO0170140RC626,2010-09-11,141.0,52.0,89.0
50,BS,BEDIZZOLE,PO0170140RC626,2010-10-19,141.0,51.9,89.1
51,BS,BEDIZZOLE,PO0170140RC626,2010-11-15,141.0,52.4,88.6
52,BS,BEDIZZOLE,PO0170140RC626,2010-12-15,141.0,51.6,89.4
53,BS,BEDIZZOLE,PO0170140RC626,2011-01-28,141.0,50.8,90.2
54,BS,BEDIZZOLE,PO0170140RC626,2011-02-15,141.0,51.0,90.0
55,BS,BEDIZZOLE,PO0170140RC626,2011-03-15,141.0,51.9,89.1
56,BS,BEDIZZOLE,PO0170140RC626,2011-04-15,141.0,52.7,88.3
57,BS,BEDIZZOLE,PO0170140RC626,2011-05-15,141.0,53.1,87.9
58,BS,BEDIZZOLE,PO0170140RC626,2011-06-15,141.0,52.9,88.1
59,BS,BEDIZZOLE,PO0170140RC626,2011-07-15,141.0,52.2,88.8
60,BS,BEDIZZOLE,PO0170140RC626,2011-08-15,141.0,51.5,89.5
61,BS,BEDIZZOLE,PO0170140RC626,2011-09-15,141.0,51.4,89.6
62,BS,BEDIZZOLE,PO0170140RC626,2011-10-15,141.0,51.2,89.8
63,BS,BEDIZZOLE,PO0170140RC626,2011-11-01,141.0,51.5,89.5
64,BS,BEDIZZOLE,PO0170140RC626,2012-04-30,141.0,62.9,78.1
65,BS,BEDIZZOLE,PO0170140RC626,2012-05-15,141.0,63.0,78.0
66,BS,BEDIZZOLE,PO0170140RC626,2012-06-15,141.0,63.6,77.4
67,BS,BEDIZZOLE,PO0170140RC626,2012-07-15,141.0,63.4,77.6
68,BS,BEDIZZOLE,PO0170140RC626,2012-08-15,141.0,62.9,78.1
69,BS,BEDIZZOLE,PO0170140RC626,2012-09-15,141.0,62.3,78.7
