,PROVINCIA,COMUNE,CODICE PUNTO,DATA,Qr[m s.l.m.],DESCRIZIONE,MISURA SOGGIACENZA [m],PIEZOMETRIA [m s.l.m.],1Q_SOGG,3Q_SOGG,1Q_PIEZO,3Q_PIEZO,IQR_PIEZO,INF,SUP,OUTLIERS,Unnamed: 16,Unnamed: 17,Unnamed: 18,Etichette di riga,1Q_SOGG.1,3Q_SOGG.1,1Q_PIEZO.1,3Q_PIEZO.1
0,SO,MESE,PO0140430U0001,2004-12-21,269.0,soggiacenza statica,19.5,249.5,17.79,21.67,247.32999999999998,251.20999999999998,3.8799999999999955,241.51,257.03,,,,,PO0140430U0001,17.79,21.67,247.32999999999998,251.20999999999998
1,SO,MESE,PO0140430U0001,2005-01-27,269.0,soggiacenza statica,19.3,249.7,17.79,21.67,247.32999999999998,251.20999999999998,3.8799999999999955,241.51,257.03,,,,,PO014054NU0002,6.115,8.325,226.752,228.962
2,SO,MESE,PO0140430U0001,2005-02-23,269.0,soggiacenza statica,20.8,248.2,17.79,21.67,247.32999999999998,251.20999999999998,3.8799999999999955,241.51,257.03,,,,,PO0140570R0020,2.535,2.92,205.75,206.135
3,SO,MESE,PO0140430U0001,2005-03-23,269.0,soggiacenza statica,22.1,246.9,17.79,21.67,247.32999999999998,251.20999999999998,3.8799999999999955,241.51,257.03,,,,,Totale complessivo,2.7975,19.067500000000003,205.99,248.71249999999998
4,SO,MESE,PO0140430U0001,2005-04-29,269.0,soggiacenza statica,21.5,247.5,17.79,21.67,247.32999999999998,251.20999999999998,3.8799999999999955,241.51,257.03,,,,,,,,,
5,SO,MESE,PO0140430U0001,2005-05-10,269.0,soggiacenza statica,21.02,247.98,17.79,21.67,247.32999999999998,251.20999999999998,3.8799999999999955,241.51,257.03,,,,,,,,,
6,SO,MESE,PO0140430U0001,2005-06-29,269.0,soggiacenza statica,19.8,249.2,17.79,21.67,247.32999999999998,251.20999999999998,3.8799999999999955,241.51,257.03,,,,,,,,,
7,SO,MESE,PO0140430U0001,2005-07-19,269.0,soggiacenza statica,20.1,248.9,17.79,21.67,247.32999999999998,251.20999999999998,3.8799999999999955,241.51,257.03,,,,,,,,,
8,SO,MESE,PO0140430U0001,2005-08-23,269.0,soggiacenza statica,22.3,246.7,17.79,21.67,247.32999999999998,251.20999999999998,3.8799999999999955,241.51,257.03,,,,,,,,,
9,SO,MESE,PO0140430U0001,2005-09-28,269.0,soggiacenza statica,22.9,246.1,17.79,21.67,247.32999999999998,251.20999999999998,3.8799999999999955,241.51,257.03,,,,,,,,,
10,SO,MESE,PO0140430U0001,2005-10-25,269.0,soggiacenza statica,19.4,249.6,17.79,21.67,247.32999999999998,251.20999999999998,3.8799999999999955,241.51,257.03,,,,,,,,,
11,SO,MESE,PO0140430U0001,2005-11-14,269.0,soggiacenza statica,23.76,245.24,17.79,21.67,247.32999999999998,251.20999999999998,3.8799999999999955,241.51,257.03,,,,,,,,,
12,SO,MESE,PO0140430U0001,2005-12-21,269.0,soggiacenza statica,25.16,243.84,17.79,21.67,247.32999999999998,251.20999999999998,3.8799999999999955,241.51,257.03,,,,,,,,,
13,SO,MESE,PO0140430U0001,2006-01-24,269.0,soggiacenza statica,22.5,246.5,17.79,21.67,247.32999999999998,251.20999999999998,3.8799999999999955,241.51,257.03,,,,,,,,,
14,SO,MESE,PO0140430U0001,2006-02-22,269.0,soggiacenza statica,26.81,242.19,17.79,21.67,247.32999999999998,251.20999999999998,3.8799999999999955,241.51,257.03,,,,,,,,,
15,SO,MESE,PO0140430U0001,2006-03-28,269.0,soggiacenza statica,26.5,242.5,17.79,21.67,247.32999999999998,251.20999999999998,3.8799999999999955,241.51,257.03,,,,,,,,,
16,SO,MESE,PO0140430U0001,2006-04-24,269.0,soggiacenza statica,26.5,242.5,17.79,21.67,247.32999999999998,251.20999999999998,3.8799999999999955,241.51,257.03,,,,,,,,,
17,SO,MESE,PO0140430U0001,2006-05-17,269.0,soggiacenza statica,23.48,245.52,17.79,21.67,247.32999999999998,251.20999999999998,3.8799999999999955,241.51,257.03,,,,,,,,,
18,SO,MESE,PO0140430U0001,2006-06-27,269.0,soggiacenza statica,21.68,247.32,17.79,21.67,247.32999999999998,251.20999999999998,3.8799999999999955,241.51,257.03,,,,,,,,,
19,SO,MESE,PO0140430U0001,2006-07-27,269.0,soggiacenza statica,21.6,247.4,17.79,21.67,247.32999999999998,251.20999999999998,3.8799999999999955,241.51,257.03,,,,,,,,,
20,SO,MESE,PO0140430U0001,2006-08-31,269.0,soggiacenza statica,21.72,247.28,17.79,21.67,247.32999999999998,251.20999999999998,3.8799999999999955,241.51,257.03,,,,,,,,,
21,SO,MESE,PO0140430U0001,2006-09-28,269.0,soggiacenza statica,19.5,249.5,17.79,21.67,247.32999999999998,251.20999999999998,3.8799999999999955,241.51,257.03,,,,,,,,,
22,SO,MESE,PO0140430U0001,2006-10-25,269.0,soggiacenza statica,20.8,248.2,17.79,21.67,247.32999999999998,251.20999999999998,3.8799999999999955,241.51,257.03,,,,,,,,,
23,SO,MESE,PO0140430U0001,2006-11-22,269.0,soggiacenza statica,20.3,248.7,17.79,21.67,247.32999999999998,251.20999999999998,3.8799999999999955,241.51,257.03,,,,,,,,,
24,SO,MESE,PO0140430U0001,2006-12-20,269.0,soggiacenza statica,18.1,250.9,17.79,21.67,247.32999999999998,251.20999999999998,3.8799999999999955,241.51,257.03,,,,,,,,,
25,SO,MESE,PO0140430U0001,2007-01-29,269.0,soggiacenza statica,19.18,249.82,17.79,21.67,247.32999999999998,251.20999999999998,3.8799999999999955,241.51,257.03,,,,,,,,,
26,SO,MESE,PO0140430U0001,2007-02-21,269.0,soggiacenza statica,21.38,247.62,17.79,21.67,247.32999999999998,251.20999999999998,3.8799999999999955,241.51,257.03,,,,,,,,,
27,SO,MESE,PO0140430U0001,2007-03-29,269.0,soggiacenza statica,21.66,247.34,17.79,21.67,247.32999999999998,251.20999999999998,3.8799999999999955,241.51,257.03,,,,,,,,,
28,SO,MESE,PO0140430U0001,2007-04-27,269.0,soggiacenza statica,21.92,247.08,17.79,21.67,247.32999999999998,251.20999999999998,3.8799999999999955,241.51,257.03,,,,,,,,,
29,SO,MESE,PO0140430U0001,2007-05-17,269.0,soggiacenza statica,21.18,247.82,17.79,21.67,247.32999999999998,251.20999999999998,3.8799999999999955,241.51,257.03,,,,,,,,,
30,SO,MESE,PO0140430U0001,2007-06-28,269.0,soggiacenza statica,18.55,250.45,17.79,21.67,247.32999999999998,251.20999999999998,3.8799999999999955,241.51,257.03,,,,,,,,,
31,SO,MESE,PO0140430U0001,2007-07-25,269.0,soggiacenza statica,18.75,250.25,17.79,21.67,247.32999999999998,251.20999999999998,3.8799999999999955,241.51,257.03,,,,,,,,,
32,SO,MESE,PO0140430U0001,2007-08-30,269.0,soggiacenza statica,18.5,250.5,17.79,21.67,247.32999999999998,251.20999999999998,3.8799999999999955,241.51,257.03,,,,,,,,,
33,SO,MESE,PO0140430U0001,2007-09-19,269.0,soggiacenza statica,19.55,249.45,17.79,21.67,247.32999999999998,251.20999999999998,3.8799999999999955,241.51,257.03,,,,,,,,,
34,SO,MESE,PO0140430U0001,2007-10-31,269.0,soggiacenza statica,21.48,247.52,17.79,21.67,247.32999999999998,251.20999999999998,3.8799999999999955,241.51,257.03,,,,,,,,,
35,SO,MESE,PO0140430U0001,2007-11-14,269.0,soggiacenza statica,22.3,246.7,17.79,21.67,247.32999999999998,251.20999999999998,3.8799999999999955,241.51,257.03,,,,,,,,,
36,SO,MESE,PO0140430U0001,2007-12-20,269.0,soggiacenza statica,23.52,245.48,17.79,21.67,247.32999999999998,251.20999999999998,3.8799999999999955,241.51,257.03,,,,,,,,,
37,SO,MESE,PO0140430U0001,2008-01-29,269.0,soggiacenza statica,24.07,244.93,17.79,21.67,247.32999999999998,251.20999999999998,3.8799999999999955,241.51,257.03,,,,,,,,,
38,SO,MESE,PO0140430U0001,2008-02-28,269.0,soggiacenza statica,24.2,244.8,17.79,21.67,247.32999999999998,251.20999999999998,3.8799999999999955,241.51,257.03,,,,,,,,,
39,SO,MESE,PO0140430U0001,2008-03-27,269.0,soggiacenza statica,24.19,244.81,17.79,21.67,247.32999999999998,251.20999999999998,3.8799999999999955,241.51,257.03,,,,,,,,,
40,SO,MESE,PO0140430U0001,2008-04-23,269.0,soggiacenza statica,23.7,245.3,17.79,21.67,247.32999999999998,251.20999999999998,3.8799999999999955,241.51,257.03,,,,,,,,,
41,SO,MESE,PO0140430U0001,2008-05-20,269.0,soggiacenza statica,21.58,247.42,17.79,21.67,247.32999999999998,251.20999999999998,3.8799999999999955,241.51,257.03,,,,,,,,,
42,SO,MESE,PO0140430U0001,2008-06-25,269.0,soggiacenza statica,18.83,250.17,17.79,21.67,247.32999999999998,251.20999999999998,3.8799999999999955,241.51,257.03,,,,,,,,,
43,SO,MESE,PO0140430U0001,2008-07-31,269.0,soggiacenza statica,17.53,251.47,17.79,21.67,247.32999999999998,251.20999999999998,3.8799999999999955,241.51,257.03,,,,,,,,,
44,SO,MESE,PO0140430U0001,2008-08-28,269.0,soggiacenza statica,18.23,250.77,17.79,21.67,247.32999999999998,251.20999999999998,3.8799999999999955,241.51,257.03,,,,,,,,,
45,SO,MESE,PO0140430U0001,2008-09-23,269.0,soggiacenza statica,17.5,251.5,17.79,21.67,247.32999999999998,251.20999999999998,3.8799999999999955,241.51,257.03,,,,,,,,,
