,PROVINCIA,COMUNE,CODICE PUNTO,DATA,Qr[m s.l.m.],DESCRIZIONE,MISURA SOGGIACENZA [m],PIEZOMETRIA [m s.l.m.],1Q_SOGG,3Q_SOGG,1Q_PIEZO,3Q_PIEZO,IQR_PIEZO,INF,SUP,OUTLIERS,Unnamed: 16,Etichette di riga,1Q_SOGG.1,3Q_SOGG.1,1Q_PIEZO.1,3Q_PIEZO.1
0,SO,COSIO VALTELLINO,PO014024NU0001,2015-04-24,224.616,soggiacenza statica,9.2,215.416,6.335,7.45,217.166,218.281,1.115000000000009,215.49349999999998,219.95350000000002,OUTLIER,,PO014024NU0001,6.335,7.45,217.166,218.281
1,SO,COSIO VALTELLINO,PO014024NU0001,2015-05-05,224.616,soggiacenza statica,9.26,215.356,6.335,7.45,217.166,218.281,1.115000000000009,215.49349999999998,219.95350000000002,OUTLIER,,PO0140260U0001,11.75,13.4,206.478,208.128
2,SO,COSIO VALTELLINO,PO014024NU0001,2015-06-12,224.616,soggiacenza statica,6.28,218.336,6.335,7.45,217.166,218.281,1.115000000000009,215.49349999999998,219.95350000000002,,,PO0140450U0027,2.7075,3.0524999999999998,223.9895,224.3345
3,SO,COSIO VALTELLINO,PO014024NU0001,2015-07-20,224.616,soggiacenza statica,6.35,218.266,6.335,7.45,217.166,218.281,1.115000000000009,215.49349999999998,219.95350000000002,,,Totale complessivo,3.205,13.0,206.878,223.83700000000002
4,SO,COSIO VALTELLINO,PO014024NU0001,2015-08-24,224.616,soggiacenza statica,6.61,218.006,6.335,7.45,217.166,218.281,1.115000000000009,215.49349999999998,219.95350000000002,,,,,,,
5,SO,COSIO VALTELLINO,PO014024NU0001,2015-09-15,224.616,soggiacenza statica,6.45,218.166,6.335,7.45,217.166,218.281,1.115000000000009,215.49349999999998,219.95350000000002,,,,,,,
6,SO,COSIO VALTELLINO,PO014024NU0001,2015-10-20,224.616,soggiacenza statica,8.22,216.396,6.335,7.45,217.166,218.281,1.115000000000009,215.49349999999998,219.95350000000002,,,,,,,
7,SO,COSIO VALTELLINO,PO014024NU0001,2015-11-18,224.616,soggiacenza statica,6.32,218.296,6.335,7.45,217.166,218.281,1.115000000000009,215.49349999999998,219.95350000000002,,,,,,,
8,SO,COSIO VALTELLINO,PO014024NU0001,2015-12-02,224.616,soggiacenza statica,6.67,217.946,6.335,7.45,217.166,218.281,1.115000000000009,215.49349999999998,219.95350000000002,,,,,,,
9,SO,COSIO VALTELLINO,PO014024NU0001,2016-01-07,224.616,soggiacenza statica,7.62,216.996,6.335,7.45,217.166,218.281,1.115000000000009,215.49349999999998,219.95350000000002,,,,,,,
