,PROVINCIA,COMUNE,CODICE PUNTO,DATA,Qr[m s.l.m.],DESCRIZIONE,SOGGIACENZA [m],PIEZOMETRIA [m s.l.m.],1Q_PIEZO,3Q_PIEZO,INT_Q_PIEZO,INF,SUP,OUTLIER_PIEZO,1Q_SOGG,3Q_SOGG,Etichette di riga,1Q_PIEZO.1,3Q_PIEZO.1,1Q_SOGG.1,3Q_SOGG.1
0,BS,BARGHE,PO017012NUE028,2016-01-19,293.44,soggiacenza statica,9.38,284.06,278.09000000000003,284.19,6.099999999999966,268.94000000000005,293.3399999999999, ,284.19,9.25,PO017012NUE028,278.09000000000003,284.19,9.25,15.350000000000001
1,BS,BARGHE,PO017012NUE028,2016-02-29,293.44,soggiacenza statica,8.81,284.63,278.09000000000003,284.19,6.099999999999966,268.94000000000005,293.3399999999999, ,284.19,9.25,PO017132NU0001,128.95,133.7175,50.9025,55.67
2,BS,BARGHE,PO017012NUE028,2016-04-28,293.44,soggiacenza statica,9.25,284.19,278.09000000000003,284.19,6.099999999999966,268.94000000000005,293.3399999999999, ,284.19,9.25,,,,,
3,BS,BARGHE,PO017012NUE028,2016-06-17,293.44,soggiacenza statica,8.84,284.6,278.09000000000003,284.19,6.099999999999966,268.94000000000005,293.3399999999999, ,284.19,9.25,,,,,
4,BS,BARGHE,PO017012NUE028,2016-08-10,293.44,soggiacenza statica,9.01,284.43,278.09000000000003,284.19,6.099999999999966,268.94000000000005,293.3399999999999, ,284.19,9.25,,,,,
5,BS,BARGHE,PO017012NUE028,2017-01-02,293.44,soggiacenza statica,15.3,278.14,278.09000000000003,284.19,6.099999999999966,268.94000000000005,293.3399999999999, ,284.19,9.25,,,,,
6,BS,BARGHE,PO017012NUE028,2017-02-06,293.44,soggiacenza statica,15.5,277.94,278.09000000000003,284.19,6.099999999999966,268.94000000000005,293.3399999999999, ,284.19,9.25,,,,,
7,BS,BARGHE,PO017012NUE028,2017-03-07,293.44,soggiacenza statica,15.2,278.24,278.09000000000003,284.19,6.099999999999966,268.94000000000005,293.3399999999999, ,284.19,9.25,,,,,
8,BS,BARGHE,PO017012NUE028,2017-04-08,293.44,soggiacenza statica,15.4,278.04,278.09000000000003,284.19,6.099999999999966,268.94000000000005,293.3399999999999, ,284.19,9.25,,,,,
9,BS,BARGHE,PO017012NUE028,2017-05-09,293.44,soggiacenza statica,14.5,278.94,278.09000000000003,284.19,6.099999999999966,268.94000000000005,293.3399999999999, ,284.19,9.25,,,,,
10,BS,BARGHE,PO017012NUE028,2017-06-15,293.44,soggiacenza statica,15.9,277.54,278.09000000000003,284.19,6.099999999999966,268.94000000000005,293.3399999999999, ,284.19,9.25,,,,,
11,BS,BARGHE,PO017012NUE028,2017-07-17,293.44,soggiacenza statica,15.7,277.74,278.09000000000003,284.19,6.099999999999966,268.94000000000005,293.3399999999999, ,284.19,9.25,,,,,
12,BS,BARGHE,PO017012NUE028,2017-08-24,293.44,soggiacenza statica,15.5,277.94,278.09000000000003,284.19,6.099999999999966,268.94000000000005,293.3399999999999, ,284.19,9.25,,,,,
