,PROVINCIA,COMUNE,CODICE PUNTO,DATA,Qr[m s.l.m.],DESCRIZIONE,SOGGIACENZA [m],PIEZOMETRIA [m s.l.m.],1Q_PIEZO,3Q_PIEZO,INT_Q_PIEZO,INF,SUP,OUTLIER_PIEZO,1Q_SOGG,3Q_SOGG,Unnamed: 16,Etichette di riga,1Q_PIEZO.1,3Q_PIEZO.1,1Q_SOGG.1,3Q_SOGG.1
0,SO,MAZZO DI VALTELLINA,PO014040NR0002,2012-02-29,555.078,soggiacenza statica,28.955,526.123,525.4176774193548,528.4055000000001,2.987822580645229,520.9359435483871,532.887233870968, ,26.6725,29.660322580645126,,PO014040NR0002,525.4176774193548,528.4055000000001,26.6725,29.660322580645126
1,SO,MAZZO DI VALTELLINA,PO014040NR0002,2012-03-28,555.078,soggiacenza statica,29.135,525.943,525.4176774193548,528.4055000000001,2.987822580645229,520.9359435483871,532.887233870968, ,26.6725,29.660322580645126,,PO014065NR0010,380.0,380.65,4.1,4.75
2,SO,MAZZO DI VALTELLINA,PO014040NR0002,2012-04-24,555.078,soggiacenza statica,28.635,526.443,525.4176774193548,528.4055000000001,2.987822580645229,520.9359435483871,532.887233870968, ,26.6725,29.660322580645126,,PO0140660U0001,390.6685,394.486,31.29,35.1075
3,SO,MAZZO DI VALTELLINA,PO014040NR0002,2012-05-21,555.078,soggiacenza statica,27.425,527.653,525.4176774193548,528.4055000000001,2.987822580645229,520.9359435483871,532.887233870968, ,26.6725,29.660322580645126,,PO0140780R0001,386.59634408602153,388.5588753745814,7.08112462541865,9.04365591397849
4,SO,MAZZO DI VALTELLINA,PO014040NR0002,2012-06-27,555.078,soggiacenza statica,27.075,528.003,525.4176774193548,528.4055000000001,2.987822580645229,520.9359435483871,532.887233870968, ,26.6725,29.660322580645126,,Totale complessivo,380.65,395.031,4.75,32.379999999999995
5,SO,MAZZO DI VALTELLINA,PO014040NR0002,2012-07-12,555.078,soggiacenza statica,27.175,527.903,525.4176774193548,528.4055000000001,2.987822580645229,520.9359435483871,532.887233870968, ,26.6725,29.660322580645126,,,,,,
6,SO,MAZZO DI VALTELLINA,PO014040NR0002,2012-08-09,555.078,soggiacenza statica,28.415,526.663,525.4176774193548,528.4055000000001,2.987822580645229,520.9359435483871,532.887233870968, ,26.6725,29.660322580645126,,,,,,
7,SO,MAZZO DI VALTELLINA,PO014040NR0002,2012-09-19,555.078,soggiacenza statica,29.475,525.603,525.4176774193548,528.4055000000001,2.987822580645229,520.9359435483871,532.887233870968, ,26.6725,29.660322580645126,,,,,,
8,SO,MAZZO DI VALTELLINA,PO014040NR0002,2012-10-24,555.078,soggiacenza statica,29.075,526.003,525.4176774193548,528.4055000000001,2.987822580645229,520.9359435483871,532.887233870968, ,26.6725,29.660322580645126,,,,,,
9,SO,MAZZO DI VALTELLINA,PO014040NR0002,2012-11-27,555.078,soggiacenza statica,28.175,526.903,525.4176774193548,528.4055000000001,2.987822580645229,520.9359435483871,532.887233870968, ,26.6725,29.660322580645126,,,,,,
10,SO,MAZZO DI VALTELLINA,PO014040NR0002,2012-12-11,555.078,soggiacenza statica,27.975,527.103,525.4176774193548,528.4055000000001,2.987822580645229,520.9359435483871,532.887233870968, ,26.6725,29.660322580645126,,,,,,
11,SO,MAZZO DI VALTELLINA,PO014040NR0002,2013-01-14,555.078,soggiacenza statica,28.275,526.803,525.4176774193548,528.4055000000001,2.987822580645229,520.9359435483871,532.887233870968, ,26.6725,29.660322580645126,,,,,,
12,SO,MAZZO DI VALTELLINA,PO014040NR0002,2013-02-11,555.078,soggiacenza statica,28.725,526.353,525.4176774193548,528.4055000000001,2.987822580645229,520.9359435483871,532.887233870968, ,26.6725,29.660322580645126,,,,,,
13,SO,MAZZO DI VALTELLINA,PO014040NR0002,2013-03-11,555.078,soggiacenza statica,29.265,525.813,525.4176774193548,528.4055000000001,2.987822580645229,520.9359435483871,532.887233870968, ,26.6725,29.660322580645126,,,,,,
14,SO,MAZZO DI VALTELLINA,PO014040NR0002,2013-04-08,555.078,soggiacenza statica,27.795,527.283,525.4176774193548,528.4055000000001,2.987822580645229,520.9359435483871,532.887233870968, ,26.6725,29.660322580645126,,,,,,
15,SO,MAZZO DI VALTELLINA,PO014040NR0002,2013-05-07,555.078,soggiacenza statica,29.235,525.843,525.4176774193548,528.4055000000001,2.987822580645229,520.9359435483871,532.887233870968, ,26.6725,29.660322580645126,,,,,,
16,SO,MAZZO DI VALTELLINA,PO014040NR0002,2013-06-10,555.078,soggiacenza statica,27.755,527.323,525.4176774193548,528.4055000000001,2.987822580645229,520.9359435483871,532.887233870968, ,26.6725,29.660322580645126,,,,,,
17,SO,MAZZO DI VALTELLINA,PO014040NR0002,2013-07-08,555.078,soggiacenza statica,27.495,527.583,525.4176774193548,528.4055000000001,2.987822580645229,520.9359435483871,532.887233870968, ,26.6725,29.660322580645126,,,,,,
18,SO,MAZZO DI VALTELLINA,PO014040NR0002,2013-08-05,555.078,soggiacenza statica,27.195,527.883,525.4176774193548,528.4055000000001,2.987822580645229,520.9359435483871,532.887233870968, ,26.6725,29.660322580645126,,,,,,
19,SO,MAZZO DI VALTELLINA,PO014040NR0002,2013-09-09,555.078,soggiacenza statica,28.105,526.973,525.4176774193548,528.4055000000001,2.987822580645229,520.9359435483871,532.887233870968, ,26.6725,29.660322580645126,,,,,,
