,PROVINCIA,COMUNE,CODICE PUNTO,DATA,Qr[m s.l.m.],DESCRIZIONE,MISURA SOGGIACENZA [m],PIEZOMETRIA [m s.l.m.],1Q_SOGG,3Q_SOGG,1Q_PIEZO,3Q_PIEZO,IQR_PIEZO,INF,SUP,OUTLIERS
0,BS,GARDONE VAL TROMPIA,PO0170750RC536,2009-06-25,349.52,soggiacenza statica,0.65,348.87,0.2275,0.5925,348.9275,349.2925,0.3650000000000091,348.38,349.84000000000003,
1,BS,GARDONE VAL TROMPIA,PO0170750RC536,2009-08-28,349.52,soggiacenza statica,0.67,348.85,0.2275,0.5925,348.9275,349.2925,0.3650000000000091,348.38,349.84000000000003,
2,BS,GARDONE VAL TROMPIA,PO0170750RC536,2010-06-30,349.52,soggiacenza statica,0.4,349.12,0.2275,0.5925,348.9275,349.2925,0.3650000000000091,348.38,349.84000000000003,
3,BS,GARDONE VAL TROMPIA,PO0170750RC536,2010-07-27,349.52,soggiacenza statica,0.31,349.21,0.2275,0.5925,348.9275,349.2925,0.3650000000000091,348.38,349.84000000000003,
4,BS,GARDONE VAL TROMPIA,PO0170750RC536,2010-10-22,349.52,soggiacenza statica,0.6,348.92,0.2275,0.5925,348.9275,349.2925,0.3650000000000091,348.38,349.84000000000003,
5,BS,GARDONE VAL TROMPIA,PO0170750RC536,2010-11-30,349.52,soggiacenza statica,0.8,348.72,0.2275,0.5925,348.9275,349.2925,0.3650000000000091,348.38,349.84000000000003,
6,BS,GARDONE VAL TROMPIA,PO0170750RC536,2011-01-26,349.52,soggiacenza statica,0.52,349.0,0.2275,0.5925,348.9275,349.2925,0.3650000000000091,348.38,349.84000000000003,
7,BS,GARDONE VAL TROMPIA,PO0170750RC536,2011-02-10,349.52,soggiacenza statica,0.43,349.09,0.2275,0.5925,348.9275,349.2925,0.3650000000000091,348.38,349.84000000000003,
8,BS,GARDONE VAL TROMPIA,PO0170750RC536,2011-03-30,349.52,soggiacenza statica,0.45,349.07,0.2275,0.5925,348.9275,349.2925,0.3650000000000091,348.38,349.84000000000003,
9,BS,GARDONE VAL TROMPIA,PO0170750RC536,2011-04-14,349.52,soggiacenza statica,0.5,349.02,0.2275,0.5925,348.9275,349.2925,0.3650000000000091,348.38,349.84000000000003,
10,BS,GARDONE VAL TROMPIA,PO0170750RC536,2011-05-18,349.52,soggiacenza statica,0.65,348.87,0.2275,0.5925,348.9275,349.2925,0.3650000000000091,348.38,349.84000000000003,
11,BS,GARDONE VAL TROMPIA,PO0170750RC536,2011-06-02,349.52,soggiacenza statica,0.63,348.89,0.2275,0.5925,348.9275,349.2925,0.3650000000000091,348.38,349.84000000000003,
12,BS,GARDONE VAL TROMPIA,PO0170750RC536,2011-07-26,349.52,soggiacenza statica,0.59,348.93,0.2275,0.5925,348.9275,349.2925,0.3650000000000091,348.38,349.84000000000003,
13,BS,GARDONE VAL TROMPIA,PO0170750RC536,2011-08-17,349.52,soggiacenza statica,0.42,349.1,0.2275,0.5925,348.9275,349.2925,0.3650000000000091,348.38,349.84000000000003,
14,BS,GARDONE VAL TROMPIA,PO0170750RC536,2011-09-12,349.52,soggiacenza statica,0.5,349.02,0.2275,0.5925,348.9275,349.2925,0.3650000000000091,348.38,349.84000000000003,
15,BS,GARDONE VAL TROMPIA,PO0170750RC536,2011-10-28,349.52,soggiacenza statica,0.39,349.13,0.2275,0.5925,348.9275,349.2925,0.3650000000000091,348.38,349.84000000000003,
16,BS,GARDONE VAL TROMPIA,PO0170750RC536,2011-11-30,349.52,soggiacenza statica,0.44,349.08,0.2275,0.5925,348.9275,349.2925,0.3650000000000091,348.38,349.84000000000003,
17,BS,GARDONE VAL TROMPIA,PO0170750RC536,2011-12-15,349.52,soggiacenza statica,0.52,349.0,0.2275,0.5925,348.9275,349.2925,0.3650000000000091,348.38,349.84000000000003,
18,BS,GARDONE VAL TROMPIA,PO0170750RC536,2012-01-25,349.52,soggiacenza statica,0.6,348.92,0.2275,0.5925,348.9275,349.2925,0.3650000000000091,348.38,349.84000000000003,
19,BS,GARDONE VAL TROMPIA,PO0170750RC536,2012-02-21,349.52,soggiacenza statica,0.79,348.73,0.2275,0.5925,348.9275,349.2925,0.3650000000000091,348.38,349.84000000000003,
