,PROVINCIA,COMUNE,CODICE PUNTO,DATA,Qr[m s.l.m.],DESCRIZIONE,MISURA SOGGIACENZA [m],PIEZOMETRIA [m s.l.m.],1Q_SOGG,3Q_SOGG,1Q_PIEZO,3Q_PIEZO,IQR_PIEZO,INF,SUP,OUTLIERS,Unnamed: 16,Unnamed: 17,Unnamed: 18,Etichette di riga,1Q_SOGG.1,3Q_SOGG.1,1Q_PIEZO.1,3Q_PIEZO.1,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43
0,PV,CANDIA LOMELLINA,PO0180270U0001,2008-02-25,103.848,soggiacenza statica,4.1,99.748,2.4250000000000003,3.6025,100.2455,101.423,1.1774999999999949,98.47925000000001,103.18924999999999,,,,,PO0180270U0001,2.4250000000000003,3.6025,100.2455,101.423,,,,,,,,,,,,,,,,,,,,
1,PV,CANDIA LOMELLINA,PO0180270U0001,2008-05-16,103.848,soggiacenza statica,3.16,100.688,2.4250000000000003,3.6025,100.2455,101.423,1.1774999999999949,98.47925000000001,103.18924999999999,,,,,PO018035NU0001,14,15.112499999999999,104.9255,106.038,,,,,,,,,,,,,,,,,,,,
2,PV,CANDIA LOMELLINA,PO0180270U0001,2008-08-25,103.848,soggiacenza statica,1.59,102.258,2.4250000000000003,3.6025,100.2455,101.423,1.1774999999999949,98.47925000000001,103.18924999999999,,,,,PO0180610U0001,9.78,11,79.187,80.407,,,,,,,,,,,,,,,,,,,,
3,PV,CANDIA LOMELLINA,PO0180270U0001,2008-11-24,103.848,soggiacenza statica,3.57,100.278,2.4250000000000003,3.6025,100.2455,101.423,1.1774999999999949,98.47925000000001,103.18924999999999,,,,,PO0180690U0001,8.8175,9.9075,83.1165,84.2065,,,,,,,,,,,,,,,,,,,,
4,PV,CANDIA LOMELLINA,PO0180270U0001,2010-02-23,103.848,soggiacenza statica,3.56,100.288,2.4250000000000003,3.6025,100.2455,101.423,1.1774999999999949,98.47925000000001,103.18924999999999,,,,,PO0180880U0003,3.5,4.7,88.249,89.449,,,,,,,,,,,,,,,,,,,,
5,PV,CANDIA LOMELLINA,PO0180270U0001,2010-05-27,103.848,soggiacenza statica,3.0,100.848,2.4250000000000003,3.6025,100.2455,101.423,1.1774999999999949,98.47925000000001,103.18924999999999,,,,,PO0181300U0001,2.3,3.5,108.926,110.126,,,,,,,,,,,,,,,,,,,,
6,PV,CANDIA LOMELLINA,PO0180270U0001,2010-08-25,103.848,soggiacenza statica,1.56,102.288,2.4250000000000003,3.6025,100.2455,101.423,1.1774999999999949,98.47925000000001,103.18924999999999,,,,,PO0181640U0001,2.2,2.96,94.683,95.443,,,,,,,,,,,,,,,,,,,,
7,PV,CANDIA LOMELLINA,PO0180270U0001,2010-11-18,103.848,soggiacenza statica,3.1,100.748,2.4250000000000003,3.6025,100.2455,101.423,1.1774999999999949,98.47925000000001,103.18924999999999,,,,,Totale complessivo,2.9,9.25,88.179,105.388,,,,,,,,,,,,,,,,,,,,
8,PV,CANDIA LOMELLINA,PO0180270U0001,2011-02-09,103.848,soggiacenza statica,3.54,100.308,2.4250000000000003,3.6025,100.2455,101.423,1.1774999999999949,98.47925000000001,103.18924999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,PV,CANDIA LOMELLINA,PO0180270U0001,2011-05-09,103.848,soggiacenza statica,3.35,100.498,2.4250000000000003,3.6025,100.2455,101.423,1.1774999999999949,98.47925000000001,103.18924999999999,,,,,,Etichette di colonna,,,,,,,,,,,,,,,,,,,,,,,
