,PROVINCIA,COMUNE,CODICE PUNTO,DATA,Qr[m s.l.m.],DESCRIZIONE,SOGGIACENZA [m],PIEZOMETRIA [m s.l.m.],1Q_PIEZO,3Q_PIEZO,INT_Q_PIEZO,INF,SUP,OUTLIER_PIEZO,1Q_SOGG,3Q_SOGG,Unnamed: 16,Unnamed: 17,Etichette di riga,1Q_PIEZO.1,3Q_PIEZO.1,1Q_SOGG.1,3Q_SOGG.1,Unnamed: 23,Unnamed: 24,Etichette di colonna,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48
0,MI,ABBIATEGRASSO,PO015002NUP001,2016-02-01,116.703,soggiacenza statica,15.24,101.463,113.143,114.423,1.2800000000000011,111.223,115.703,OUTLIER,2.28,3.56,,,PO015002NUP001,113.143,114.423,2.28,3.56,,,gen,,feb,,mar,,apr,,mag,,giu,,lug,,ago,,set,,ott,,nov,,dic,
1,MI,ABBIATEGRASSO,PO015002NUP001,2016-03-01,116.703,soggiacenza statica,15.32,101.383,113.143,114.423,1.2800000000000011,111.223,115.703,OUTLIER,2.28,3.56,,,PO0150150U0005,94.7525,95.2075,5.5225,5.9775,,Etichette di riga,1Q_SOG,3Q_SOG,1Q_SOG,3Q_SOG,1Q_SOG,3Q_SOG,1Q_SOG,3Q_SOG,1Q_SOG,3Q_SOG,1Q_SOG,3Q_SOG,1Q_SOG,3Q_SOG,1Q_SOG,3Q_SOG,1Q_SOG,3Q_SOG,1Q_SOG,3Q_SOG,1Q_SOG,3Q_SOG,1Q_SOG,3Q_SOG
2,MI,ABBIATEGRASSO,PO015002NUP001,2016-04-01,116.703,soggiacenza statica,14.91,101.793,113.143,114.423,1.2800000000000011,111.223,115.703,OUTLIER,2.28,3.56,,,PO0150270U0159,138.68,139.70499999999998,10.11,11.135000000000002,,PO015002NUP001,1.87,1.87,2.005,8.715,2.195,8.809999999999999,2.3,8.645,2.625,8.794999999999998,2.995,9.504999999999999,2.4974999999999996,2.9325,2.3499999999999996,9.285,2.3175,2.9525,3.0025,3.3075,3.1175,3.3725,3.695,3.965
3,MI,ABBIATEGRASSO,PO015002NUP001,2016-05-01,116.703,soggiacenza statica,14.79,101.913,113.143,114.423,1.2800000000000011,111.223,115.703,OUTLIER,2.28,3.56,,,PO0150350U0003,97.8625,98.955,5.4350000000000005,6.5275,,PO0150150U0005,5.4575,6.0225,5.63,6.02,5.577500000000001,6.0325,5.75,5.9425,5.6475,5.88,5.672499999999999,6,5.48,5.86,5.3375,5.7025,5.4,5.73,5.73,5.92,5.4350000000000005,5.8025,5.6725,5.955
4,MI,ABBIATEGRASSO,PO015002NUP001,2016-06-01,116.703,soggiacenza statica,15.69,101.013,113.143,114.423,1.2800000000000011,111.223,115.703,OUTLIER,2.28,3.56,,,PO0150360U0002,106.925,107.64,5.85,6.5649999999999995,,PO0150270U0159,,,10.39,10.945,10.530000000000001,11.175,10.685,11.27,9.93,11.3225,10.3275,10.9225,10.41,10.63,9.93,10.61,10.0775,10.4125,10.2975,10.6125,10.545,10.835,10.315000000000001,11.004999999999999
5,MI,ABBIATEGRASSO,PO015002NUP001,2016-08-01,116.703,soggiacenza statica,15.77,100.933,113.143,114.423,1.2800000000000011,111.223,115.703,OUTLIER,2.28,3.56,,,PO0150700U0186,118.85249999999999,121.85249999999999,11.9775,14.9775,,PO0150350U0003,5.779999999999999,6.58,5.65,6.34,5.37,6.74,5.535,7.24,5.75,7.09,5.32,6.295,5.1725,6.1675,5.43,5.8025,5.2524999999999995,5.89,5.58,6.05,5.69,6.227499999999999,5.5,6.62
6,MI,ABBIATEGRASSO,PO015002NUP001,2017-02-01,116.703,soggiacenza statica,2.19,114.513,113.143,114.423,1.2800000000000011,111.223,115.703, ,2.28,3.56,,,PO0150810U0069,125.99249999999999,127.67500000000001,10.855,12.5375,,PO0150360U0002,6.0525,6.8875,5.93,6.68,5.73,6.89,5.8925,6.5874999999999995,5.91,6.465,5.73,6.23,5.98,6.635,5.84,5.84,5.75,6.055,5.945,6.3375,5.755,6.445,6.0024999999999995,6.755
7,MI,ABBIATEGRASSO,PO015002NUP001,2017-03-01,116.703,soggiacenza statica,2.3,114.403,113.143,114.423,1.2800000000000011,111.223,115.703, ,2.28,3.56,,,PO0150850U0262,132.579,134.059,6.27,7.75,,PO0150700U0186,14.22,14.22,13.2,13.725000000000001,13.350000000000001,13.96,14.629999999999999,14.879999999999999,14.26,15.25,14.54,15.07,14.649999999999999,15.55,11.1,14.9,10.925,14.875,8.9,8.9,10.135,11.26,10.915,11.545
8,MI,ABBIATEGRASSO,PO015002NUP001,2017-04-01,116.703,soggiacenza statica,2.38,114.323,113.143,114.423,1.2800000000000011,111.223,115.703, ,2.28,3.56,,,PO0151100U0001,139.456,146.186,34.52,41.25,,PO0150810U0069,10.93,10.93,11.93,12.3,11.2,13.07,12.36,12.36,11.620000000000001,12.425,11.2925,12.755,10.48,10.48,11.39,12.594999999999999,10.35,12.51,,,11.575,12.295,10.78,13.22
9,MI,ABBIATEGRASSO,PO015002NUP001,2017-05-01,116.703,soggiacenza statica,2.8,113.903,113.143,114.423,1.2800000000000011,111.223,115.703, ,2.28,3.56,,,PO015113NUP002,146.69299999999998,150.45800000000003,12.21,15.975000000000001,,PO0150850U0262,7.62,7.62,6.485,7.245,6.315,7.16,7.675,8.35,6.0975,8.155000000000001,6.984999999999999,7.705,7.04,7.1,6.225,6.5775,6.07,6.869999999999999,5.157500000000001,7.035,6.192500000000001,6.967499999999999,6.4,7.5
