,PROVINCIA,COMUNE,CODICE PUNTO,DATA,Qr[m s.l.m.],DESCRIZIONE,MISURA SOGGIACENZA [m],PIEZOMETRIA [m s.l.m.],1Q_SOGG,3Q_SOGG,1Q_PIEZO,3Q_PIEZO,IQR_PIEZO,INF,SUP,OUTLIERS,Unnamed: 16,Unnamed: 17,Unnamed: 18,Etichette di riga,1Q_PIEZO.1,3Q_PIEZO.1,1Q_SOGG.1,3Q_SOGG.1
0,MI,BOLLATE,PO015027NUP002,2016-02-01,149.24,soggiacenza statica,10.92,138.32,10.92,13.48,135.76,138.32,2.5600000000000023,131.92,142.16,,,,,PO012068NUP001,169.70499999999998,173.20499999999998,34.925,38.425
1,MI,BOLLATE,PO015027NUP002,2016-03-01,149.24,soggiacenza statica,10.78,138.46,10.92,13.48,135.76,138.32,2.5600000000000023,131.92,142.16,,,,,PO012090NU3009,151.5425,154.8125,53.6325,56.902499999999996
2,MI,BOLLATE,PO015027NUP002,2016-04-01,149.24,soggiacenza statica,10.48,138.76,10.92,13.48,135.76,138.32,2.5600000000000023,131.92,142.16,,,,,PO012109NUB005,167.4295,171.142,21.16,24.8725
3,MI,BOLLATE,PO015027NUP002,2016-05-01,149.24,soggiacenza statica,10.4,138.84,10.92,13.48,135.76,138.32,2.5600000000000023,131.92,142.16,,,,,PO0121180U2006,194.425,197.925,32.075,35.575
4,MI,BOLLATE,PO015027NUP002,2016-06-01,149.24,soggiacenza statica,11.1,138.14,10.92,13.48,135.76,138.32,2.5600000000000023,131.92,142.16,,,,,PO012118NUP001,189.179,192.359,27.71,30.89
5,MI,BOLLATE,PO015027NUP002,2016-08-01,149.24,soggiacenza statica,9.94,139.3,10.92,13.48,135.76,138.32,2.5600000000000023,131.92,142.16,,,,,PO012119NU0009,176.48000000000002,181.60000000000002,27.729999999999997,32.849999999999994
6,MI,BOLLATE,PO015027NUP002,2016-09-01,149.24,soggiacenza statica,11.05,138.19,10.92,13.48,135.76,138.32,2.5600000000000023,131.92,142.16,,,,,PO013101NUP001,200.606,204.286,103.25,106.93
7,MI,BOLLATE,PO015027NUP002,2016-10-01,149.24,soggiacenza statica,11.18,138.06,10.92,13.48,135.76,138.32,2.5600000000000023,131.92,142.16,,,,,PO0132020U0003,179.77949999999998,186.55450000000002,48.037499999999994,54.8125
8,MI,BOLLATE,PO015027NUP002,2016-11-01,149.24,soggiacenza statica,11.48,137.76,10.92,13.48,135.76,138.32,2.5600000000000023,131.92,142.16,,,,,PO015027NUP002,135.76,138.32,10.92,13.48
9,MI,BOLLATE,PO015027NUP002,2016-12-01,149.24,soggiacenza statica,11.56,137.68,10.92,13.48,135.76,138.32,2.5600000000000023,131.92,142.16,,,,,PO0150410U0058,162.43200000000002,163.612,25.44,26.62
10,MI,BOLLATE,PO015027NUP002,2017-02-01,149.24,soggiacenza statica,13.12,136.12,10.92,13.48,135.76,138.32,2.5600000000000023,131.92,142.16,,,,,PO015077NU0023,128.589,131.429,19.08,21.92
11,MI,BOLLATE,PO015027NUP002,2017-03-01,149.24,soggiacenza statica,12.95,136.29,10.92,13.48,135.76,138.32,2.5600000000000023,131.92,142.16,,,,,PO0150850U0263,132.972,134.052,6.27,7.35
12,MI,BOLLATE,PO015027NUP002,2017-04-01,149.24,soggiacenza statica,13.85,135.39,10.92,13.48,135.76,138.32,2.5600000000000023,131.92,142.16,,,,,PO0151160U0008,164.045,167.445,14.024999999999999,17.424999999999997
