,PROVINCIA,COMUNE,CODICE PUNTO,DATA,Qr[m s.l.m.],DESCRIZIONE,SOGGIACENZA [m],PIEZOMETRIA [m s.l.m.],1Q_PIEZO,3Q_PIEZO,INT_Q_PIEZO,INF,SUP,OUTLIER_PIEZO,1Q_SOGG,3Q_SOGG,Unnamed: 16,Etichette di riga,1Q_PIEZO.1,3Q_PIEZO.1,1Q_SOGG.1,3Q_SOGG.1,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41
0,BG,BERGAMO,PO0160240R0296,2011-01-25,232.0,soggiacenza statica,50.31,181.69,179.2275,181.9375,2.710000000000008,175.16249999999997,186.0025, ,50.0625,52.7725,,PO0160240R0296,179.2275,181.9375,50.0625,52.7725,,,,,,,,,,,,,,,,,,,,
1,BG,BERGAMO,PO0160240R0296,2011-02-22,232.0,soggiacenza statica,52.28,179.72,179.2275,181.9375,2.710000000000008,175.16249999999997,186.0025, ,50.0625,52.7725,,PO0160280R0003,174.97483333333332,176.459,16.165,17.649166666666666,,,,,,,,,,,,,,,,,,,,
2,BG,BERGAMO,PO0160240R0296,2011-03-15,232.0,soggiacenza statica,54.5,177.5,179.2275,181.9375,2.710000000000008,175.16249999999997,186.0025, ,50.0625,52.7725,,PO016042NU0001,197.35000000000002,198.95499999999998,33.045,34.650000000000006,,,,,,,,,,,,,,,,,,,,
3,BG,BERGAMO,PO0160240R0296,2011-04-14,232.0,soggiacenza statica,54.83,177.17,179.2275,181.9375,2.710000000000008,175.16249999999997,186.0025, ,50.0625,52.7725,,PO0160750U0003,150.6,153.99,5.05,8.44,,,,,,,,,,,,,,,,,,,,
4,BG,BERGAMO,PO0160240R0296,2011-05-04,232.0,soggiacenza statica,51.62,180.38,179.2275,181.9375,2.710000000000008,175.16249999999997,186.0025, ,50.0625,52.7725,,PO0160760R1284,120.66499999999999,121.53,9.97,10.835,,,,,,,,,,,,,,,,,,,,
5,BG,BERGAMO,PO0160240R0296,2011-06-06,232.0,soggiacenza statica,51.38,180.62,179.2275,181.9375,2.710000000000008,175.16249999999997,186.0025, ,50.0625,52.7725,,PO0160890R0001,187.014,188.804,12.24,14.03,,,,,,,,,,,,,,,,,,,,
6,BG,BERGAMO,PO0160240R0296,2011-07-20,232.0,soggiacenza statica,51.49,180.51,179.2275,181.9375,2.710000000000008,175.16249999999997,186.0025, ,50.0625,52.7725,,PO0160980R0009,162.916,164.936,37.9,39.92,,,,,,,,,,,,,,,,,,,,
7,BG,BERGAMO,PO0160240R0296,2011-08-12,232.0,soggiacenza statica,50.93,181.07,179.2275,181.9375,2.710000000000008,175.16249999999997,186.0025, ,50.0625,52.7725,,PO0161150U0002,215.245,218.07999999999998,44.875,47.71,,,,,,,,,,,,,,,,,,,,
8,BG,BERGAMO,PO0160240R0296,2011-09-09,232.0,soggiacenza statica,51.49,180.51,179.2275,181.9375,2.710000000000008,175.16249999999997,186.0025, ,50.0625,52.7725,,PO016117NU0001,161.338,164.248,40.65,43.56,,,,,,,,,,,,,,,,,,,,
9,BG,BERGAMO,PO0160240R0296,2011-10-07,232.0,soggiacenza statica,52.62,179.38,179.2275,181.9375,2.710000000000008,175.16249999999997,186.0025, ,50.0625,52.7725,,PO016123NU0001,169.39,172.16,44.64,47.41,,,,,,,,,,,,,,,,,,,,
10,BG,BERGAMO,PO0160240R0296,2011-11-07,232.0,soggiacenza statica,52.28,179.72,179.2275,181.9375,2.710000000000008,175.16249999999997,186.0025, ,50.0625,52.7725,,PO0161290R0001,134.656,135.226,7.2,7.77,,,,,,,,,,,,,,,,,,,,
11,BG,BERGAMO,PO0160240R0296,2011-12-01,232.0,soggiacenza statica,53.8,178.2,179.2275,181.9375,2.710000000000008,175.16249999999997,186.0025, ,50.0625,52.7725,,PO0161530R0004,156.845,158.89727150537635,23.73772849462366,25.79,,,,,,,,,,,,,,,,,,,,
12,BG,BERGAMO,PO0160240R0296,2012-01-09,232.0,soggiacenza statica,55.53,176.47,179.2275,181.9375,2.710000000000008,175.16249999999997,186.0025, ,50.0625,52.7725,,PO0161570R3380,136.0635,137.971,11.7,13.6075,,,,,,,,,,,,,,,,,,,,
13,BG,BERGAMO,PO0160240R0296,2012-02-06,232.0,soggiacenza statica,57.05,174.95,179.2275,181.9375,2.710000000000008,175.16249999999997,186.0025,OUTLIER,50.0625,52.7725,,PO0161770U0001,99.117,100.427,9.77,11.08,,,,,,,,,,,,,,,,,,,,
14,BG,BERGAMO,PO0160240R0296,2012-03-09,232.0,soggiacenza statica,57.36,174.64,179.2275,181.9375,2.710000000000008,175.16249999999997,186.0025,OUTLIER,50.0625,52.7725,,PO0161830R0003,120.297,121.15265732758621,3.0543426724137896,3.91,,,,,,,,,,,,,,,,,,,,
15,BG,BERGAMO,PO0160240R0296,2012-04-05,232.0,soggiacenza statica,54.53,177.47,179.2275,181.9375,2.710000000000008,175.16249999999997,186.0025, ,50.0625,52.7725,,PO0162120R0001,139.79500000000002,143.9975,47.002500000000005,51.205,,,,,,,,,,,,,,,,,,,,
16,BG,BERGAMO,PO0160240R0296,2012-05-03,232.0,soggiacenza statica,51.8,180.2,179.2275,181.9375,2.710000000000008,175.16249999999997,186.0025, ,50.0625,52.7725,,PO0162130R0002,193.78,196.405,33.885000000000005,36.510000000000005,,,,,,,,,,,,,,,,,,,,
17,BG,BERGAMO,PO0160240R0296,2012-06-07,232.0,soggiacenza statica,51.95,180.05,179.2275,181.9375,2.710000000000008,175.16249999999997,186.0025, ,50.0625,52.7725,,PO016219NUP001,113.164,115.764,11.545,14.145,,,,,,,,,,,,,,,,,,,,
18,BG,BERGAMO,PO0160240R0296,2012-07-04,232.0,soggiacenza statica,49.18,182.82,179.2275,181.9375,2.710000000000008,175.16249999999997,186.0025, ,50.0625,52.7725,,,,,,,,,,,,,,,,,,,,,,,,,,
19,BG,BERGAMO,PO0160240R0296,2012-08-01,232.0,soggiacenza statica,50.09,181.91,179.2275,181.9375,2.710000000000008,175.16249999999997,186.0025, ,50.0625,52.7725,,,Etichette di colonna,,,,,,,,,,,,,,,,,,,,,,,
20,BG,BERGAMO,PO0160240R0296,2012-09-07,232.0,soggiacenza statica,51.67,180.33,179.2275,181.9375,2.710000000000008,175.16249999999997,186.0025, ,50.0625,52.7725,,,gen,,feb,,mar,,apr,,mag,,giu,,lug,,ago,,set,,ott,,nov,,dic,
21,BG,BERGAMO,PO0160240R0296,2012-10-15,232.0,soggiacenza statica,52.95,179.05,179.2275,181.9375,2.710000000000008,175.16249999999997,186.0025, ,50.0625,52.7725,,Etichette di riga,1Q_SOG,3Q_SOG,1Q_SOG,3Q_SOG,1Q_SOG,3Q_SOG,1Q_SOG,3Q_SOG,1Q_SOG,3Q_SOG,1Q_SOG,3Q_SOG,1Q_SOG,3Q_SOG,1Q_SOG,3Q_SOG,1Q_SOG,3Q_SOG,1Q_SOG,3Q_SOG,1Q_SOG,3Q_SOG,1Q_SOG,3Q_SOG
22,BG,BERGAMO,PO0160240R0296,2012-11-16,232.0,soggiacenza statica,51.72,180.28,179.2275,181.9375,2.710000000000008,175.16249999999997,186.0025, ,50.0625,52.7725,,PO0160240R0296,50.68,53.83,51.74,54.795,53.05,56.34,52.44,54.75,51.46,52.22,49.635000000000005,51.3025,49.0075,50.17,49.135,50.040000000000006,49.965,51.307500000000005,50.43,52.48,51.14,52.295,49.91,53.55
23,BG,BERGAMO,PO0160240R0296,2012-12-07,232.0,soggiacenza statica,52.62,179.38,179.2275,181.9375,2.710000000000008,175.16249999999997,186.0025, ,50.0625,52.7725,,PO0160280R0003,15.690060975609757,18.095,16.5625,18.432366071428554,16.661653225806454,18.30995967741937,17.06833333333333,18.01320833333333,17.04679435483871,17.71300403225806,16.105,17.043708333333335,15.659717741935488,16.718790322580652,15.809999999999999,16.711102478363493,15.975,17.157333333333334,16.7775,17.840766129032247,16.76627083333333,17.4975,14.935,17.505000000000003
24,BG,BERGAMO,PO0160240R0296,2013-01-03,232.0,soggiacenza statica,52.78,179.22,179.2275,181.9375,2.710000000000008,175.16249999999997,186.0025, ,50.0625,52.7725,,PO016042NU0001,33.1025,34.203986486486485,33.0625,34.15049107142856,33,34.14883064516128,32.870000000000005,34.79119444444444,32.9925,34.461761241446716,33.13249999999999,35.10969444444445,33.3325,35.30834677419352,33.322500000000005,34.939173033389935,33.2275,35.489458333333296,33.41,34.72,33.05,34.14494444444446,33.215,34.369314516129045
25,BG,BERGAMO,PO0160240R0296,2013-02-08,232.0,soggiacenza statica,51.77,180.23,179.2275,181.9375,2.710000000000008,175.16249999999997,186.0025, ,50.0625,52.7725,,PO0160750U0003,5.1215,8.322,5.425,9.068999999999999,5.913,10.313,7.17,11.43,7.083,11.754249999999999,5.5725,8.635,4.640000000000001,7.3645,3.745,4.55575,4.1275,5.4925,5.225,5.98,6.1125,6.6745,6.49,7.45
26,BG,BERGAMO,PO0160240R0296,2013-03-08,232.0,soggiacenza statica,53.05,178.95,179.2275,181.9375,2.710000000000008,175.16249999999997,186.0025, ,50.0625,52.7725,,PO0160760R1284,10.265,11.045,10.6225,11.217500000000001,10.68,11.37,10.8,11.4,10.45,10.88,9.8675,10.52,9.6325,9.807500000000001,9.54,9.78,9.9225,10.03,10.26,10.45,10.094999999999999,10.53,10.4,10.6
