,PROVINCIA,COMUNE,CODICE PUNTO,DATA,Qr[m s.l.m.],DESCRIZIONE,MISURA SOGGIACENZA [m],PIEZOMETRIA [m s.l.m.],1Q_SOGG,3Q_SOGG,1Q_PIEZO,3Q_PIEZO,IQR_PIEZO,INF,SUP,OUTLIERS,Unnamed: 16,Unnamed: 17,Etichette di riga,1Q_SOGG.1,3Q_SOGG.1,1Q_PIEZO.1,3Q_PIEZO.1,Unnamed: 23,Unnamed: 24,Etichette di colonna,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48
0,VA,ALBIZZATE,PO012002NU0008,2011-09-30,313.8,soggiacenza statica,9.25,304.55,7.52,9.88,303.92,306.28,2.359999999999957,300.3800000000001,309.81999999999994,,,,PO012002NU0008,7.52,9.88,303.92,306.28,,,Jan,,Feb,,Mar,,Apr,,May,,Jun,,Jul,,Aug,,Sep,,Oct,,Nov,,Dec,
1,VA,ALBIZZATE,PO012002NU0008,2011-10-31,313.8,soggiacenza statica,9.21,304.59,7.52,9.88,303.92,306.28,2.359999999999957,300.3800000000001,309.81999999999994,,,,PO012026NU3021,31.405,34.1325,167.8495,170.577,,Etichette di riga,1Q_SOG,3Q_SOG,1Q_SOG,3Q_SOG,1Q_SOG,3Q_SOG,1Q_SOG,3Q_SOG,1Q_SOG,3Q_SOG,1Q_SOG,3Q_SOG,1Q_SOG,3Q_SOG,1Q_SOG,3Q_SOG,1Q_SOG,3Q_SOG,1Q_SOG,3Q_SOG,1Q_SOG,3Q_SOG,1Q_SOG,3Q_SOG
2,VA,ALBIZZATE,PO012002NU0008,2011-11-30,313.8,soggiacenza statica,7.1,306.7,7.52,9.88,303.92,306.28,2.359999999999957,300.3800000000001,309.81999999999994,,,,PO0120500RZ001,2.7874999999999996,6.33,200.712,204.2545,,PO012002NU0008,7.08,8.22,7.317500000000001,8.9025,7.6325,8.9725,7.54,9.015,7.925000000000001,8.879999999999999,7.425,9.502500000000001,7.725,11.280000000000001,8.182500000000001,11.0475,8.7775,10.2675,9.03,10.5,7.025,9.44,6.965,8.5525
3,VA,ALBIZZATE,PO012002NU0008,2011-12-31,313.8,soggiacenza statica,7.52,306.28,7.52,9.88,303.92,306.28,2.359999999999957,300.3800000000001,309.81999999999994,,,,PO012070NU1007,23.2975,26.525,226.281,229.5085,,PO012026NU3021,31.130000000000003,34.37,31.14,34.2825,31.2875,34.105000000000004,31.42,34.055,31.48,34.115,31.61,33.67,31.7175,34.224999999999994,31.555,34.485,31.59,33.88,31.71,34.01,31.630000000000003,34.3475,31.335,33.834999999999994
4,VA,ALBIZZATE,PO012002NU0008,2012-01-29,313.8,soggiacenza statica,7.71,306.09,7.52,9.88,303.92,306.28,2.359999999999957,300.3800000000001,309.81999999999994,,,,PO0120750R2020,32.05,35.2,185.726,188.876,,PO0120500RZ001,2.995,5.68,2.6775,6.234999999999999,2.735,5.9350000000000005,2.48,6.195,2.4125,6.4575,2.44,6.225,3.78,6.48,2.805,6.26,2.8375000000000004,6.4475,3.21,6.265000000000001,3.165,6.195,2.8600000000000003,6.57
5,VA,ALBIZZATE,PO012002NU0008,2012-02-29,313.8,soggiacenza statica,9.36,304.44,7.52,9.88,303.92,306.28,2.359999999999957,300.3800000000001,309.81999999999994,,,,PO0120790RZ001,37.95,43.12,198.201,203.371,,PO012070NU1007,22.605,26.1925,23.1625,25.832500000000003,23.27,26.375,23.46,26.4,23.6325,26.505,23.494999999999997,26.365000000000002,23.53,26.52,22.970000000000002,26.335,23.14,26.545,23.62,26.65,23.695,26.575,23.59,26.55
6,VA,ALBIZZATE,PO012002NU0008,2012-03-31,313.8,soggiacenza statica,9.79,304.01,7.52,9.88,303.92,306.28,2.359999999999957,300.3800000000001,309.81999999999994,,,,PO012090NU2009,49.5,51.027499999999996,157.4185,158.946,,PO0120750R2020,32.035,35.05,32.38,34.980000000000004,32.05,34.7,31.7,34.785,31.71,35.584999999999994,32.12,35.02,32.0075,35.485,31.955,35.0425,32.012499999999996,34.9225,32.0475,35.2675,32.370000000000005,35.150000000000006,32.2525,35.2
7,VA,ALBIZZATE,PO012002NU0008,2012-04-30,313.8,soggiacenza statica,7.42,306.38,7.52,9.88,303.92,306.28,2.359999999999957,300.3800000000001,309.81999999999994,,,,PO0121180U0005,43.4925,46.6825,177.0845,180.2745,,PO0120790RZ001,38.46,41.7175,37.825,42.6125,37.637499999999996,41.980000000000004,37.2,42.27,37.9925,42.112500000000004,37.915,42.6525,38.010000000000005,42.1925,37.95,43.12,38.21,41.11,38.595,43.0375,38.519999999999996,43.1175,38.495000000000005,43.48
8,VA,ALBIZZATE,PO012002NU0008,2012-05-31,313.8,soggiacenza statica,7.94,305.86,7.52,9.88,303.92,306.28,2.359999999999957,300.3800000000001,309.81999999999994,,,,PO012119NUP001,39.285,44.59,181.28,186.58499999999998,,PO012090NU2009,49.5,50.5375,49.650000000000006,51.1475,49.625,51.1175,49.6,50.6875,49.61,50.4875,49.515,50.645,49.400000000000006,50.612500000000004,49.43,51.25,49.487500000000004,51.14,49.575,51.022499999999994,49.58,51.144999999999996,49.53,51.21
9,VA,ALBIZZATE,PO012002NU0008,2012-06-30,313.8,soggiacenza statica,7.53,306.27,7.52,9.88,303.92,306.28,2.359999999999957,300.3800000000001,309.81999999999994,,,,PO012123NUP001,51.12,52.87,175.316,177.066,,PO0121180U0005,43.8375,46.6925,43.995,46.71,43.91,46.58,43.4225,46.6125,43.355000000000004,46.620000000000005,43.4775,46.6075,43.59,46.815000000000005,43.43,46.465,43.2725,46.612500000000004,43.620000000000005,46.65,43.3275,46.49250000000001,43.4825,46.730000000000004
