,PROVINCIA,COMUNE,CODICE PUNTO,DATA,Qr[m s.l.m.],DESCRIZIONE,MISURA SOGGIACENZA [m],PIEZOMETRIA [m s.l.m.],1Q_SOGG,3Q_SOGG,1Q_PIEZO,3Q_PIEZO,IQR_PIEZO,INF,SUP,OUTLIERS,Unnamed: 16,Unnamed: 17,Unnamed: 18,Etichette di riga,1Q_SOGG.1,3Q_SOGG.1,1Q_PIEZO.1,3Q_PIEZO.1
0,MN,BAGNOLO SAN VITO,PO0200030R0002,2005-10-15,17.258,soggiacenza statica,0.95,16.308,0.95,1.25,16.008,16.308,0.3000000000000007,15.557999999999998,16.758000000000003,,,,,PO0180470U0001,7.824999999999999,8.614999999999998,63.293,64.083
1,MN,BAGNOLO SAN VITO,PO0200030R0002,2005-11-15,17.258,soggiacenza statica,1.0,16.258,0.95,1.25,16.008,16.308,0.3000000000000007,15.557999999999998,16.758000000000003,,,,,PO0181140U0002,3.25,4.1075,51.2755,52.133
2,MN,BAGNOLO SAN VITO,PO0200030R0002,2005-12-15,17.258,soggiacenza statica,0.98,16.278,0.95,1.25,16.008,16.308,0.3000000000000007,15.557999999999998,16.758000000000003,,,,,PO018162NUP001,3.78,4.5125,56.6845,57.417
3,MN,BAGNOLO SAN VITO,PO0200030R0002,2006-01-15,17.258,soggiacenza statica,1.3,15.958,0.95,1.25,16.008,16.308,0.3000000000000007,15.557999999999998,16.758000000000003,,,,,PO019040NRA001,1.8125,2.54,30.41,31.1375
4,MN,BAGNOLO SAN VITO,PO0200030R0002,2006-02-15,17.258,soggiacenza statica,1.25,16.008,0.95,1.25,16.008,16.308,0.3000000000000007,15.557999999999998,16.758000000000003,,,,,PO019071NRA001,2.77,3.5075,22.9925,23.73
5,MN,BAGNOLO SAN VITO,PO0200030R0002,2006-03-15,17.258,soggiacenza statica,1.08,16.178,0.95,1.25,16.008,16.308,0.3000000000000007,15.557999999999998,16.758000000000003,,,,,PO019083NRA001,0.5244153225806457,0.9126008064516129,20.477399193548386,20.865584677419335
6,MN,BAGNOLO SAN VITO,PO0200030R0002,2006-04-15,17.258,soggiacenza statica,1.2,16.058,0.95,1.25,16.008,16.308,0.3000000000000007,15.557999999999998,16.758000000000003,,,,,PO019089NUA001,1.41,2.005,31.595,32.19
7,MN,BAGNOLO SAN VITO,PO0200030R0002,2006-05-15,17.258,soggiacenza statica,1.35,15.908,0.95,1.25,16.008,16.308,0.3000000000000007,15.557999999999998,16.758000000000003,,,,,PO019091NRA001,3.1175,3.8725,25.307499999999997,26.0625
8,MN,BAGNOLO SAN VITO,PO0200030R0002,2006-06-15,17.258,soggiacenza statica,1.25,16.008,0.95,1.25,16.008,16.308,0.3000000000000007,15.557999999999998,16.758000000000003,,,,,PO019103NRA001,5.04,6.42,28.41,29.79
9,MN,BAGNOLO SAN VITO,PO0200030R0002,2006-07-15,17.258,soggiacenza statica,1.3,15.958,0.95,1.25,16.008,16.308,0.3000000000000007,15.557999999999998,16.758000000000003,,,,,PO0200030R0002,0.95,1.25,16.008,16.308
10,MN,BAGNOLO SAN VITO,PO0200030R0002,2006-08-15,17.258,soggiacenza statica,0.48,16.778,0.95,1.25,16.008,16.308,0.3000000000000007,15.557999999999998,16.758000000000003,OUTLIER,,,,PO020021NRP001,2.465,3.085,18.605,19.225
11,MN,BAGNOLO SAN VITO,PO0200030R0002,2006-09-15,17.258,soggiacenza statica,1.12,16.138,0.95,1.25,16.008,16.308,0.3000000000000007,15.557999999999998,16.758000000000003,,,,,PO020023NUP001,5.426999999999996,6.374099462365581,2.3259005376344186,3.2730000000000032
12,MN,BAGNOLO SAN VITO,PO0200030R0002,2006-10-15,17.258,soggiacenza statica,2.18,15.078,0.95,1.25,16.008,16.308,0.3000000000000007,15.557999999999998,16.758000000000003,OUTLIER,,,,PO0200270R0053,1.7425,2.0775,15.7635,16.0985
13,MN,BAGNOLO SAN VITO,PO0200030R0002,2006-11-15,17.258,soggiacenza statica,2.15,15.108,0.95,1.25,16.008,16.308,0.3000000000000007,15.557999999999998,16.758000000000003,OUTLIER,,,,PO0200290R0002,1.9,2.63,10.37,11.1
14,MN,BAGNOLO SAN VITO,PO0200030R0002,2006-12-15,17.258,soggiacenza statica,2.53,14.728,0.95,1.25,16.008,16.308,0.3000000000000007,15.557999999999998,16.758000000000003,OUTLIER,,,,PO0200310R0062,2.45,3.25,18.574,19.374
15,MN,BAGNOLO SAN VITO,PO0200030R0002,2007-01-15,17.258,soggiacenza statica,1.32,15.938,0.95,1.25,16.008,16.308,0.3000000000000007,15.557999999999998,16.758000000000003,,,,,PO0200370R0002,3.67,4.4825,13.5175,14.33
16,MN,BAGNOLO SAN VITO,PO0200030R0002,2007-02-15,17.258,soggiacenza statica,0.75,16.508,0.95,1.25,16.008,16.308,0.3000000000000007,15.557999999999998,16.758000000000003,,,,,PO0200400R0001,1.2,1.7225,10.0945,10.617
17,MN,BAGNOLO SAN VITO,PO0200030R0002,2007-03-15,17.258,soggiacenza statica,1.2,16.058,0.95,1.25,16.008,16.308,0.3000000000000007,15.557999999999998,16.758000000000003,,,,,PO0200420R0001,0.65,1.58,9.279,10.209
18,MN,BAGNOLO SAN VITO,PO0200030R0002,2007-04-15,17.258,soggiacenza statica,1.07,16.188,0.95,1.25,16.008,16.308,0.3000000000000007,15.557999999999998,16.758000000000003,,,,,PO020061NR0001,1.86,2.98,7.67,8.79
19,MN,BAGNOLO SAN VITO,PO0200030R0002,2007-06-15,17.258,soggiacenza statica,1.18,16.078,0.95,1.25,16.008,16.308,0.3000000000000007,15.557999999999998,16.758000000000003,,,,,PO020061NUP001,6.54,7.93,3.73,5.12
20,MN,BAGNOLO SAN VITO,PO0200030R0002,2007-07-15,17.258,soggiacenza statica,1.36,15.898,0.95,1.25,16.008,16.308,0.3000000000000007,15.557999999999998,16.758000000000003,,,,,PO0200650R0002,2.25875,3.3825,16.0375,17.16125
21,MN,BAGNOLO SAN VITO,PO0200030R0002,2007-08-15,17.258,soggiacenza statica,1.58,15.678,0.95,1.25,16.008,16.308,0.3000000000000007,15.557999999999998,16.758000000000003,,,,,PO0200720R0001,1.4775,1.7725,10.0445,10.339500000000001
22,MN,BAGNOLO SAN VITO,PO0200030R0002,2007-09-15,17.258,soggiacenza statica,1.7,15.558,0.95,1.25,16.008,16.308,0.3000000000000007,15.557999999999998,16.758000000000003,,,,,PO0980110U0001,4.3175,4.76,40.473,40.9155
23,MN,BAGNOLO SAN VITO,PO0200030R0002,2007-10-15,17.258,soggiacenza statica,1.7,15.558,0.95,1.25,16.008,16.308,0.3000000000000007,15.557999999999998,16.758000000000003,,,,,PO098049NR0141,5.4175,6.3,43.423,44.3055
24,MN,BAGNOLO SAN VITO,PO0200030R0002,2007-11-15,17.258,soggiacenza statica,1.75,15.508,0.95,1.25,16.008,16.308,0.3000000000000007,15.557999999999998,16.758000000000003,OUTLIER,,,,Totale complessivo,1.76,3.841819444444429,10.93,29.015
25,MN,BAGNOLO SAN VITO,PO0200030R0002,2008-01-17,17.258,soggiacenza statica,0.85,16.408,0.95,1.25,16.008,16.308,0.3000000000000007,15.557999999999998,16.758000000000003,,,,,,,,,
26,MN,BAGNOLO SAN VITO,PO0200030R0002,2008-02-20,17.258,soggiacenza statica,1.2,16.058,0.95,1.25,16.008,16.308,0.3000000000000007,15.557999999999998,16.758000000000003,,,,,,,,,
27,MN,BAGNOLO SAN VITO,PO0200030R0002,2008-04-18,17.258,soggiacenza statica,1.505,15.753,0.95,1.25,16.008,16.308,0.3000000000000007,15.557999999999998,16.758000000000003,,,,,,,,,
28,MN,BAGNOLO SAN VITO,PO0200030R0002,2008-05-13,17.258,soggiacenza statica,1.4,15.858,0.95,1.25,16.008,16.308,0.3000000000000007,15.557999999999998,16.758000000000003,,,,,,,,,
29,MN,BAGNOLO SAN VITO,PO0200030R0002,2008-06-18,17.258,soggiacenza statica,0.09,17.168,0.95,1.25,16.008,16.308,0.3000000000000007,15.557999999999998,16.758000000000003,OUTLIER,,,,,,,,
30,MN,BAGNOLO SAN VITO,PO0200030R0002,2008-07-01,17.258,soggiacenza statica,1.03,16.228,0.95,1.25,16.008,16.308,0.3000000000000007,15.557999999999998,16.758000000000003,,,,,,,,,
31,MN,BAGNOLO SAN VITO,PO0200030R0002,2008-08-07,17.258,soggiacenza statica,1.45,15.808,0.95,1.25,16.008,16.308,0.3000000000000007,15.557999999999998,16.758000000000003,,,,,,,,,
32,MN,BAGNOLO SAN VITO,PO0200030R0002,2008-09-10,17.258,soggiacenza statica,1.1,16.158,0.95,1.25,16.008,16.308,0.3000000000000007,15.557999999999998,16.758000000000003,,,,,,,,,
