,PROVINCIA,COMUNE,CODICE PUNTO,DATA,Qr[m s.l.m.],DESCRIZIONE,MISURA SOGGIACENZA [m],PIEZOMETRIA [m s.l.m.],1Q_SOGG,3Q_SOGG,1Q_PIEZO,3Q_PIEZO,IQR_PIEZO,INF,SUP,OUTLIERS,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Etichette di riga,1Q_SOGG.1,3Q_SOGG.1,1Q_PIEZO.1,3Q_PIEZO.1,Unnamed: 26,Unnamed: 27,Etichette di colonna,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51
0,LO,BOFFALORA D'ADDA,PO098003NR0063,2012-06-04,72.433,soggiacenza statica,3.27,69.163,3.22,3.6725,68.76050000000001,69.213,0.45249999999998636,68.08175000000003,69.89174999999997,,,,PO0161220R0519,SI,,PO0161220R0519,3.3975,3.6225,101.17750000000001,101.4025,,,Jan,,Feb,,Mar,,Apr,,May,,Jun,,Jul,,Aug,,Sep,,Oct,,Nov,,Dec,
1,LO,BOFFALORA D'ADDA,PO098003NR0063,2012-07-06,72.433,soggiacenza statica,3.52,68.913,3.22,3.6725,68.76050000000001,69.213,0.45249999999998636,68.08175000000003,69.89174999999997,,,,PO019027NRA001,SI,,PO019027NRA001,5.69,6.64,58.56,59.51,,Etichette di riga,1Q_SOG,3Q_SOG,1Q_SOG,3Q_SOG,1Q_SOG,3Q_SOG,1Q_SOG,3Q_SOG,1Q_SOG,3Q_SOG,1Q_SOG,3Q_SOG,1Q_SOG,3Q_SOG,1Q_SOG,3Q_SOG,1Q_SOG,3Q_SOG,1Q_SOG,3Q_SOG,1Q_SOG,3Q_SOG,1Q_SOG,3Q_SOG
2,LO,BOFFALORA D'ADDA,PO098003NR0063,2012-08-20,72.433,soggiacenza statica,3.58,68.853,3.22,3.6725,68.76050000000001,69.213,0.45249999999998636,68.08175000000003,69.89174999999997,,,,PO019033NRA001,SI,,PO019033NRA001,1.09,1.4,46.61,46.92,,PO0161220R0519,3.36,3.5875,3.4375,3.56,3.45,3.52,3.4575,3.5925000000000002,3.35,3.45,3.3925,3.6225,3.665,3.8175,3.5349999999999997,3.7199999999999998,3.3049999999999997,3.4475000000000002,3.4875,3.565,3.42,3.5275000000000003,3.225,3.5275
3,LO,BOFFALORA D'ADDA,PO098003NR0063,2012-09-24,72.433,soggiacenza statica,3.66,68.773,3.22,3.6725,68.76050000000001,69.213,0.45249999999998636,68.08175000000003,69.89174999999997,,,,PO019035NRA001,SI,,PO019035NRA001,5.7925,6.265,71.545,72.0175,,PO019027NRA001,5.734999999999999,6.5325,5.885,6.78,5.71,6.985,5.9325,7.22,6.029999999999999,7.4825,5.985,7.15,5.609999999999999,6.615,5.175,6.045,5.245,5.9075,5.4825,6.0275,5.62,6.205,5.665,6.1525
4,LO,BOFFALORA D'ADDA,PO098003NR0063,2012-10-17,72.433,soggiacenza statica,3.05,69.383,3.22,3.6725,68.76050000000001,69.213,0.45249999999998636,68.08175000000003,69.89174999999997,,,,PO019036NUA001,SI,,PO019036NUA001,5.855,7.2975,35.6925,37.135000000000005,,PO019033NRA001,1.05,1.345,0.9725,1.365,0.9575,1.3575,1.23,1.44,1.2625,1.395,1.085,1.26,1.105,1.26,1.1349999999999998,1.28,1.22,1.3250000000000002,1.455,1.585,1.35,1.4275,0.79,1.3199999999999998
5,LO,BOFFALORA D'ADDA,PO098003NR0063,2012-11-29,72.433,soggiacenza statica,2.51,69.923,3.22,3.6725,68.76050000000001,69.213,0.45249999999998636,68.08175000000003,69.89174999999997,OUTLIER,,,PO019047NRA001,SI,,PO019047NRA001,2.3775,2.7624999999999997,58.0175,58.402499999999996,,PO019035NRA001,5.854277108433734,6.26,5.805,6.3175,5.76,6.375,5.8575,6.430000000000001,5.8325,6.4125,5.7875,6.315,5.765000000000001,6.195,5.720000000000001,6.130000000000001,5.725,6.09,5.805,6.125,5.875,6.068895833333332,5.805,6.145
6,LO,BOFFALORA D'ADDA,PO098003NR0063,2012-12-20,72.433,soggiacenza statica,3.31,69.123,3.22,3.6725,68.76050000000001,69.213,0.45249999999998636,68.08175000000003,69.89174999999997,,,,PO019051NRA001,SI,,PO019051NRA001,1.5575,1.7625,44.6575,44.8625,,PO019036NUA001,6.220000000000001,7.115,5.904999999999999,7.3,5.725,7.305,5.5,7.445,5.475,7.5175,5.525,7.34,5.66,7.285,5.835,7.205,6.025,7.25,6.154999999999999,7.275,6.2725,7.2475,6.365,7.1
7,LO,BOFFALORA D'ADDA,PO098003NR0063,2013-01-22,72.433,soggiacenza statica,3.54,68.893,3.22,3.6725,68.76050000000001,69.213,0.45249999999998636,68.08175000000003,69.89174999999997,,,,PO019056NRA001,SI,,PO019056NRA001,3.335,4.2875,36.7125,37.665,,PO019047NRA001,2.58,2.79,2.62,2.825,2.575,2.855,2.7,2.91,2.445,2.8275,2.455,2.62,2.275,2.38,2.2,2.38,2.315,2.46,2.55,2.705,2.1774999999999998,2.725,2.3525,2.745
8,LO,BOFFALORA D'ADDA,PO098003NR0063,2013-02-25,72.433,soggiacenza statica,3.75,68.683,3.22,3.6725,68.76050000000001,69.213,0.45249999999998636,68.08175000000003,69.89174999999997,,,,PO019065NRA001,SI,,PO019065NRA001,3.6475,3.97,54.9,55.2225,,PO019051NRA001,1.56,1.8,1.58,1.75,1.4825,1.775,1.73,1.81,1.635,1.8425,1.68,1.73,1.6,1.73,1.55,1.6949999999999998,1.58,1.71,1.66,1.78,1.47,1.7,1.51,1.74
9,LO,BOFFALORA D'ADDA,PO098003NR0063,2013-03-21,72.433,soggiacenza statica,3.31,69.123,3.22,3.6725,68.76050000000001,69.213,0.45249999999998636,68.08175000000003,69.89174999999997,,,,PO019070NRA001,SI,,PO019070NRA001,1.9,3.25,36.19,37.54,,PO019056NRA001,3.92,3.92,2.58,2.58,,,4.2025,4.5675,2.42,2.42,2.66,2.66,3.72,4.34,,,3.56,3.56,,,3.6525,4.0649999999999995,,
