,PROVINCIA,COMUNE,CODICE PUNTO,DATA,Qr[m s.l.m.],DESCRIZIONE,MISURA SOGGIACENZA [m],PIEZOMETRIA [m s.l.m.],1Q_SOGG,3Q_SOGG,1Q_PIEZO,3Q_PIEZO,IQR_PIEZO,INF,SUP,OUTLIERS,Unnamed: 16,Unnamed: 17,Etichette di riga,1Q_SOGG.1,3Q_SOGG.1,1Q_PIEZO.1,3Q_PIEZO.1,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42
0,MN,BIGARELLO,PO020004NR0001,2010-02-02,26.3,soggiacenza statica,2.41,23.89,2.23,2.59,23.71,24.07,0.35999999999999943,23.17,24.61,,,,PO020004NR0001,2.23,2.59,23.71,24.07,,,,,,,,,,,,,,,,,,,,
1,MN,BIGARELLO,PO020004NR0001,2010-03-16,26.3,soggiacenza statica,2.2,24.1,2.23,2.59,23.71,24.07,0.35999999999999943,23.17,24.61,,,,PO0200330R0002,4.72,5.29,26.593,27.163,,,,,,,,,,,,,,,,,,,,
2,MN,BIGARELLO,PO020004NR0001,2010-04-06,26.3,soggiacenza statica,2.4,23.9,2.23,2.59,23.71,24.07,0.35999999999999943,23.17,24.61,,,,PO0200530R0089,1.28,1.5150000000000001,33.900000000000006,34.135,,,,,,,,,,,,,,,,,,,,
3,MN,BIGARELLO,PO020004NR0001,2010-05-10,26.3,soggiacenza statica,2.22,24.08,2.23,2.59,23.71,24.07,0.35999999999999943,23.17,24.61,,,,PO0200570U0002,2.21,3.11,20.333,21.233,,,,,,,,,,,,,,,,,,,,
4,MN,BIGARELLO,PO020004NR0001,2010-06-01,26.3,soggiacenza statica,2.45,23.85,2.23,2.59,23.71,24.07,0.35999999999999943,23.17,24.61,,,,Totale complessivo,1.5,2.9729032258064687,21.393,33.915,,,,,,,,,,,,,,,,,,,,
5,MN,BIGARELLO,PO020004NR0001,2010-07-01,26.3,soggiacenza statica,2.35,23.95,2.23,2.59,23.71,24.07,0.35999999999999943,23.17,24.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,MN,BIGARELLO,PO020004NR0001,2010-08-12,26.3,soggiacenza statica,2.6,23.7,2.23,2.59,23.71,24.07,0.35999999999999943,23.17,24.61,,,,,Etichette di colonna,,,,,,,,,,,,,,,,,,,,,,,
7,MN,BIGARELLO,PO020004NR0001,2010-09-27,26.3,soggiacenza statica,2.24,24.06,2.23,2.59,23.71,24.07,0.35999999999999943,23.17,24.61,,,,,Jan,,Feb,,Mar,,Apr,,May,,Jun,,Jul,,Aug,,Sep,,Oct,,Nov,,Dec,
8,MN,BIGARELLO,PO020004NR0001,2010-10-04,26.3,soggiacenza statica,2.41,23.89,2.23,2.59,23.71,24.07,0.35999999999999943,23.17,24.61,,,,Etichette di riga,1Q_SOG,3Q_SOG,1Q_SOG,3Q_SOG,1Q_SOG,3Q_SOG,1Q_SOG,3Q_SOG,1Q_SOG,3Q_SOG,1Q_SOG,3Q_SOG,1Q_SOG,3Q_SOG,1Q_SOG,3Q_SOG,1Q_SOG,3Q_SOG,1Q_SOG,3Q_SOG,1Q_SOG,3Q_SOG,1Q_SOG,3Q_SOG
9,MN,BIGARELLO,PO020004NR0001,2010-11-29,26.3,soggiacenza statica,1.98,24.32,2.23,2.59,23.71,24.07,0.35999999999999943,23.17,24.61,,,,PO020004NR0001,2.035,2.595544354838703,2.2711086309523774,2.4050000000000002,2.2322916666666703,2.5220228494623793,2.2895625000000055,2.615,2.225,2.395,2.2451458333333223,2.52,2.28661962365591,2.64,2.466095430107519,2.67,2.2878888888888858,2.665,2.3899999999999997,2.6,2.1377916666666703,2.5600138888888937,1.93,2.520712365591408
10,MN,BIGARELLO,PO020004NR0001,2010-12-27,26.3,soggiacenza statica,1.96,24.34,2.23,2.59,23.71,24.07,0.35999999999999943,23.17,24.61,,,,PO0200330R0002,5.25,5.49,5.26,5.55,5.3,5.57,4.31,5.44,4.615,5.0275,4.545,4.8775,4.41,4.62,4.609999999999999,4.725,4.7675,4.8825,4.949999999999999,5.095000000000001,4.9350000000000005,5.2,5.09,5.3775
11,MN,BIGARELLO,PO020004NR0001,2011-01-19,26.3,soggiacenza statica,2.07,24.23,2.23,2.59,23.71,24.07,0.35999999999999943,23.17,24.61,,,,PO0200530R0089,1.4124999999999999,1.6,1.4224999999999999,1.6125,1.43,1.6575,1.4124999999999999,1.6225,1.3,1.45,1.2075,1.355,1.1624999999999999,1.3,1.28,1.35,1.3075,1.4,1.33,1.49,1.2575,1.3975,1.3250000000000002,1.52
12,MN,BIGARELLO,PO020004NR0001,2011-02-09,26.3,soggiacenza statica,2.48,23.82,2.23,2.59,23.71,24.07,0.35999999999999943,23.17,24.61,,,,PO0200570U0002,2.3730913978494685,3.41,2.06,3.3900446428571502,2.145,3.325,2.4650000000000003,3.46,2.3,3.0528494623656104,2.0875,2.7875205479451877,2.1750000000000003,2.831633064516126,2.215,2.85,2.3099999999999996,2.9625000000000004,2.37,3.1718951612903172,2.196993055555557,3.2451354166666677,2.0331754032258083,3.2675
13,MN,BIGARELLO,PO020004NR0001,2011-03-16,26.3,soggiacenza statica,2.4,23.9,2.23,2.59,23.71,24.07,0.35999999999999943,23.17,24.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,MN,BIGARELLO,PO020004NR0001,2011-04-06,26.3,soggiacenza statica,2.42,23.88,2.23,2.59,23.71,24.07,0.35999999999999943,23.17,24.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,MN,BIGARELLO,PO020004NR0001,2011-05-25,26.3,soggiacenza statica,2.54,23.76,2.23,2.59,23.71,24.07,0.35999999999999943,23.17,24.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,MN,BIGARELLO,PO020004NR0001,2011-06-21,26.3,soggiacenza statica,2.4,23.9,2.23,2.59,23.71,24.07,0.35999999999999943,23.17,24.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,MN,BIGARELLO,PO020004NR0001,2011-07-18,26.3,soggiacenza statica,2.5,23.8,2.23,2.59,23.71,24.07,0.35999999999999943,23.17,24.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,MN,BIGARELLO,PO020004NR0001,2011-08-02,26.3,soggiacenza statica,2.35,23.95,2.23,2.59,23.71,24.07,0.35999999999999943,23.17,24.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,MN,BIGARELLO,PO020004NR0001,2011-09-06,26.3,soggiacenza statica,2.15,24.15,2.23,2.59,23.71,24.07,0.35999999999999943,23.17,24.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,MN,BIGARELLO,PO020004NR0001,2011-10-19,26.3,soggiacenza statica,2.31,23.99,2.23,2.59,23.71,24.07,0.35999999999999943,23.17,24.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,MN,BIGARELLO,PO020004NR0001,2011-11-29,26.3,soggiacenza statica,2.5,23.8,2.23,2.59,23.71,24.07,0.35999999999999943,23.17,24.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,MN,BIGARELLO,PO020004NR0001,2011-12-07,26.3,soggiacenza statica,2.65,23.65,2.23,2.59,23.71,24.07,0.35999999999999943,23.17,24.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,MN,BIGARELLO,PO020004NR0001,2012-01-31,26.3,soggiacenza statica,3.0,23.3,2.23,2.59,23.71,24.07,0.35999999999999943,23.17,24.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,MN,BIGARELLO,PO020004NR0001,2012-02-24,26.3,soggiacenza statica,2.67,23.63,2.23,2.59,23.71,24.07,0.35999999999999943,23.17,24.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,MN,BIGARELLO,PO020004NR0001,2012-03-26,26.3,soggiacenza statica,3.0,23.3,2.23,2.59,23.71,24.07,0.35999999999999943,23.17,24.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,MN,BIGARELLO,PO020004NR0001,2012-04-04,26.3,soggiacenza statica,3.1,23.2,2.23,2.59,23.71,24.07,0.35999999999999943,23.17,24.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,MN,BIGARELLO,PO020004NR0001,2012-05-07,26.3,soggiacenza statica,2.51,23.79,2.23,2.59,23.71,24.07,0.35999999999999943,23.17,24.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,MN,BIGARELLO,PO020004NR0001,2012-06-18,26.3,soggiacenza statica,2.71,23.59,2.23,2.59,23.71,24.07,0.35999999999999943,23.17,24.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,MN,BIGARELLO,PO020004NR0001,2012-07-23,26.3,soggiacenza statica,2.82,23.48,2.23,2.59,23.71,24.07,0.35999999999999943,23.17,24.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,MN,BIGARELLO,PO020004NR0001,2012-08-16,26.3,soggiacenza statica,2.79,23.51,2.23,2.59,23.71,24.07,0.35999999999999943,23.17,24.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,MN,BIGARELLO,PO020004NR0001,2012-09-11,26.3,soggiacenza statica,2.68,23.62,2.23,2.59,23.71,24.07,0.35999999999999943,23.17,24.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,MN,BIGARELLO,PO020004NR0001,2012-10-08,26.3,soggiacenza statica,2.73,23.57,2.23,2.59,23.71,24.07,0.35999999999999943,23.17,24.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,MN,BIGARELLO,PO020004NR0001,2012-11-13,26.3,soggiacenza statica,2.1,24.2,2.23,2.59,23.71,24.07,0.35999999999999943,23.17,24.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,MN,BIGARELLO,PO020004NR0001,2012-12-28,26.3,soggiacenza statica,1.9,24.4,2.23,2.59,23.71,24.07,0.35999999999999943,23.17,24.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,MN,BIGARELLO,PO020004NR0001,2013-01-07,26.3,soggiacenza statica,2.0,24.3,2.23,2.59,23.71,24.07,0.35999999999999943,23.17,24.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,MN,BIGARELLO,PO020004NR0001,2013-02-18,26.3,soggiacenza statica,2.03,24.27,2.23,2.59,23.71,24.07,0.35999999999999943,23.17,24.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,MN,BIGARELLO,PO020004NR0001,2013-03-10,26.3,soggiacenza statica,2.1,24.2,2.23,2.59,23.71,24.07,0.35999999999999943,23.17,24.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,MN,BIGARELLO,PO020004NR0001,2013-04-14,26.3,soggiacenza statica,2.2,24.1,2.23,2.59,23.71,24.07,0.35999999999999943,23.17,24.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,MN,BIGARELLO,PO020004NR0001,2013-05-13,26.3,soggiacenza statica,2.16,24.14,2.23,2.59,23.71,24.07,0.35999999999999943,23.17,24.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,MN,BIGARELLO,PO020004NR0001,2013-06-16,26.3,soggiacenza statica,2.23,24.07,2.23,2.59,23.71,24.07,0.35999999999999943,23.17,24.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,MN,BIGARELLO,PO020004NR0001,2013-07-01,26.3,soggiacenza statica,2.16,24.14,2.23,2.59,23.71,24.07,0.35999999999999943,23.17,24.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,MN,BIGARELLO,PO020004NR0001,2013-08-20,26.3,soggiacenza statica,2.46,23.84,2.23,2.59,23.71,24.07,0.35999999999999943,23.17,24.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,MN,BIGARELLO,PO020004NR0001,2013-09-10,26.3,soggiacenza statica,2.55,23.75,2.23,2.59,23.71,24.07,0.35999999999999943,23.17,24.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,MN,BIGARELLO,PO020004NR0001,2013-10-16,26.3,soggiacenza statica,2.4,23.9,2.23,2.59,23.71,24.07,0.35999999999999943,23.17,24.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,MN,BIGARELLO,PO020004NR0001,2013-11-15,26.3,soggiacenza statica,2.31,23.99,2.23,2.59,23.71,24.07,0.35999999999999943,23.17,24.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,MN,BIGARELLO,PO020004NR0001,2013-12-09,26.3,soggiacenza statica,2.2,24.1,2.23,2.59,23.71,24.07,0.35999999999999943,23.17,24.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,MN,BIGARELLO,PO020004NR0001,2014-01-16,26.3,soggiacenza statica,2.0,24.3,2.23,2.59,23.71,24.07,0.35999999999999943,23.17,24.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,MN,BIGARELLO,PO020004NR0001,2014-02-20,26.3,soggiacenza statica,2.37,23.93,2.23,2.59,23.71,24.07,0.35999999999999943,23.17,24.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,MN,BIGARELLO,PO020004NR0001,2014-03-26,26.3,soggiacenza statica,2.48,23.82,2.23,2.59,23.71,24.07,0.35999999999999943,23.17,24.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,MN,BIGARELLO,PO020004NR0001,2014-04-11,26.3,soggiacenza statica,2.2,24.1,2.23,2.59,23.71,24.07,0.35999999999999943,23.17,24.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,MN,BIGARELLO,PO020004NR0001,2014-05-26,26.3,soggiacenza statica,2.25,24.05,2.23,2.59,23.71,24.07,0.35999999999999943,23.17,24.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,MN,BIGARELLO,PO020004NR0001,2014-06-03,26.3,soggiacenza statica,2.0,24.3,2.23,2.59,23.71,24.07,0.35999999999999943,23.17,24.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,MN,BIGARELLO,PO020004NR0001,2014-07-10,26.3,soggiacenza statica,2.21,24.09,2.23,2.59,23.71,24.07,0.35999999999999943,23.17,24.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,MN,BIGARELLO,PO020004NR0001,2014-08-18,26.3,soggiacenza statica,2.5,23.8,2.23,2.59,23.71,24.07,0.35999999999999943,23.17,24.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,MN,BIGARELLO,PO020004NR0001,2014-09-16,26.3,soggiacenza statica,2.3,24.0,2.23,2.59,23.71,24.07,0.35999999999999943,23.17,24.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,MN,BIGARELLO,PO020004NR0001,2014-10-16,26.3,soggiacenza statica,2.38,23.92,2.23,2.59,23.71,24.07,0.35999999999999943,23.17,24.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,MN,BIGARELLO,PO020004NR0001,2014-11-27,26.3,soggiacenza statica,2.27,24.03,2.23,2.59,23.71,24.07,0.35999999999999943,23.17,24.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,MN,BIGARELLO,PO020004NR0001,2014-12-18,26.3,soggiacenza statica,2.24,24.06,2.23,2.59,23.71,24.07,0.35999999999999943,23.17,24.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,MN,BIGARELLO,PO020004NR0001,2015-01-27,26.3,soggiacenza statica,2.36,23.94,2.23,2.59,23.71,24.07,0.35999999999999943,23.17,24.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,MN,BIGARELLO,PO020004NR0001,2015-02-23,26.3,soggiacenza statica,2.25,24.05,2.23,2.59,23.71,24.07,0.35999999999999943,23.17,24.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,MN,BIGARELLO,PO020004NR0001,2015-03-17,26.3,soggiacenza statica,2.38,23.92,2.23,2.59,23.71,24.07,0.35999999999999943,23.17,24.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,MN,BIGARELLO,PO020004NR0001,2015-04-22,26.3,soggiacenza statica,2.66,23.64,2.23,2.59,23.71,24.07,0.35999999999999943,23.17,24.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,MN,BIGARELLO,PO020004NR0001,2015-05-25,26.3,soggiacenza statica,2.38,23.92,2.23,2.59,23.71,24.07,0.35999999999999943,23.17,24.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,MN,BIGARELLO,PO020004NR0001,2015-06-30,26.3,soggiacenza statica,2.59,23.71,2.23,2.59,23.71,24.07,0.35999999999999943,23.17,24.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,MN,BIGARELLO,PO020004NR0001,2015-07-14,26.3,soggiacenza statica,2.62,23.68,2.23,2.59,23.71,24.07,0.35999999999999943,23.17,24.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,MN,BIGARELLO,PO020004NR0001,2015-08-28,26.3,soggiacenza statica,2.72,23.58,2.23,2.59,23.71,24.07,0.35999999999999943,23.17,24.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,MN,BIGARELLO,PO020004NR0001,2015-09-25,26.3,soggiacenza statica,2.79,23.51,2.23,2.59,23.71,24.07,0.35999999999999943,23.17,24.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,MN,BIGARELLO,PO020004NR0001,2015-10-27,26.3,soggiacenza statica,2.83,23.47,2.23,2.59,23.71,24.07,0.35999999999999943,23.17,24.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,
