,PROVINCIA,COMUNE,CODICE PUNTO,DATA,Qr[m s.l.m.],DESCRIZIONE,MISURA SOGGIACENZA [m],PIEZOMETRIA [m s.l.m.],1Q_SOGG,3Q_SOGG,1Q_PIEZO,3Q_PIEZO,IQR_PIEZO,INF,SUP,OUTLIERS,Unnamed: 16,Unnamed: 17,Etichette di riga,1Q_SOGG.1,3Q_SOGG.1,1Q_PIEZO.1,3Q_PIEZO.1,Unnamed: 23,Unnamed: 24,Etichette di colonna,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48
0,MI,SETTALA,PO0152100U0004,2005-01-01,97.739,soggiacenza statica,3.4,94.339,2.83,3.7575,93.9815,94.90899999999999,0.9274999999999949,92.59025,96.30024999999998,,,,PO0152100U0004,2.83,3.7575,93.9815,94.90899999999999,,,Jan,,Feb,,Mar,,Apr,,May,,Jun,,Jul,,Aug,,Sep,,Oct,,Nov,,Dec,
1,MI,SETTALA,PO0152100U0004,2005-02-01,97.739,soggiacenza statica,3.5,94.239,2.83,3.7575,93.9815,94.90899999999999,0.9274999999999949,92.59025,96.30024999999998,,,,PO0980180U0001,5.2,5.975,80.947,81.722,,Etichette di riga,1Q_SOG,3Q_SOG,1Q_SOG,3Q_SOG,1Q_SOG,3Q_SOG,1Q_SOG,3Q_SOG,1Q_SOG,3Q_SOG,1Q_SOG,3Q_SOG,1Q_SOG,3Q_SOG,1Q_SOG,3Q_SOG,1Q_SOG,3Q_SOG,1Q_SOG,3Q_SOG,1Q_SOG,3Q_SOG,1Q_SOG,3Q_SOG
2,MI,SETTALA,PO0152100U0004,2005-03-01,97.739,soggiacenza statica,3.75,93.989,2.83,3.7575,93.9815,94.90899999999999,0.9274999999999949,92.59025,96.30024999999998,,,,PO0980200U0003,5.5075,6.26,92.978,93.7305,,PO0152100U0004,3.0125,3.8875,3.05,4.015000000000001,3.1675,4.04,3.25,3.95,3.175,3.99,2.88,3.8049999999999997,2.7175,3.1375,2.67,4.140000000000001,2.7300000000000004,3.6100000000000003,2.865,3.3,2.7600000000000002,3.3375,2.715,3.135
3,MI,SETTALA,PO0152100U0004,2005-04-01,97.739,soggiacenza statica,3.7,94.039,2.83,3.7575,93.9815,94.90899999999999,0.9274999999999949,92.59025,96.30024999999998,,,,Totale complessivo,4.66,6.0,81.422,93.7885,,PO0980180U0001,5.28,5.8,5.46,6,5.6,6.1,5.7,6.21,5.734999999999999,6.205,5.470000000000001,6.18,5.205,5.79,4.9775,5.800000000000001,5.029999999999999,5.5,5.1,5.5,5.21,5.58,5.16,5.61
4,MI,SETTALA,PO0152100U0004,2005-05-01,97.739,soggiacenza statica,3.7,94.039,2.83,3.7575,93.9815,94.90899999999999,0.9274999999999949,92.59025,96.30024999999998,,,,,,,,,,PO0980200U0003,5.66,6.1,5.845,6.3275,6,6.26,6,6.4,5.75,6.45,5.715,5.9325,5.305,6.025,5.3374999999999995,6.37,5.4,6.0275,5.75,6.26,5.695,6.16,5.4875,6.16
5,MI,SETTALA,PO0152100U0004,2005-06-01,97.739,soggiacenza statica,3.55,94.189,2.83,3.7575,93.9815,94.90899999999999,0.9274999999999949,92.59025,96.30024999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,MI,SETTALA,PO0152100U0004,2005-07-01,97.739,soggiacenza statica,3.1,94.639,2.83,3.7575,93.9815,94.90899999999999,0.9274999999999949,92.59025,96.30024999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,MI,SETTALA,PO0152100U0004,2005-08-01,97.739,soggiacenza statica,3.3,94.439,2.83,3.7575,93.9815,94.90899999999999,0.9274999999999949,92.59025,96.30024999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,MI,SETTALA,PO0152100U0004,2005-09-01,97.739,soggiacenza statica,2.95,94.789,2.83,3.7575,93.9815,94.90899999999999,0.9274999999999949,92.59025,96.30024999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,MI,SETTALA,PO0152100U0004,2005-10-01,97.739,soggiacenza statica,3.1,94.639,2.83,3.7575,93.9815,94.90899999999999,0.9274999999999949,92.59025,96.30024999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,MI,SETTALA,PO0152100U0004,2005-11-01,97.739,soggiacenza statica,3.3,94.439,2.83,3.7575,93.9815,94.90899999999999,0.9274999999999949,92.59025,96.30024999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,MI,SETTALA,PO0152100U0004,2005-12-01,97.739,soggiacenza statica,2.8,94.939,2.83,3.7575,93.9815,94.90899999999999,0.9274999999999949,92.59025,96.30024999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,MI,SETTALA,PO0152100U0004,2006-01-01,97.739,soggiacenza statica,3.8,93.939,2.83,3.7575,93.9815,94.90899999999999,0.9274999999999949,92.59025,96.30024999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,MI,SETTALA,PO0152100U0004,2006-02-01,97.739,soggiacenza statica,3.6,94.139,2.83,3.7575,93.9815,94.90899999999999,0.9274999999999949,92.59025,96.30024999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,MI,SETTALA,PO0152100U0004,2006-03-01,97.739,soggiacenza statica,3.7,94.039,2.83,3.7575,93.9815,94.90899999999999,0.9274999999999949,92.59025,96.30024999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,MI,SETTALA,PO0152100U0004,2006-04-01,97.739,soggiacenza statica,3.3,94.439,2.83,3.7575,93.9815,94.90899999999999,0.9274999999999949,92.59025,96.30024999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,MI,SETTALA,PO0152100U0004,2006-05-01,97.739,soggiacenza statica,3.4,94.339,2.83,3.7575,93.9815,94.90899999999999,0.9274999999999949,92.59025,96.30024999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,MI,SETTALA,PO0152100U0004,2006-06-01,97.739,soggiacenza statica,3.4,94.339,2.83,3.7575,93.9815,94.90899999999999,0.9274999999999949,92.59025,96.30024999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,MI,SETTALA,PO0152100U0004,2006-09-01,97.739,soggiacenza statica,2.8,94.939,2.83,3.7575,93.9815,94.90899999999999,0.9274999999999949,92.59025,96.30024999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,MI,SETTALA,PO0152100U0004,2006-10-01,97.739,soggiacenza statica,3.25,94.489,2.83,3.7575,93.9815,94.90899999999999,0.9274999999999949,92.59025,96.30024999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,MI,SETTALA,PO0152100U0004,2006-11-01,97.739,soggiacenza statica,3.35,94.389,2.83,3.7575,93.9815,94.90899999999999,0.9274999999999949,92.59025,96.30024999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,MI,SETTALA,PO0152100U0004,2006-12-01,97.739,soggiacenza statica,3.4,94.339,2.83,3.7575,93.9815,94.90899999999999,0.9274999999999949,92.59025,96.30024999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,MI,SETTALA,PO0152100U0004,2007-01-01,97.739,soggiacenza statica,3.75,93.989,2.83,3.7575,93.9815,94.90899999999999,0.9274999999999949,92.59025,96.30024999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,MI,SETTALA,PO0152100U0004,2007-03-01,97.739,soggiacenza statica,5.0,92.739,2.83,3.7575,93.9815,94.90899999999999,0.9274999999999949,92.59025,96.30024999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,MI,SETTALA,PO0152100U0004,2007-04-01,97.739,soggiacenza statica,5.15,92.589,2.83,3.7575,93.9815,94.90899999999999,0.9274999999999949,92.59025,96.30024999999998,OUTLIER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,MI,SETTALA,PO0152100U0004,2007-05-01,97.739,soggiacenza statica,5.2,92.539,2.83,3.7575,93.9815,94.90899999999999,0.9274999999999949,92.59025,96.30024999999998,OUTLIER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,MI,SETTALA,PO0152100U0004,2007-06-01,97.739,soggiacenza statica,5.05,92.689,2.83,3.7575,93.9815,94.90899999999999,0.9274999999999949,92.59025,96.30024999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,MI,SETTALA,PO0152100U0004,2007-08-01,97.739,soggiacenza statica,5.15,92.589,2.83,3.7575,93.9815,94.90899999999999,0.9274999999999949,92.59025,96.30024999999998,OUTLIER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,MI,SETTALA,PO0152100U0004,2007-09-01,97.739,soggiacenza statica,5.15,92.589,2.83,3.7575,93.9815,94.90899999999999,0.9274999999999949,92.59025,96.30024999999998,OUTLIER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,MI,SETTALA,PO0152100U0004,2007-10-01,97.739,soggiacenza statica,2.8,94.939,2.83,3.7575,93.9815,94.90899999999999,0.9274999999999949,92.59025,96.30024999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,MI,SETTALA,PO0152100U0004,2007-11-01,97.739,soggiacenza statica,3.1,94.639,2.83,3.7575,93.9815,94.90899999999999,0.9274999999999949,92.59025,96.30024999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,MI,SETTALA,PO0152100U0004,2007-12-01,97.739,soggiacenza statica,4.35,93.389,2.83,3.7575,93.9815,94.90899999999999,0.9274999999999949,92.59025,96.30024999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,MI,SETTALA,PO0152100U0004,2008-01-01,97.739,soggiacenza statica,4.15,93.589,2.83,3.7575,93.9815,94.90899999999999,0.9274999999999949,92.59025,96.30024999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,MI,SETTALA,PO0152100U0004,2008-02-01,97.739,soggiacenza statica,4.15,93.589,2.83,3.7575,93.9815,94.90899999999999,0.9274999999999949,92.59025,96.30024999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,MI,SETTALA,PO0152100U0004,2008-03-01,97.739,soggiacenza statica,4.25,93.489,2.83,3.7575,93.9815,94.90899999999999,0.9274999999999949,92.59025,96.30024999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,MI,SETTALA,PO0152100U0004,2009-01-15,97.739,soggiacenza statica,4.3,93.439,2.83,3.7575,93.9815,94.90899999999999,0.9274999999999949,92.59025,96.30024999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,MI,SETTALA,PO0152100U0004,2009-02-15,97.739,soggiacenza statica,4.12,93.619,2.83,3.7575,93.9815,94.90899999999999,0.9274999999999949,92.59025,96.30024999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,MI,SETTALA,PO0152100U0004,2009-03-15,97.739,soggiacenza statica,4.16,93.579,2.83,3.7575,93.9815,94.90899999999999,0.9274999999999949,92.59025,96.30024999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,MI,SETTALA,PO0152100U0004,2009-04-15,97.739,soggiacenza statica,4.37,93.369,2.83,3.7575,93.9815,94.90899999999999,0.9274999999999949,92.59025,96.30024999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,MI,SETTALA,PO0152100U0004,2009-05-15,97.739,soggiacenza statica,4.28,93.459,2.83,3.7575,93.9815,94.90899999999999,0.9274999999999949,92.59025,96.30024999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,MI,SETTALA,PO0152100U0004,2009-06-15,97.739,soggiacenza statica,4.06,93.679,2.83,3.7575,93.9815,94.90899999999999,0.9274999999999949,92.59025,96.30024999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,MI,SETTALA,PO0152100U0004,2009-07-15,97.739,soggiacenza statica,4.11,93.629,2.83,3.7575,93.9815,94.90899999999999,0.9274999999999949,92.59025,96.30024999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,MI,SETTALA,PO0152100U0004,2009-09-15,97.739,soggiacenza statica,4.21,93.529,2.83,3.7575,93.9815,94.90899999999999,0.9274999999999949,92.59025,96.30024999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,MI,SETTALA,PO0152100U0004,2009-10-15,97.739,soggiacenza statica,4.24,93.499,2.83,3.7575,93.9815,94.90899999999999,0.9274999999999949,92.59025,96.30024999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,MI,SETTALA,PO0152100U0004,2011-01-01,97.739,soggiacenza statica,4.21,93.529,2.83,3.7575,93.9815,94.90899999999999,0.9274999999999949,92.59025,96.30024999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,MI,SETTALA,PO0152100U0004,2011-02-01,97.739,soggiacenza statica,4.19,93.549,2.83,3.7575,93.9815,94.90899999999999,0.9274999999999949,92.59025,96.30024999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,MI,SETTALA,PO0152100U0004,2011-03-01,97.739,soggiacenza statica,3.75,93.989,2.83,3.7575,93.9815,94.90899999999999,0.9274999999999949,92.59025,96.30024999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
