,PROVINCIA,COMUNE,CODICE PUNTO,DATA,Qr[m s.l.m.],DESCRIZIONE,MISURA SOGGIACENZA [m],PIEZOMETRIA [m s.l.m.],1Q_SOGG,3Q_SOGG,1Q_PIEZO,3Q_PIEZO,IQR_PIEZO,INF,SUP,OUTLIERS,Unnamed: 16,Etichette di riga,1Q_SOGG.1,3Q_SOGG.1,1Q_PIEZO.1,3Q_PIEZO.1,Unnamed: 22,Unnamed: 23,Etichette di colonna,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47
0,MI,SAN ZENONE AL LAMBRO,PO0152020U0025,2015-05-25,84.87,soggiacenza statica,14.08,70.79,14.057500000000001,14.4725,70.39750000000001,70.8275,0.4299999999999926,69.75250000000003,71.4725,,,PO0152020U0025,14.057500000000001,14.4725,70.39750000000001,70.8275,,,Jan,,Feb,,Mar,,Apr,,May,,Jun,,Jul,,Aug,,Sep,,Oct,,Nov,,Dec,
1,MI,SAN ZENONE AL LAMBRO,PO0152020U0025,2015-09-10,84.87,soggiacenza statica,13.81,71.06,14.057500000000001,14.4725,70.39750000000001,70.8275,0.4299999999999926,69.75250000000003,71.4725,,,PO098002NR0045,9.57,9.8,55.353,55.583,,Etichette di riga,1Q_SOG,3Q_SOG,1Q_SOG,3Q_SOG,1Q_SOG,3Q_SOG,1Q_SOG,3Q_SOG,1Q_SOG,3Q_SOG,1Q_SOG,3Q_SOG,1Q_SOG,3Q_SOG,1Q_SOG,3Q_SOG,1Q_SOG,3Q_SOG,1Q_SOG,3Q_SOG,1Q_SOG,3Q_SOG,1Q_SOG,3Q_SOG
2,MI,SAN ZENONE AL LAMBRO,PO0152020U0025,2015-10-28,84.87,soggiacenza statica,13.88,70.99,14.057500000000001,14.4725,70.39750000000001,70.8275,0.4299999999999926,69.75250000000003,71.4725,,,PO0980100U0007,6.05,6.72,55.161,55.831,,PO0152020U0025,14.3,14.52,14.399999999999999,14.61,14.415,14.504999999999999,14.455,15.030000000000001,14.065,14.4475,14.185,14.7975,14.1225,14.1875,13.895,14.065,13.8025,14.0175,13.815000000000001,14.1075,14.04,14.29,14.24,14.54
3,MI,SAN ZENONE AL LAMBRO,PO0152020U0025,2016-02-01,84.87,soggiacenza statica,14.44,70.43,14.057500000000001,14.4725,70.39750000000001,70.8275,0.4299999999999926,69.75250000000003,71.4725,,,PO098026NR0074,10.6,11.225000000000001,46.870000000000005,47.485,,PO098002NR0045,9.6525,9.83,9.6725,9.9025,9.675,9.9525,9.76,9.9825,9.69,9.9,9.545,9.81,9.34,9.695,9.435,9.6625,9.5025,9.715,9.6,9.71,9.559999999999999,9.765,9.684999999999999,9.774999999999999
4,MI,SAN ZENONE AL LAMBRO,PO0152020U0025,2016-03-01,84.87,soggiacenza statica,14.38,70.49,14.057500000000001,14.4725,70.39750000000001,70.8275,0.4299999999999926,69.75250000000003,71.4725,,,PO098031NR0333,7.95,8.175,73.055,73.28,,PO0980100U0007,6.1775,7.245,5.98,8.004999999999999,6.05,7.495,6.06,7.12,6.42,6.57,6.390000000000001,7.645,6.01,6.645,5.9875,6.495,6.37,6.52,5.9350000000000005,6.26,5.97,6.32,6.42,6.57
5,MI,SAN ZENONE AL LAMBRO,PO0152020U0025,2016-04-21,84.87,soggiacenza statica,15.58,69.29,14.057500000000001,14.4725,70.39750000000001,70.8275,0.4299999999999926,69.75250000000003,71.4725,OUTLIER,,PO0980320U0002,5.0,5.7,74.742,75.442,,PO098026NR0074,10.81,11.17,10.63,11.33,10.7625,11.325,10.8125,11.3725,10.67,11.35,10.52,11.22,10.5,11.1625,10.44,11.05,10.43,10.96,10.58,11.07,10.51,11.07,10.46,11.01
6,MI,SAN ZENONE AL LAMBRO,PO0152020U0025,2016-05-01,84.87,soggiacenza statica,14.02,70.85,14.057500000000001,14.4725,70.39750000000001,70.8275,0.4299999999999926,69.75250000000003,71.4725,,,PO0980510U0001,7.577500000000001,8.36,43.483,44.2655,,PO098031NR0333,7.875,8.05,7.95,10.600000000000001,8,8.100000000000001,7.95,8.05,8.05,8.05,8,8.100000000000001,8.45,8.745000000000001,8.05,8.5,7.9,8.3125,7.8500000000000005,8.100000000000001,7.7425,7.9625,8.05,8.95
7,MI,SAN ZENONE AL LAMBRO,PO0152020U0025,2016-06-01,84.87,soggiacenza statica,14.23,70.64,14.057500000000001,14.4725,70.39750000000001,70.8275,0.4299999999999926,69.75250000000003,71.4725,,,PO098052NR0037,2.4,2.76,64.621,64.981,,PO0980320U0002,4.7375,5.55,4.984999999999999,5.55,5.1375,5.8,5.1,5.87,5,6.0125,5.3,5.825,5.2524999999999995,5.7,4.95,5.6,5,5.592499999999999,4.87,5.6,5.035,5.8,4.825,5.415
8,MI,SAN ZENONE AL LAMBRO,PO0152020U0025,2016-08-01,84.87,soggiacenza statica,13.85,71.02,14.057500000000001,14.4725,70.39750000000001,70.8275,0.4299999999999926,69.75250000000003,71.4725,,,PO0980600U0001,5.0,5.77,65.316,66.086,,PO0980510U0001,8.26,8.36,7.5725,8.385,8.36,8.36,7.21,8.36,8.36,8.36,7.21,8.36,6.797499999999999,8.16,7.885,8.36,7.590000000000001,8.36,8.36,8.565,8.280000000000001,8.43,7.785,8.46
9,MI,SAN ZENONE AL LAMBRO,PO0152020U0025,2016-09-01,84.87,soggiacenza statica,13.98,70.89,14.057500000000001,14.4725,70.39750000000001,70.8275,0.4299999999999926,69.75250000000003,71.4725,,,Totale complessivo,5.2,9.96,48.045,73.08,,PO098052NR0037,2.4925,2.87,2.56,2.7775,2.2750000000000004,2.725,2.575,2.9325,2.7350000000000003,2.84,2.39,2.69,2.27,2.4,2.3274999999999997,2.4675,2.51,2.68,2.7,2.77,2.4,2.715,2.4175,2.72
