,PROVINCIA,COMUNE,CODICE PUNTO,DATA,Qr[m s.l.m.],DESCRIZIONE,MISURA SOGGIACENZA [m],PIEZOMETRIA [m s.l.m.],1Q_SOGG,3Q_SOGG,1Q_PIEZO,3Q_PIEZO,IQR_PIEZO,INF,SUP,OUTLIERS,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Etichette di riga,1Q_SOGG.1,3Q_SOGG.1,1Q_PIEZO.1,3Q_PIEZO.1,Unnamed: 26,Unnamed: 27,Etichette di colonna,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51
0,BS,BASSANO BRESCIANO,PO017013NRP001,2017-11-15,61.7989999999999,soggiacenza statica,6.79,55.0089999999999,6.3,6.79,55.0089999999999,55.4989999999999,0.490000000000002,54.2739999999999,56.23399999999991,,,,,,,PO017013NRP001,6.3,6.79,55.0089999999999,55.4989999999999,,,Jan,,Feb,,Mar,,Apr,,May,,Jun,,Jul,,Aug,,Sep,,Oct,,Nov,,Dec,
1,BS,BASSANO BRESCIANO,PO017013NRP001,2018-05-07,61.7989999999999,soggiacenza statica,6.3,55.4989999999999,6.3,6.79,55.0089999999999,55.4989999999999,0.490000000000002,54.2739999999999,56.23399999999991,,,,,,,PO017037NRP001,4.435,6.5575,79.6795,81.802,,Etichette di riga,1Q-SOG,3Q_SOG,1Q-SOG,3Q_SOG,1Q-SOG,3Q_SOG,1Q-SOG,3Q_SOG,1Q-SOG,3Q_SOG,1Q-SOG,3Q_SOG,1Q-SOG,3Q_SOG,1Q-SOG,3Q_SOG,1Q-SOG,3Q_SOG,1Q-SOG,3Q_SOG,1Q-SOG,3Q_SOG,1Q-SOG,3Q_SOG
2,BS,BASSANO BRESCIANO,PO017013NRP001,2018-07-30,61.7989999999999,soggiacenza statica,7.0,54.7989999999999,6.3,6.79,55.0089999999999,55.4989999999999,0.490000000000002,54.2739999999999,56.23399999999991,,,,,,,PO0170600UC013,3.1100000000000003,4.2775,105.26249999999999,106.43,,PO017013NRP001,,,,,,,,,6.3,6.3,,,7,7,,,,,,,5.765000000000001,6.5649999999999995,,
3,BS,BASSANO BRESCIANO,PO017013NRP001,2018-11-19,61.7989999999999,soggiacenza statica,5.19,56.6089999999999,6.3,6.79,55.0089999999999,55.4989999999999,0.490000000000002,54.2739999999999,56.23399999999991,OUTLIER,,,,,,PO0170710RC478,3.866626344085996,4.56,36.94,37.633373655914006,,PO017037NRP001,4.32,6.69,4.43,6.52,4.82,6.95,5.13,6.91,5.29,6.38,5.05,6.75,4.5725,6.220000000000001,4.407500000000001,5.9350000000000005,4.5649999999999995,4.955,4.5275,5.965,4.3075,5.825,4.2725,5.845
4,BS,BASSANO BRESCIANO,PO017013NRP001,2019-11-14,61.7989999999999,soggiacenza statica,6.34,55.458999999999904,6.3,6.79,55.0089999999999,55.4989999999999,0.490000000000002,54.2739999999999,56.23399999999991,,,,,,,PO017073NUP001,4.6000000000000005,5.0175,43.5065,43.924,,PO0170600UC013,3.34,3.92,3.54,4.297499999999999,3.68,4.57,4.16,4.925,4.015,4.69,3.86,4.88,3.1025,4.1525,2.62,3.715,2.525,3.335,2.62,3.0700000000000003,3.0275,3.4124999999999996,3.0775,3.84
5,BS,CAPRIANO DEL COLLE,PO017037NRP001,2015-07-07,86.237,soggiacenza statica,3.89,82.347,4.435,6.5575,79.6795,81.802,2.1225000000000023,76.49575,84.98575000000001,,,,,,,PO0170860UC579,0.0,0.58,54.83,55.41,,PO0170710RC478,3.71,4.685431034482754,3.70431034482758,4.672499999999999,3.84,4.5925,3.9349999999999996,4.450031250000022,3.9325,4.395,3.99,4.355833333333317,4.02,4.429677419354821,3.959969758064497,4.502641129032287,4.183440972222225,4.5825,4.105372983870975,4.655,3.453291666666662,4.4350000000000005,3.783084677419356,4.609999999999999
6,BS,CAPRIANO DEL COLLE,PO017037NRP001,2015-08-20,86.237,soggiacenza statica,4.43,81.807,4.435,6.5575,79.6795,81.802,2.1225000000000023,76.49575,84.98575000000001,,,,,,,PO0170880RC541,1.36,1.59,60.57,60.8,,PO017073NUP001,4.76,5.25,4.9325,5.095000000000001,4.6225000000000005,5.085,4.61,5.04,4.550000000000001,5.0575,4.49,4.8125,4.5225,4.855,4.46,4.57,4.6525,4.7675,4.7825,4.9225,4.7175,4.815,4.365,4.83
7,BS,CAPRIANO DEL COLLE,PO017037NRP001,2015-09-17,86.237,soggiacenza statica,4.61,81.627,4.435,6.5575,79.6795,81.802,2.1225000000000023,76.49575,84.98575000000001,,,,,,,PO0171220R0001,4.125,6.13,68.41,70.415,,PO0170860UC579,0,0,0,0,0,0,0,0.52,0,0.40499999999999997,0,1.31,0.9325,2.5549999999999997,0.49249999999999994,1.5,0,0.135,0,0.0125,0,0,0,0
8,BS,CAPRIANO DEL COLLE,PO017037NRP001,2015-10-06,86.237,soggiacenza statica,4.52,81.717,4.435,6.5575,79.6795,81.802,2.1225000000000023,76.49575,84.98575000000001,,,,,,,PO017122NRP001,4.6,6.66,73.6,75.66,,PO0170880RC541,1.325,1.525,1.4,1.5550000000000002,1.4275,1.56,1.2975,1.5350000000000001,1.48,1.61,1.4375,1.65,1.5575,1.6275,1.4725,1.7525,1.49,1.64,1.2275,1.4449999999999998,1.1,1.44,1.15,1.53
9,BS,CAPRIANO DEL COLLE,PO017037NRP001,2015-11-13,86.237,soggiacenza statica,4.43,81.807,4.435,6.5575,79.6795,81.802,2.1225000000000023,76.49575,84.98575000000001,,,,,,,PO0171960RC629,2.795,6.765,42.775,46.745000000000005,,PO0171220R0001,3.9,4.4,4.18,4.47,4.2725,5,4.3975,5.395,4.237500000000001,5.365,4.1075,4.875,4.6850000000000005,5.7575,4.055,5.63,4.5249999999999995,5.505,4.125,6.2275,3.75,5.300000000000001,3.6799999999999997,5.305
