,PROVINCIA,COMUNE,CODICE PUNTO,DATA,Qr[m s.l.m.],DESCRIZIONE,MISURA SOGGIACENZA [m],PIEZOMETRIA [m s.l.m.],1Q_SOGG,3Q_SOGG,1Q_PIEZO,3Q_PIEZO,IQR_PIEZO,INF,SUP,OUTLIERS,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Etichette di riga,1Q_SOGG.1,3Q_SOGG.1,1Q_PIEZO.1,3Q_PIEZO.1,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45
0,PV,CASATISMA,PO018032NR0001,2010-08-18,75.728,soggiacenza statica,8.3,67.428,10.649999999999999,12.555,63.173,65.078,1.9050000000000011,60.3155,67.9355,,,,,,,PO018032NR0001,10.649999999999999,12.555,63.173,65.078,,,,,,,,,,,,,,,,,,,,
1,PV,CASATISMA,PO018032NR0001,2010-10-28,75.728,soggiacenza statica,10.1,65.628,10.649999999999999,12.555,63.173,65.078,1.9050000000000011,60.3155,67.9355,,,,,,,PO018047NR0001,4.56,6.7875,67.8015,70.029,,,,,,,,,,,,,,,,,,,,
2,PV,CASATISMA,PO018032NR0001,2010-11-30,75.728,soggiacenza statica,8.8,66.928,10.649999999999999,12.555,63.173,65.078,1.9050000000000011,60.3155,67.9355,,,,,,,PO0180490U0003,2.585,4.5,102.759,104.674,,,,,,,,,,,,,,,,,,,,
3,PV,CASATISMA,PO018032NR0001,2011-04-27,75.728,soggiacenza statica,10.4,65.328,10.649999999999999,12.555,63.173,65.078,1.9050000000000011,60.3155,67.9355,,,,,,,PO0181150U0006,4.98,6.62,60.667,62.307,,,,,,,,,,,,,,,,,,,,
4,PV,CASATISMA,PO018032NR0001,2011-11-14,75.728,soggiacenza statica,10.55,65.178,10.649999999999999,12.555,63.173,65.078,1.9050000000000011,60.3155,67.9355,,,,,,,PO0181180U0019,7.8125,8.94,59.139,60.2665,,,,,,,,,,,,,,,,,,,,
5,PV,CASATISMA,PO018032NR0001,2012-03-06,75.728,soggiacenza statica,10.83,64.898,10.649999999999999,12.555,63.173,65.078,1.9050000000000011,60.3155,67.9355,,,,,,,PO0181220U0001,6.0424999999999995,6.955,144.135,145.04749999999999,,,,,,,,,,,,,,,,,,,,
6,PV,CASATISMA,PO018032NR0001,2012-05-18,75.728,soggiacenza statica,10.7,65.028,10.649999999999999,12.555,63.173,65.078,1.9050000000000011,60.3155,67.9355,,,,,,,PO0181550U0001,2.0775,2.57,114.046,114.5385,,,,,,,,,,,,,,,,,,,,
7,PV,CASATISMA,PO018032NR0001,2012-11-30,75.728,soggiacenza statica,12.1,63.628,10.649999999999999,12.555,63.173,65.078,1.9050000000000011,60.3155,67.9355,,,,,,,Totale complessivo,2.6925,7.6,61.387,104.989,,,,,,,,,,,,,,,,,,,,
8,PV,CASATISMA,PO018032NR0001,2013-02-18,75.728,soggiacenza statica,11.3,64.428,10.649999999999999,12.555,63.173,65.078,1.9050000000000011,60.3155,67.9355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,PV,CASATISMA,PO018032NR0001,2013-05-21,75.728,soggiacenza statica,10.5,65.228,10.649999999999999,12.555,63.173,65.078,1.9050000000000011,60.3155,67.9355,,,,,,,,Etichette di colonna,,,,,,,,,,,,,,,,,,,,,,,
