,PROVINCIA,COMUNE,CODICE PUNTO,DATA,Qr[m s.l.m.],DESCRIZIONE,MISURA SOGGIACENZA [m],PIEZOMETRIA [m s.l.m.],1Q_SOGG,3Q_SOGG,1Q_PIEZO,3Q_PIEZO,IQR_PIEZO,INF,SUP,OUTLIERS,Unnamed: 16,Unnamed: 17,Unnamed: 18,Etichette di riga,1Q_SOGG.1,3Q_SOGG.1,1Q_PIEZO.1,3Q_PIEZO.1,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45
0,MI,ABBIATEGRASSO,PO0150020U0005,2012-01-01,120.75,soggiacenza statica,7.6,113.15,7.06,8.31,112.44,113.69,1.25,110.565,115.565,,,,,PO0150020U0005,7.06,8.31,112.44,113.69,,,,,,,,,,,,,,,,,,,,,,
1,MI,ABBIATEGRASSO,PO0150020U0005,2012-02-01,120.75,soggiacenza statica,7.9,112.85,7.06,8.31,112.44,113.69,1.25,110.565,115.565,,,,,PO0150020U0014,4.58,5.32575,116.40925,117.155,,,,,,,,,,,,,,,,,,,,,,
2,MI,ABBIATEGRASSO,PO0150020U0005,2012-03-01,120.75,soggiacenza statica,8.38,112.37,7.06,8.31,112.44,113.69,1.25,110.565,115.565,,,,,PO0150150U0001,3.835,4.44,92.349,92.95400000000001,,,,,,,,,,,,,,,,,,,,,,
3,MI,ABBIATEGRASSO,PO0150020U0005,2012-04-01,120.75,soggiacenza statica,9.05,111.7,7.06,8.31,112.44,113.69,1.25,110.565,115.565,,,,,PO0150870U0001,5.065,5.9925,136.8475,137.775,,,,,,,,,,,,,,,,,,,,,,
4,MI,ABBIATEGRASSO,PO0150020U0005,2012-05-01,120.75,soggiacenza statica,8.8,111.95,7.06,8.31,112.44,113.69,1.25,110.565,115.565,,,,,PO015140NR0109,7.830362903225806,8.58329435483871,81.7567056451613,82.51138709677421,,,,,,,,,,,,,,,,,,,,,,
5,MI,ABBIATEGRASSO,PO0150020U0005,2012-06-01,120.75,soggiacenza statica,7.7,113.05,7.06,8.31,112.44,113.69,1.25,110.565,115.565,,,,,PO015146NU1378,8.35,9.27,101.904,102.824,,,,,,,,,,,,,,,,,,,,,,
6,MI,ABBIATEGRASSO,PO0150020U0005,2012-07-01,120.75,soggiacenza statica,6.8,113.95,7.06,8.31,112.44,113.69,1.25,110.565,115.565,,,,,PO015146NU1379,3.2575,3.8,99.209,99.7515,,,,,,,,,,,,,,,,,,,,,,
7,MI,ABBIATEGRASSO,PO0150020U0005,2012-08-11,120.75,soggiacenza statica,6.4,114.35,7.06,8.31,112.44,113.69,1.25,110.565,115.565,,,,,PO015146NU1435,6,6.6,108.502,109.102,,,,,,,,,,,,,,,,,,,,,,
8,MI,ABBIATEGRASSO,PO0150020U0005,2012-09-11,120.75,soggiacenza statica,6.0,114.75,7.06,8.31,112.44,113.69,1.25,110.565,115.565,,,,,PO015146NU1489,2.8,3.92,118.12100000000001,119.241,,,,,,,,,,,,,,,,,,,,,,
9,MI,ABBIATEGRASSO,PO0150020U0005,2012-10-01,120.75,soggiacenza statica,7.1,113.65,7.06,8.31,112.44,113.69,1.25,110.565,115.565,,,,,PO015146NU1496,5.3875,6.625,129.055,130.29250000000002,,,,,,,,,,,,,,,,,,,,,,
10,MI,ABBIATEGRASSO,PO0150020U0005,2012-11-01,120.75,soggiacenza statica,7.13,113.62,7.06,8.31,112.44,113.69,1.25,110.565,115.565,,,,,PO015173NR0001,2.9650000000000003,3.3049999999999997,91.435,91.775,,,,,,,,,,,,,,,,,,,,,,
11,MI,ABBIATEGRASSO,PO0150020U0005,2012-12-01,120.75,soggiacenza statica,7.84,112.91,7.06,8.31,112.44,113.69,1.25,110.565,115.565,,,,,PO015211NUP001,5.35,6.75,134.681,136.081,,,,,,,,,,,,,,,,,,,,,,
12,MI,ABBIATEGRASSO,PO0150020U0005,2013-01-01,120.75,soggiacenza statica,8.02,112.73,7.06,8.31,112.44,113.69,1.25,110.565,115.565,,,,,PO0152350U0001,2.3,2.99,112.43,113.12,,,,,,,,,,,,,,,,,,,,,,
