,PROVINCIA,COMUNE,CODICE PUNTO,DATA,Qr[m s.l.m.],DESCRIZIONE,MISURA SOGGIACENZA [m],PIEZOMETRIA [m s.l.m.],1Q_SOGG,3Q_SOGG,1Q_PIEZO,3Q_PIEZO,IQR_PIEZO,INF,SUP,OUTLIERS,Unnamed: 16,Unnamed: 17,Unnamed: 18,Etichette di riga,1Q_SOGG.1,3Q_SOGG.1,1Q_PIEZO.1,3Q_PIEZO.1,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43
0,PV,BELGIOIOSO,PO0180130U0005,2008-01-31,74.964,soggiacenza statica,11.6,63.364,11.1,11.75,63.214,63.864,0.6499999999999986,62.239000000000004,64.839,,,,,PO0180130U0005,11.1,11.75,63.214,63.864,,,,,,,,,,,,,,,,,,,,
1,PV,BELGIOIOSO,PO0180130U0005,2008-02-28,74.964,soggiacenza statica,11.88,63.084,11.1,11.75,63.214,63.864,0.6499999999999986,62.239000000000004,64.839,,,,,PO018014NRP001,12.5525,13.5975,82.5025,83.5475,,,,,,,,,,,,,,,,,,,,
2,PV,BELGIOIOSO,PO0180130U0005,2008-03-27,74.964,soggiacenza statica,11.95,63.014,11.1,11.75,63.214,63.864,0.6499999999999986,62.239000000000004,64.839,,,,,PO018043NUP001,2.0524999999999998,2.2075,80.5355,80.6905,,,,,,,,,,,,,,,,,,,,
3,PV,BELGIOIOSO,PO0180130U0005,2008-04-24,74.964,soggiacenza statica,11.8,63.164,11.1,11.75,63.214,63.864,0.6499999999999986,62.239000000000004,64.839,,,,,PO0180480U0004,4.49,5,53.81,54.32,,,,,,,,,,,,,,,,,,,,
4,PV,BELGIOIOSO,PO0180130U0005,2008-05-23,74.964,soggiacenza statica,11.5,63.464,11.1,11.75,63.214,63.864,0.6499999999999986,62.239000000000004,64.839,,,,,PO018048NRP001,2.76,3.07,71.801,72.111,,,,,,,,,,,,,,,,,,,,
5,PV,BELGIOIOSO,PO0180130U0005,2008-06-26,74.964,soggiacenza statica,11.26,63.704,11.1,11.75,63.214,63.864,0.6499999999999986,62.239000000000004,64.839,,,,,PO018072NUP001,3.475,3.84,83.29400000000001,83.65899999999999,,,,,,,,,,,,,,,,,,,,
6,PV,BELGIOIOSO,PO0180130U0005,2008-07-24,74.964,soggiacenza statica,11.1,63.864,11.1,11.75,63.214,63.864,0.6499999999999986,62.239000000000004,64.839,,,,,PO0180810U0111,2.7,4,70.97,72.27,,,,,,,,,,,,,,,,,,,,
7,PV,BELGIOIOSO,PO0180130U0005,2008-08-28,74.964,soggiacenza statica,10.65,64.314,11.1,11.75,63.214,63.864,0.6499999999999986,62.239000000000004,64.839,,,,,PO0181100U0111,4,5.2625,78.13749999999999,79.4,,,,,,,,,,,,,,,,,,,,
8,PV,BELGIOIOSO,PO0180130U0005,2008-09-25,74.964,soggiacenza statica,11.1,63.864,11.1,11.75,63.214,63.864,0.6499999999999986,62.239000000000004,64.839,,,,,PO018173NUP001,1.6,2.4,90.477,91.277,,,,,,,,,,,,,,,,,,,,
9,PV,BELGIOIOSO,PO0180130U0005,2008-10-21,74.964,soggiacenza statica,11.8,63.164,11.1,11.75,63.214,63.864,0.6499999999999986,62.239000000000004,64.839,,,,,PO018176NUP001,3.87,4.45,83.802,84.382,,,,,,,,,,,,,,,,,,,,
