CODICE PUNTO,DATA,PIEZOMETRIA [m s.l.m.]
PO0160240R0296,2011-01-25,181.69
PO0160240R0296,2011-02-22,179.72
PO0160240R0296,2011-03-15,177.5
PO0160240R0296,2011-04-14,177.17
PO0160240R0296,2011-05-04,180.38
PO0160240R0296,2011-06-06,180.62
PO0160240R0296,2011-07-20,180.51
PO0160240R0296,2011-08-12,181.07
PO0160240R0296,2011-09-09,180.51
PO0160240R0296,2011-10-07,179.38
PO0160240R0296,2011-11-07,179.72
PO0160240R0296,2011-12-01,178.2
PO0160240R0296,2012-01-09,176.47
PO0160240R0296,2012-02-06,174.95
PO0160240R0296,2012-03-09,174.64
PO0160240R0296,2012-04-05,177.47
PO0160240R0296,2012-05-03,180.2
PO0160240R0296,2012-06-07,180.05
PO0160240R0296,2012-07-04,182.82
PO0160240R0296,2012-08-01,181.91
PO0160240R0296,2012-09-07,180.33
PO0160240R0296,2012-10-15,179.05
PO0160240R0296,2012-11-16,180.28
PO0160240R0296,2012-12-07,179.38
PO0160240R0296,2013-01-03,179.22
PO0160240R0296,2013-02-08,180.23
PO0160240R0296,2013-03-08,178.95
PO0160240R0296,2013-04-02,180.83
PO0160240R0296,2013-05-10,181.28
PO0160240R0296,2013-06-07,182.49
PO0160240R0296,2013-07-12,182.33
PO0160240R0296,2013-08-05,182.11
PO0160240R0296,2013-09-06,181.24
PO0160240R0296,2013-10-09,180.4
PO0160240R0296,2013-11-26,180.89
PO0160240R0296,2013-12-11,180.3
PO0160240R0296,2014-01-17,180.95
PO0160240R0296,2014-02-14,183.22
PO0160240R0296,2014-03-20,179.99
PO0160240R0296,2014-04-23,179.56
PO0160240R0296,2014-05-22,179.85
PO0160240R0296,2014-06-20,182.41
PO0160240R0296,2014-07-24,185.02
PO0160240R0296,2014-08-22,183.96
PO0160240R0296,2014-09-12,182.71
PO0160240R0296,2014-10-31,180.92
PO0160240R0296,2014-11-26,182.71
PO0160240R0296,2014-12-18,182.53
PO0160240R0296,2015-01-12,180.05
PO0160240R0296,2015-02-02,180.15
PO0160240R0296,2015-03-04,179.42
PO0160240R0296,2015-04-20,179.56
PO0160240R0296,2015-05-12,179.78
PO0160240R0296,2015-06-05,179.97
PO0160240R0296,2015-07-21,180.43
PO0160240R0296,2015-08-05,180.23
PO0160240R0296,2015-09-04,179.84
PO0160240R0296,2015-10-01,179.52
PO0160240R0296,2015-11-06,179.25
PO0160240R0296,2015-12-01,177.82
PO0160240R0296,2016-01-15,178.14
PO0160240R0296,2016-02-02,175.7
PO0160240R0296,2016-03-03,175.66
PO0160240R0296,2016-04-01,177.25
PO0160240R0296,2016-05-17,179.04
PO0160240R0296,2016-06-24,182.23
PO0160240R0296,2016-07-15,183.18
PO0160240R0296,2016-08-03,183.81
PO0160240R0296,2016-09-02,182.89
PO0160240R0296,2016-10-03,181.57
PO0160240R0296,2016-11-02,180.83
PO0160240R0296,2016-12-02,180.55
PO0160240R0296,2017-01-13,176.58
PO0160240R0296,2017-02-10,177.12
PO0160240R0296,2017-03-01,175.3
PO0160240R0296,2017-04-07,175.02
PO0160240R0296,2017-05-23,180.54
PO0160240R0296,2017-06-19,180.93
PO0160240R0296,2017-07-17,182.0
PO0160240R0296,2017-08-02,182.28
PO0160240R0296,2017-09-08,182.07
PO0160240R0296,2017-10-13,180.81
PO0160240R0296,2017-11-07,179.69
PO0160240R0296,2017-12-18,178.45
PO0160240R0296,2018-01-18,178.2
PO0160240R0296,2018-02-12,177.29
PO0160240R0296,2018-03-09,177.66
PO0160240R0296,2018-04-03,179.2
