DATA,PO012002NU0008,PO012026NU3021,PO0120500RZ001,PO012070NU1007,PO0120750R2020,PO0120790RZ001,PO012090NU2009,PO0121180U0005,PO012119NUP001,PO012123NUP001,PO0121300RZ001,PO012136NUZ001,PO0130230U0003,PO0130280U0009,PO013029NU0003,PO0130460U0001,PO013064NU0002,PO0131310U0001,PO0131330U0009,PO013138NU0001,PO013143NUP001,PO0131590U0001,PO0150020U0005,PO0150020U0014,PO0150150U0001,PO015019NR0001,PO015041NR0075,PO015051NR0012,PO015060NU0070,PO015062NR0071,PO0150870U0001,PO0151080U0002,PO015113NUP001,PO015140NR0109,PO015146NU1120,PO015146NU1313,PO015146NU1353,PO015146NU1378,PO015146NU1379,PO015146NU1435,PO015146NU1489,PO015146NU1496,PO015146NU1534,PO015146NU1536,PO015146NU1557,PO015173NR0001,PO0151810U0001,PO015194NU0017,PO0152020U0025,PO0152060U0004,PO0152100U0004,PO015211NUP001,PO015219NU0009,PO0152210U0001,PO0152350U0001,PO015243NUP001,PO015247NR0185,PO0152490U0002,PO0160240R0296,PO0160280R0003,PO016042NU0001,PO0160750U0003,PO0160760R1284,PO0160890R0001,PO0160980R0009,PO0161150U0002,PO016117NU0001,PO0161220R0519,PO016123NU0001,PO0161290R0001,PO0161530R0004,PO0161570R3380,PO0161770U0001,PO0161830R0003,PO0162120R0001,PO0162130R0002,PO016219NUP001,PO017013NRP001,PO0170290RC490,PO0170290UB135,PO017029NR0001,PO017029NR0003,PO017029NU0001,PO0170340RC481,PO0170340RC483,PO017037NRP001,PO0170400RC511,PO0170450RC542,PO0170600UC013,PO0170710RC478,PO017073NUP001,PO0170860UC579,PO0170880RC541,PO0171130RC561,PO017113NRD106,PO0171140UC023,PO0171220R0001,PO017122NRP001,PO0171660UC529,PO0171960RC629,PO018003NR0009,PO0180130U0005,PO018014NRP001,PO018032NR0001,PO0180350U0002,PO018039NR0001,PO018039NRP001,PO018043NUP001,PO0180470U0001,PO018047NR0001,PO0180480U0004,PO018048NRP001,PO0180490U0003,PO0180500U0002,PO018062NRD002,PO018065NRG001,PO018068NRP001,PO0180690U0002,PO018072NUP001,PO0180810U0111,PO0180880U0001,PO0181100U0111,PO0181140U0002,PO0181150U0006,PO0181180U0019,PO0181220U0001,PO018146NRP001,PO018147NUP001,PO0181550U0001,PO018162NUP001,PO018173NUP001,PO018176NUP001,PO0181770U0020,PO018180NUP001,PO019027NRA001,PO019033NRA001,PO019035NRA001,PO019036NUA001,PO019040NRA001,PO019047NRA001,PO019051NRA001,PO019056NRA001,PO019065NRA001,PO019070NRA001,PO019071NRA001,PO019077NRA001,PO019083NRA001,PO019084NRA002,PO019088NRP001,PO019089NUA001,PO019091NRA001,PO019094NU0944,PO019103NRA001,PO019110NRA001,PO0200030R0002,PO020004NR0001,PO0200150R0002,PO0200170R0001,PO020017NU0005,PO020018NU0004,PO0200210R0045,PO020021NRP001,PO020023NUP001,PO0200240R0001,PO0200270R0053,PO0200280R0056,PO0200290R0002,PO020030NU0004,PO0200310R0062,PO020032NR0001,PO0200330R0002,PO020034NU0002,PO0200370R0002,PO0200400R0001,PO0200420R0001,PO0200510R0002,PO0200530R0089,PO0200570U0002,PO020061NR0001,PO020061NUP001,PO020063NU0002,PO0200650R0002,PO0200700R0002,PO0200720R0001,PO0970200U0002,PO0970200U0003,PO0970440U0002,PO0970480U0001,PO0970610U0015,PO098002NR0045,PO098003NR0063,PO098008NR0025,PO0980100U0007,PO0980110U0001,PO0980180U0001,PO0980200U0003,PO098024NR0087,PO098025NR0110,PO098026NR0074,PO098031NR0333,PO0980320U0002,PO098049NR0141,PO0980510U0001,PO098052NR0037,PO0980600U0001,PO1080210U0002,PO108023NU0003,PO1080310U0001,PO108033NR0142,PO108033NU0243,PO1080350U0024,PO1080390U0026,PO1080520U0016,PO0160240R0273,PO0200180R0037,PO0200490R0085,PO012136NU0001
1935-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.07300000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1937-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.21300000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1939-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.27300000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1941-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1944-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1946-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1948-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1951-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1951-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
