CODICE,CODICE_SIF,CODICE_FOG,MACROAREE,PROVINCIA,COMUNE,CODICEWISE,RETE,QUANTI_ESECUTORE,STATO,DATA_INIZIO,ALTRO_CODICE,SOSTITUITO_DA,SOSTITUISCE,X_GB,Y_GB,X_WGS84,Y_WGS84,ORIGINE_COORDINATE,QUOTA_MISU,QUOTA_PC_SLM,H_BP,PROFONDITA,FILTRI_N,FILTRI_TOP,FILTRI_BOTTOM,USO,TIPO,GWB_2015,Codice WISE Corpo idrico,Nome Corpo Idrico,SONDA AUTOMATICA,NOTE,ORIGINE,lat,lon,ALTRI CODICI,z_PTUA2003,z_CAP,z_Idroscalo2005,z_Milano1950,z_OLONA,STRAT,FALDA,FLT1_DA,FLT1_A,FLT2_DA,FLT2_A
PO0160130R0002,,,3.0,BG,ARZAGO D'ADDA,IT03GWBISSMPAO_PO0160130R0002,2.0,,S,,,,PO0160130R0001,1545721.0,5035382.0,545694.0,5035362.0,2.0,106.0,106.0,,35.0,,,,DOMESTICO,POZZO,GWB ISS MPAO,IT03GWBISSMPAO,Corpo idrico sotterraneo superficiale di Media pianura Bacino Adda - Oglio,,,PTUA2022,45.47029005905692,9.584562514275872,,,,,,,,,,,,
PO0160240R0273,,,3.0,BG,BERGAMO,IT03GWBISSAPAO_PO0160240R0273,2.0,,M,,,,,1552434.0,5057641.0,552407.0,5057621.0,1.0,231.478,231.478,,80.0,,,,INDUSTRIALE,POZZO,GWB ISS APAO,IT03GWBISSAPAO,Corpo idrico sotterraneo superficiale di Alta pianura Bacino Adda - Oglio,,N. Istit. Ital. d' Arti Grafiche S.p.a.-via Zanica,PTUA2022-PTUA2003,45.670158329643066,9.672824102685167,0160240273,231.4,,,,,X,1,,,,
PO0160240R0296,,,3.0,BG,BERGAMO,IT03GWBISSAPAO_PO0160240R0296,1.0,1,S,2011-01-01,,,PO0160240R0273,1552422.0,5057977.0,552395.0,5057957.0,1.0,232.0,232.0,0.0,76.0,2.0,46.0,67.0,MONITORAGGIO BONIFICA,PIEZOMETRO,GWB ISS APAO,IT03GWBISSAPAO,Corpo idrico sotterraneo superficiale di Alta pianura Bacino Adda - Oglio,,,PTUA2022,45.67318331835092,9.672706281527077,,,,,,,,,,,,
PO0160280R0003,,,3.0,BG,BOLGARE,IT03GWBISSAPAO_PO0160280R0003,1.0,1,S,2010-01-01,,,PO0160280RP002,1563297.0,5053209.0,563270.0,5053189.0,1.0,192.624,192.474,0.15,22.0,1.0,10.0,20.0,MONITORAGGIO BONIFICA,PIEZOMETRO,GWB ISS APAO,IT03GWBISSAPAO,Corpo idrico sotterraneo superficiale di Alta pianura Bacino Adda - Oglio,SI,,PTUA2022,45.6293639400367,9.811698759741569,,,,,,,,,,,,
PO0160400U0001,,,3.0,BG,BRIGNANO GERA D'ADDA,IT03GWBISSAPAO_PO0160400U0001,2.0,,M,,,,,1550989.0,5043697.0,550962.0,5043677.0,2.0,130.0,130.0,,40.0,1.0,29.35,38.14,POTABILE,POZZO,GWB ISS APAO,IT03GWBISSAPAO,Corpo idrico sotterraneo superficiale di Alta pianura Bacino Adda - Oglio,,,PTUA2022,45.544764789794826,9.652816321893289,,,,,,,,,,,,
PO016042NU0001,,,3.0,BG,BRUSAPORTO,IT03GWBISSAPAO_PO016042NU0001,3.0,1,M,2012-05-01,,,,1560042.0,5057541.0,560015.0,5057521.0,1.0,232.0,232.0,0.0,75.0,1.0,39.0,69.0,IRRIGUO,POZZO,GWB ISS APAO,IT03GWBISSAPAO,Corpo idrico sotterraneo superficiale di Alta pianura Bacino Adda - Oglio,SI,,PTUA2022,45.66864136662524,9.770478256814929,,,,,,,,,,,,
PO0160510R0161,,,3.0,BG,CAPRIATE SAN GERVASIO,IT03GWBISSAPAO_PO0160510R0161,2.0,,S,,,,PO0160370R0011,1541744.0,5050891.0,541717.0,5050871.0,1.0,187.12,187.12,0.0,76.5,1.0,45.0,50.0,IGIENICO SANITARIO,POZZO,GWB ISS APAO,IT03GWBISSAPAO,Corpo idrico sotterraneo superficiale di Alta pianura Bacino Adda - Oglio,,,PTUA2022,45.61013063416783,9.535009459226695,,,,,,,,,,,,
PO0160750U0002,,,3.0,BG,CISERANO,IT03GWBISSAPAO_PO0160750U0002,2.0,,M,,,,,1546806.0,5047858.0,546779.0,5047838.0,1.0,159.316,158.566,0.75,30.0,1.0,20.0,30.0,IGIENICO SANITARIO,POZZO,GWB ISS APAO,IT03GWBISSAPAO,Corpo idrico sotterraneo superficiale di Alta pianura Bacino Adda - Oglio,,,PTUA2022,45.58250968502317,9.59963404829785,,,,,,,,,,,,
PO0160750U0003,,,3.0,BG,CISERANO,IT03GWBISSAPAO_PO0160750U0003,1.0,2,C,2011-01-01,,,PO0160750U0002,1548113.0,5048625.0,548086.0,5048605.0,1.0,159.04,159.04,0.0,20.0,1.0,5.0,20.0,MONITORAGGIO,PIEZOMETRO,GWB ISS APAO,IT03GWBISSAPAO,Corpo idrico sotterraneo superficiale di Alta pianura Bacino Adda - Oglio,,,PTUA2022,45.58932388504041,9.61646235136126,,,,,,,,,,,,
PO0160760R1284,,,3.0,BG,CIVIDATE AL PIANO,IT03GWBISSAPAO_PO0160760R1284,1.0,1,M,2011-01-01,,,,1565680.0,5042216.0,565653.0,5042196.0,1.0,131.5,131.5,0.0,18.0,,,,MONITORAGGIO,PIEZOMETRO,GWB ISS APAO,IT03GWBISSAPAO,Corpo idrico sotterraneo superficiale di Alta pianura Bacino Adda - Oglio,,,PTUA2022,45.530205235508674,9.84078922517723,,,,,,,,,,,,
