CODICE,CODICE_SIF,CODICE_FOG,MACROAREE,CODICE_SSG,PROVINCIA,COMUNE,CODICEWISE,RETE,QUANTI_ESECUTORE,STATO,DATA_INIZIO,DATA_FINE,ALTRO_CODICE,SOSTITUITO_DA,SOSTITUISCE,X_GB,Y_GB,X_WGS84,Y_WGS84,ORIGINE_COORDINATE,QUOTA_MISU,QUOTA_PC_SLM,H_BP,PROFONDITA,FILTRI_N,FILTRI_TOP,FILTRI_BOTTOM,USO,TIPO,GWB_2015,Codice WISE Corpo idrico,Nome Corpo Idrico,SONDA AUTOMATICA,NOTE,ORIGINE,lat,lon,ALTRI CODICI,z_PTUA2003,z_CAP,z_Idroscalo2005,z_OLONA,z_Milano1950,z_SSG,STRAT,FALDA,FLT1_DA,FLT1_A,FLT2_DA,FLT2_A
PO0160240R0296,,,3.0,,BG,BERGAMO,IT03GWBISSAPAO_PO0160240R0296,1.0,1,S,2011-01-01 00:00:00,2021-02-01,,,PO0160240R0273,1552422.0,5057977.0,552395.0,5057957.0,1.0,232.0,232.0,0.0,76.0,2.0,46.0,67.0,MONITORAGGIO BONIFICA,PIEZOMETRO,GWB ISS APAO,IT03GWBISSAPAO,Corpo idrico sotterraneo superficiale di Alta pianura Bacino Adda - Oglio,,,PTUA2022,45.67318331835092,9.672706281527077,,,,,,,,,,,,,
PO0160280R0003,,,3.0,,BG,BOLGARE,IT03GWBISSAPAO_PO0160280R0003,1.0,1,S,2010-01-01 00:00:00,2021-05-01,,,PO0160280RP002,1563297.0,5053209.0,563270.0,5053189.0,1.0,192.624,192.474,0.15,22.0,1.0,10.0,20.0,MONITORAGGIO BONIFICA,PIEZOMETRO,GWB ISS APAO,IT03GWBISSAPAO,Corpo idrico sotterraneo superficiale di Alta pianura Bacino Adda - Oglio,SI,,PTUA2022,45.6293639400367,9.811698759741569,,,,,,,,,,,,,
PO016042NU0001,,,3.0,,BG,BRUSAPORTO,IT03GWBISSAPAO_PO016042NU0001,3.0,1,M,2012-05-01 00:00:00,2021-03-01,,,,1560042.0,5057541.0,560015.0,5057521.0,1.0,232.0,232.0,0.0,75.0,1.0,39.0,69.0,IRRIGUO,POZZO,GWB ISS APAO,IT03GWBISSAPAO,Corpo idrico sotterraneo superficiale di Alta pianura Bacino Adda - Oglio,SI,,PTUA2022,45.66864136662524,9.770478256814929,,,,,,,,,,,,,
PO0160750U0003,,,3.0,,BG,CISERANO,IT03GWBISSAPAO_PO0160750U0003,1.0,2,C,2011-01-01 00:00:00,2021-02-01,,,PO0160750U0002,1548113.0,5048625.0,548086.0,5048605.0,1.0,159.04,159.04,0.0,20.0,1.0,5.0,20.0,MONITORAGGIO,PIEZOMETRO,GWB ISS APAO,IT03GWBISSAPAO,Corpo idrico sotterraneo superficiale di Alta pianura Bacino Adda - Oglio,,,PTUA2022,45.58932388504041,9.61646235136126,,,,,,,,,,,,,
PO0160760R1284,,,3.0,,BG,CIVIDATE AL PIANO,IT03GWBISSAPAO_PO0160760R1284,1.0,1,M,2011-01-01 00:00:00,2021-02-01,,,,1565680.0,5042216.0,565653.0,5042196.0,1.0,131.5,131.5,0.0,18.0,,,,MONITORAGGIO,PIEZOMETRO,GWB ISS APAO,IT03GWBISSAPAO,Corpo idrico sotterraneo superficiale di Alta pianura Bacino Adda - Oglio,,,PTUA2022,45.530205235508674,9.84078922517723,,,,,,,,,,,,,
PO0160890R0001,,,3.0,,BG,CURNO,IT03GWBISSAPAO_PO0160890R0001,3.0,1,M,2006-03-01 00:00:00,2020-10-01,,,,1546246.0,5058675.0,546219.0,5058655.0,1.0,201.044,200.294,0.54,40.0,1.0,25.0,35.0,IRRIGUO,POZZO,GWB ISS APAO,IT03GWBISSAPAO,Corpo idrico sotterraneo superficiale di Alta pianura Bacino Adda - Oglio,,,PTUA2022,45.67990495348686,9.59348279335441,,,,,,,,,,,,,
PO0160980R0009,,,3.0,,BG,FILAGO,IT03GWBISSAPAO_PO0160980R0009,1.0,2,S,2010-01-01 00:00:00,2020-12-01,,,PO0160720R0002,1541822.0,5054580.0,541795.0,5054560.0,1.0,202.836,202.836,0.0,70.0,1.0,50.0,70.0,MONITORAGGIO DISCARICA,PIEZOMETRO,GWB ISS APAO,IT03GWBISSAPAO,Corpo idrico sotterraneo superficiale di Alta pianura Bacino Adda - Oglio,,,PTUA2022,45.6433289386173,9.536326293449562,,,,,,,,,,,,,
PO0161150U0002,,,3.0,,BG,GORLE,IT03GWBISSAPAO_PO0161150U0002,1.0,1,M,2004-05-01 00:00:00,2021-02-01,,,,1555777.0,5060403.0,555750.0,5060383.0,1.0,262.955,262.955,0.0,65.0,1.0,41.0,65.0,MONITORAGGIO BONIFICA,PIEZOMETRO,GWB ISS APAO,IT03GWBISSAPAO,Corpo idrico sotterraneo superficiale di Alta pianura Bacino Adda - Oglio,,,PTUA2022,45.69475591340114,9.716056790232223,,,,,,,,,,,,,
PO016117NU0001,,,3.0,,BG,GRASSOBBIO,IT03GWBISSAPAO_PO016117NU0001,1.0,1,S,2009-03-01 00:00:00,2021-02-01,,,PO016117NR0001,1556849.0,5054086.0,556822.0,5054066.0,1.0,204.898,204.898,0.0,60.0,1.0,21.0,60.0,MONITORAGGIO BONIFICA,PIEZOMETRO,GWB ISS APAO,IT03GWBISSAPAO,Corpo idrico sotterraneo superficiale di Alta pianura Bacino Adda - Oglio,,,PTUA2022,45.63781489354737,9.729086042964381,,,,,,,,,,,,,
PO0161220R0519,,,3.0,,BG,ISSO,IT03GWBISSMPAO_PO0161220R0519,3.0,1,M,2014-11-01 00:00:00,2021-02-01,,,,1556780.0,5036747.0,556753.0,5036727.0,2.0,104.8,104.8,0.0,35.0,,,,ZOOTECNICO,POZZO,GWB ISS MPAO,IT03GWBISSMPAO,Corpo idrico sotterraneo superficiale di Media pianura Bacino Adda - Oglio,,,PTUA2022,45.4817640796279,9.726187569574718,,,,,,,,,,,,,
