CODICE,start,end,tag
CAP-01080310001,1980-05-01,1995-12-01,CAP
PO0150150U0005,1999-01-01,2015-12-01,CAP
CAP-0150500002,1999-01-01,2015-12-01,CAP
CAP-0151150001,1999-01-01,2015-12-01,CAP
PO0151220U0001,1980-01-01,1995-12-01,CAP
CAP-0151250001,1977-01-01,2015-12-01,CAP
PO0151250U0004,1999-01-01,2015-12-01,CAP
PO0151390U0001,1996-01-01,2015-12-01,CAP
CAP-0151400003,1982-01-01,1995-12-01,CAP
PO0151590U0002,1977-01-01,1995-12-01,CAP
PO0151590U0004,1999-01-01,2015-12-01,CAP
PO0151670U0001,1980-01-01,2015-12-01,CAP
PO0151710U0001,1977-01-01,1995-12-01,CAP
CAP-0151710024,1996-02-01,1999-05-01,CAP
CAP-0151710197,2003-05-01/1996-01-01,2015-12-01/2006-03-01,CAP/Idroscalo2005
PO0151750U0003,1977-01-01,1995-12-01,CAP
CAP-0151750289,2003-03-01/1996-01-01,2015-12-01/2006-03-01,CAP/Idroscalo2005
PO0151850U0001,1982-01-01,2015-12-01,CAP
CAP-0151850004,1999-01-01,2014-04-01,CAP
CAP-0151890001,1977-01-01,2002-06-01,CAP
CAP-0151910009,1987-01-01,2003-12-01,CAP
PO0151920U0002,1977-01-01,1979-12-01,CAP
PO0151920U0005,1999-01-01/1999-01-01,2015-12-01/2006-03-01,CAP/Idroscalo2005
CAP-0151920023,1984-01-01,1995-12-01,CAP
CAP-0151920024,1980-04-01,1983-12-01,CAP
CAP-0151950005,1977-01-01,1979-12-01,CAP
CAP-0151950006,1980-05-01,1995-12-01,CAP
PO0151950U0007,1980-01-01,2002-03-01,CAP
PO0151950U0012,1999-03-01,2006-06-01,CAP
PO0151950U0015,1999-04-01,2002-03-01,CAP
CAP-0152020001,1983-01-01,1984-12-01,CAP
CAP-0152020002,1985-01-01,1995-12-01,CAP
PO0152050U0004,1977-01-01,1995-12-01,CAP
PO0152050U0138,2009-01-01/2002-08-01,2015-12-01/2004-03-01,CAP/Idroscalo2005
CAP-0152050140,1999-01-01,2008-12-01,CAP
PO0152100U0001,1977-01-01,1995-12-01,CAP
CAP-0152220001,1982-01-01,2015-12-01,CAP
CAP-0152230001,2003-03-01,2013-06-01,CAP
PO0152470UA202,1980-01-01,1995-12-01,CAP
CAP-0180700001,1983-01-01,2003-03-01,CAP
CAP-0180780001,1985-02-01,2015-09-01,CAP
CAP-0180930002,1985-05-01,2009-12-01,CAP
CAP-0181140002,1983-01-01,2009-12-01,CAP
CAP-0181390002,1996-01-01,2009-12-01,CAP
CAP-0181500002,2007-01-01,2015-12-01,CAP
CAP-0181570001,2007-01-01,2009-12-01,CAP
CAP-0181800003,1996-01-01,2009-12-01,CAP
CAP-0980020001,1988-05-01,2009-12-01,CAP
CAP-0980020002,1996-01-01,2007-05-01,CAP
CAP-0980040003,1992-01-01,1995-12-01,CAP
CAP-0980040007,1990-01-01,2009-12-01,CAP
CAP-0980050002,1987-01-01,1993-10-01,CAP
CAP-0980050003,1994-01-01,1995-12-01,CAP
CAP-0980060001,1984-01-01,1995-12-01,CAP
CAP-0980070001,1988-05-01,2009-12-01,CAP
CAP-0980090001,1995-02-01,1995-12-01,CAP
CAP-0980130001,1995-02-01,2009-12-01,CAP
CAP-0980140001,1983-01-01,1988-03-01,CAP
CAP-0980140003,2007-01-01,2009-12-01,CAP
CAP-0980150003,1987-01-01,2009-12-01,CAP
CAP-0980170000,1983-01-01,1995-12-01,CAP
CAP-0980170003,1993-06-01,2009-12-01,CAP
CAP-0980170012,1996-02-01,2000-12-01,CAP
CAP-0980170064,2001-01-01,2001-09-01,CAP
CAP-0980200001,1980-01-01,2009-12-01,CAP
CAP-0980230001,1985-01-01,2009-12-01,CAP
CAP-0980260001,1985-01-01,1995-12-01,CAP
CAP-0980260002,1996-01-01,2009-12-01,CAP
CAP-0980280001,1995-02-01,2009-12-01,CAP
CAP-0980290001,1983-02-01,1984-12-01,CAP
CAP-0980290003,1995-02-01,1995-12-01,CAP
CAP-0980330001,1983-01-01,2009-12-01,CAP
CAP-0980350002,1983-01-01,2009-10-01,CAP
CAP-0980370001,1983-01-01,1985-12-01,CAP
CAP-0980370002,1986-01-01,1993-01-01,CAP
CAP-0980390001,1977-01-01,1995-12-01,CAP
CAP-0980400001,1983-01-01,2009-12-01,CAP
CAP-0980410001,1982-01-01,2009-12-01,CAP
CAP-0980420003,1983-01-01,2009-12-01,CAP
CAP-0980450001,1993-06-01,2009-12-01,CAP
CAP-0980480003,1993-06-01,2008-03-01,CAP
CAP-0980480004,2008-04-01,2009-12-01,CAP
CAP-0980490001,1985-01-01,2009-12-01,CAP
CAP-0980500005,1983-01-01,2009-12-01,CAP
CAP-0980530003,1995-02-01,2009-12-01,CAP
CAP-0980560001,1987-01-01,1995-12-01,CAP
CAP-0980580002,1983-01-01,2009-12-01,CAP
CAP-0980590001,1983-01-01,2009-09-01,CAP
CAP-0980610001,1982-01-01,1995-12-01,CAP
FOG14,1950-07-01,2017-12-01,Milano1950
FOG16,1950-07-01,2014-09-01,Milano1950
FOG17,1950-07-01,2016-05-01,Milano1950
FOG18,1950-07-01,2017-12-01,Milano1950
FOG21,1950-07-01,2018-01-01,Milano1950
FOG24,1952-01-01,2017-12-01,Milano1950
FOG27,1952-01-01,2016-05-01,Milano1950
FOG31,1952-01-01,1997-02-01,Milano1950
FOG32,1952-01-01,2016-05-01,Milano1950
FOG33,1952-01-01,2017-12-01,Milano1950
FOG34,1952-01-01,2017-12-01,Milano1950
FOG38,1952-01-01,2017-12-01,Milano1950
FOG41,1952-01-01,2017-12-01,Milano1950
FOG50,1954-01-01,2018-01-01,Milano1950
FOG55,1954-01-01,2017-12-01,Milano1950
FOG56,1954-01-01,2017-12-01,Milano1950
FOG58,1954-01-01,2017-12-01,Milano1950
FOG72,1954-07-01,2017-12-01,Milano1950
PO012002NU0008,2001-05-01,2003-02-01,PTUA2003
PO012026NU3021,2001-05-01,2003-08-01,OLONA
PO0121180U0005,2001-08-01,2002-09-01,PTUA2003
PO0150150U0001,1996-01-01/1977-01-01,2003-03-01/2015-12-01,PTUA2003/CAP
PO015019NR0001,1996-01-01,2003-03-01,PTUA2003
PO015146NU1120,2002-01-01/1952-01-01,2002-07-01/2018-01-01,PTUA2003/Milano1950
PO015146NU1313,2002-01-01/1996-01-01/1952-04-01,2002-06-01/2006-08-01/2018-01-01,PTUA2003/Idroscalo2005/Milano1950
PO015146NU1353,2005-03-01,2006-03-01,Idroscalo2005
PO015146NU1378,1996-01-01/1952-01-01,2006-08-01/2018-01-01,Idroscalo2005/Milano1950
PO015146NU1379,2002-01-01/1996-01-01/1954-01-01,2002-06-01/2006-08-01/2018-01-01,PTUA2003/Idroscalo2005/Milano1950
PO015146NU1435,2002-01-01/1950-07-01,2002-06-01/2018-01-01,PTUA2003/Milano1950
PO015146NU1489,1954-07-01,2018-01-01,Milano1950
PO015146NU1496,1954-01-01,2018-01-01,Milano1950
PO015146NU1534,2002-01-01/1959-01-01,2002-07-01/2018-01-01,PTUA2003/Milano1950
PO015146NU1536,1952-01-01,2018-01-01,Milano1950
PO015146NU1557,1997-04-01/1950-07-01,2006-08-01/2018-01-01,Idroscalo2005/Milano1950
PO0151810U0001,1996-01-01/2001-05-01,2002-09-01/2003-08-01,PTUA2003/OLONA
PO0152100U0004,1999-01-01/1999-01-01,2002-09-01/2015-12-01,PTUA2003/CAP
