gid,id_punto,fkid,data,codice_campagna,secco,prodotto,spessore_prodotto,quota_falda,soggiacenza,quota_ref,riferimento_soggiacenza,fonte,note
1,PO0160240R0296,3,2011-01-01,,no,,,181.69,,232.0,,PTUA2022,
2,PO0160240R0296,3,2011-02-01,,no,,,179.72,,232.0,,PTUA2022,
3,PO0160240R0296,3,2011-03-01,,no,,,177.5,,232.0,,PTUA2022,
4,PO0160240R0296,3,2011-04-01,,no,,,177.17,,232.0,,PTUA2022,
5,PO0160240R0296,3,2011-05-01,,no,,,180.38,,232.0,,PTUA2022,
6,PO0160240R0296,3,2011-06-01,,no,,,180.62,,232.0,,PTUA2022,
7,PO0160240R0296,3,2011-07-01,,no,,,180.51,,232.0,,PTUA2022,
8,PO0160240R0296,3,2011-08-01,,no,,,181.07,,232.0,,PTUA2022,
9,PO0160240R0296,3,2011-09-01,,no,,,180.51,,232.0,,PTUA2022,
10,PO0160240R0296,3,2011-10-01,,no,,,179.38,,232.0,,PTUA2022,
11,PO0160240R0296,3,2011-11-01,,no,,,179.72,,232.0,,PTUA2022,
12,PO0160240R0296,3,2011-12-01,,no,,,178.2,,232.0,,PTUA2022,
13,PO0160240R0296,3,2012-01-01,,no,,,176.47,,232.0,,PTUA2022,
14,PO0160240R0296,3,2012-02-01,,no,,,174.95,,232.0,,PTUA2022,
15,PO0160240R0296,3,2012-03-01,,no,,,174.64,,232.0,,PTUA2022,
16,PO0160240R0296,3,2012-04-01,,no,,,177.47,,232.0,,PTUA2022,
17,PO0160240R0296,3,2012-05-01,,no,,,180.2,,232.0,,PTUA2022,
18,PO0160240R0296,3,2012-06-01,,no,,,180.05,,232.0,,PTUA2022,
19,PO0160240R0296,3,2012-07-01,,no,,,182.82,,232.0,,PTUA2022,
20,PO0160240R0296,3,2012-08-01,,no,,,181.91,,232.0,,PTUA2022,
21,PO0160240R0296,3,2012-09-01,,no,,,180.33,,232.0,,PTUA2022,
22,PO0160240R0296,3,2012-10-01,,no,,,179.05,,232.0,,PTUA2022,
23,PO0160240R0296,3,2012-11-01,,no,,,180.28,,232.0,,PTUA2022,
24,PO0160240R0296,3,2012-12-01,,no,,,179.38,,232.0,,PTUA2022,
25,PO0160240R0296,3,2013-01-01,,no,,,179.22,,232.0,,PTUA2022,
26,PO0160240R0296,3,2013-02-01,,no,,,180.23,,232.0,,PTUA2022,
27,PO0160240R0296,3,2013-03-01,,no,,,178.95,,232.0,,PTUA2022,
28,PO0160240R0296,3,2013-04-01,,no,,,180.83,,232.0,,PTUA2022,
29,PO0160240R0296,3,2013-05-01,,no,,,181.28,,232.0,,PTUA2022,
30,PO0160240R0296,3,2013-06-01,,no,,,182.49,,232.0,,PTUA2022,
31,PO0160240R0296,3,2013-07-01,,no,,,182.33,,232.0,,PTUA2022,
32,PO0160240R0296,3,2013-08-01,,no,,,182.11,,232.0,,PTUA2022,
33,PO0160240R0296,3,2013-09-01,,no,,,181.24,,232.0,,PTUA2022,
34,PO0160240R0296,3,2013-10-01,,no,,,180.4,,232.0,,PTUA2022,
35,PO0160240R0296,3,2013-11-01,,no,,,180.89,,232.0,,PTUA2022,
36,PO0160240R0296,3,2013-12-01,,no,,,180.3,,232.0,,PTUA2022,
37,PO0160240R0296,3,2014-01-01,,no,,,180.95,,232.0,,PTUA2022,
38,PO0160240R0296,3,2014-02-01,,no,,,183.22,,232.0,,PTUA2022,
39,PO0160240R0296,3,2014-03-01,,no,,,179.99,,232.0,,PTUA2022,
40,PO0160240R0296,3,2014-04-01,,no,,,179.56,,232.0,,PTUA2022,
41,PO0160240R0296,3,2014-05-01,,no,,,179.85,,232.0,,PTUA2022,
42,PO0160240R0296,3,2014-06-01,,no,,,182.41,,232.0,,PTUA2022,
43,PO0160240R0296,3,2014-07-01,,no,,,185.02,,232.0,,PTUA2022,
44,PO0160240R0296,3,2014-08-01,,no,,,183.96,,232.0,,PTUA2022,
45,PO0160240R0296,3,2014-09-01,,no,,,182.71,,232.0,,PTUA2022,
46,PO0160240R0296,3,2014-10-01,,no,,,180.92,,232.0,,PTUA2022,
47,PO0160240R0296,3,2014-11-01,,no,,,182.71,,232.0,,PTUA2022,
48,PO0160240R0296,3,2014-12-01,,no,,,182.53,,232.0,,PTUA2022,
49,PO0160240R0296,3,2015-01-01,,no,,,180.05,,232.0,,PTUA2022,
50,PO0160240R0296,3,2015-02-01,,no,,,180.15,,232.0,,PTUA2022,
51,PO0160240R0296,3,2015-03-01,,no,,,179.42,,232.0,,PTUA2022,
